<><><><><><><><> 
Begin: 29-Sep-2014 12:10:11 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s33 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.000 3.995 5.993 
0.532 1.945 1.945 
0.566 1.836 1.836 
0.251 1.911 1.911 
0.567 2.098 2.098 
0.450 2.174 2.174 
0.234 2.732 2.732 
0.317 2.031 2.031 
0.417 1.869 1.869 
0.584 2.186 2.186 
0.584 3.639 3.639 
0.267 1.508 1.508 
0.584 1.093 1.093 
0.584 1.660 1.660 
0.400 2.656 2.656 
0.517 1.584 1.584 
0.267 1.486 1.486 
0.367 1.322 1.322 
0.567 2.569 2.569 
0.516 2.535 2.535 
0.584 2.373 2.373 
0.466 1.880 1.880 
0.216 1.071 1.071 
0.534 1.213 1.213 
0.584 0.819 0.819 
0.467 3.235 3.235 
0.501 3.389 3.389 
0.501 1.967 1.967 
0.366 1.738 1.738 
0.467 2.196 2.196 
0.267 2.788 2.788 
0.483 1.671 1.671 
0.217 0.907 0.907 
0.317 2.142 2.142 
0.216 1.891 1.891 
0.233 2.416 2.416 
0.534 0.743 0.743 
0.483 1.060 1.060 
0.334 1.421 1.421 
0.584 1.367 1.367 
0.217 1.628 1.628 
0.384 1.366 1.366 
0.350 1.726 1.726 
0.516 0.994 0.994 
0.517 0.842 0.842 
0.284 0.776 0.776 
0.401 1.170 1.170 
0.384 0.951 0.951 
0.467 1.475 1.475 
0.484 1.989 1.989 
0.501 0.972 0.972 
0.318 2.459 2.459 
0.467 0.994 0.994 
0.468 0.787 0.787 
0.267 0.798 0.798 
0.250 1.432 1.432 
0.400 1.060 1.060 
0.584 0.776 0.776 
0.334 0.951 0.951 
0.434 2.622 2.622 
0.300 1.628 1.628 
0.501 1.333 1.333 
0.300 0.853 0.853 
0.401 0.655 0.655 
0.484 1.224 1.224 
0.567 1.016 1.016 
0.584 0.623 0.623 
0.418 0.678 0.678 
0.251 1.356 1.356 
0.267 1.103 1.103 
0.300 1.246 1.246 
0.535 1.934 1.934 
0.300 1.422 1.422 
0.534 0.819 0.819 
0.300 1.716 1.716 
0.567 0.972 0.972 
0.350 0.787 0.787 
0.284 3.399 3.399 
0.300 3.159 3.159 
0.451 1.443 1.443 
0.400 2.078 2.078 
0.350 1.257 1.257 
0.533 1.017 1.017 
0.434 1.574 1.574 
0.417 1.300 1.300 
0.567 0.700 0.700 
0.317 0.940 0.940 
0.501 1.311 1.311 
0.500 1.213 1.213 
0.350 1.137 1.137 
0.433 0.918 0.918 
0.235 1.180 1.180 
0.217 0.655 0.655 
0.417 1.138 1.138 
0.517 1.049 1.049 
0.584 1.279 1.279 
0.250 1.857 1.857 
0.434 3.136 3.136 
0.384 1.541 1.541 
0.200 2.492 2.492 
0.334 2.283 2.283 
0.267 1.466 1.466 
0.517 3.793 3.793 
0.334 1.650 1.650 
