<><><><><><><><> 
Begin: 13-Mar-2014 10:30:40 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s37 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (1-m, 2-f) 5. acc 6. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 0.295 0.629 
0.268 0.295 0.726 
0.417 0.285 0.563 
0.851 0.284 0.486 
0.233 0.285 0.508 
0.951 0.284 0.673 
0.784 0.295 0.628 
0.601 0.284 0.595 
0.667 0.295 0.771 
0.400 0.284 0.607 
0.567 0.296 0.727 
0.968 0.295 0.606 
0.634 0.295 0.793 
0.617 0.295 0.684 
0.384 0.295 0.837 
0.601 0.284 0.694 
0.701 0.295 0.628 
0.751 0.285 0.749 
0.517 0.295 0.628 
0.501 0.295 0.639 
1.001 0.285 0.760 
0.234 0.296 0.880 
0.918 0.284 0.662 
0.935 0.296 0.650 
0.834 0.296 0.717 
0.283 0.295 0.760 
0.417 0.285 0.946 
0.467 0.296 0.727 
0.751 0.285 0.716 
0.317 0.284 0.760 
0.784 0.295 0.989 
0.284 0.295 0.683 
0.718 0.306 1.005 
0.601 0.295 0.857 
0.818 0.306 0.961 
0.768 0.306 0.809 
0.934 0.285 0.705 
0.918 0.296 0.672 
0.467 0.295 0.705 
0.767 0.284 0.990 
0.366 0.284 0.989 
0.233 0.055 0.055 
0.801 0.295 0.978 
0.601 0.295 0.749 
0.584 0.295 0.650 
0.934 0.284 0.836 
0.684 0.306 0.755 
0.701 0.295 0.990 
0.884 0.295 0.814 
0.851 0.295 0.989 
0.667 0.296 0.727 
0.351 0.295 0.781 
0.400 0.284 0.716 
0.918 0.284 0.704 
0.234 0.284 0.990 
0.601 0.284 0.989 
0.334 0.295 0.672 
0.984 0.296 0.661 
0.768 0.295 0.825 
0.600 0.295 0.672 
0.584 0.295 0.738 
0.250 0.295 0.912 
0.750 0.295 0.837 
0.234 0.296 0.596 
0.267 0.285 0.837 
0.617 0.295 1.002 
0.284 0.295 0.639 
0.851 0.306 0.657 
0.851 0.295 0.957 
0.784 0.296 0.685 
0.317 0.295 0.639 
0.734 0.295 0.694 
0.617 0.296 0.826 
0.984 0.295 0.771 
0.718 0.295 0.879 
0.851 0.285 0.705 
0.567 0.296 0.759 
0.551 0.296 0.990 
0.868 0.284 0.694 
0.267 0.295 0.629 
0.316 0.284 0.880 
0.334 0.306 0.623 
0.517 0.296 0.574 
0.868 0.295 0.848 
0.851 0.285 0.989 
0.250 0.295 0.727 
0.517 0.295 1.001 
0.617 0.306 0.711 
0.534 0.295 0.924 
0.734 0.284 0.738 
0.701 0.295 0.770 
0.435 0.295 0.693 
0.551 0.296 0.826 
0.217 0.296 0.662 
0.984 0.294 1.000 
0.334 0.295 0.596 
0.284 0.295 0.661 
0.501 0.296 0.956 
0.367 0.284 0.618 
0.601 0.284 0.552 
0.467 0.306 0.810 
0.968 0.295 0.705 
0.935 0.296 0.748 
0.250 0.285 0.979 
0.800 0.284 0.913 
0.417 0.295 0.716 
0.534 0.306 0.623 
0.634 0.306 0.667 
0.951 0.295 0.738 
0.534 0.295 0.858 
0.985 0.296 0.858 
