<><><><><><><><> 
Begin: 13-Mar-2014 10:24:28 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s37 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (1-m, 2-f) 5. acc 6. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.007 0.295 0.989 
0.266 0.295 0.421 
0.416 0.295 0.377 
0.851 0.284 0.333 
0.234 0.284 0.508 
0.951 0.284 0.322 
0.785 0.295 0.295 
0.601 0.284 0.311 
0.667 0.295 0.295 
0.384 0.306 0.393 
0.567 0.284 0.284 
0.968 0.295 0.355 
0.634 0.295 0.311 
0.617 0.295 0.344 
0.384 0.295 0.344 
0.601 0.230 0.230 
0.701 0.284 0.284 
0.750 0.295 0.388 
0.517 0.274 0.274 
0.501 0.295 0.322 
0.985 0.307 0.338 
0.234 0.295 0.453 
0.918 0.284 0.377 
0.934 0.296 0.344 
0.834 0.284 0.284 
0.285 0.295 0.321 
0.417 0.284 0.311 
0.467 0.296 0.333 
0.751 0.295 0.295 
0.317 0.284 0.388 
0.784 0.273 0.273 
0.284 0.295 0.333 
0.718 0.252 0.252 
0.600 0.296 0.333 
0.834 0.284 0.322 
0.767 0.306 0.382 
0.918 0.296 0.296 
0.918 0.295 0.311 
0.467 0.295 0.333 
0.768 0.284 0.311 
0.367 0.284 0.388 
0.234 0.284 0.355 
0.801 0.273 0.273 
0.601 0.284 0.284 
0.584 0.295 0.333 
0.934 0.284 0.333 
0.684 0.306 0.306 
0.701 0.296 0.311 
0.885 0.284 0.284 
0.850 0.295 0.333 
0.668 0.295 0.322 
0.350 0.295 0.344 
0.400 0.284 0.311 
0.918 0.285 0.285 
0.217 0.306 0.351 
0.601 0.284 0.311 
0.334 0.295 0.410 
0.984 0.284 0.284 
0.767 0.295 0.344 
0.601 0.295 0.333 
0.584 0.285 0.322 
0.250 0.295 0.322 
0.751 0.284 0.284 
0.234 0.295 0.366 
0.267 0.285 0.333 
0.617 0.296 0.333 
0.284 0.295 0.311 
0.851 0.273 0.273 
0.851 0.295 0.366 
0.784 0.295 0.344 
0.317 0.295 0.421 
0.734 0.296 0.355 
0.617 0.273 0.273 
0.984 0.296 0.322 
0.717 0.296 0.366 
0.835 0.306 0.306 
0.567 0.295 0.377 
0.552 0.295 0.343 
0.867 0.295 0.486 
0.267 0.295 0.377 
0.301 0.306 0.327 
0.334 0.306 0.350 
0.517 0.296 0.322 
0.868 0.295 0.322 
0.850 0.274 0.274 
0.250 0.295 0.355 
0.517 0.262 0.262 
0.619 0.295 0.376 
0.534 0.295 0.311 
0.734 0.284 0.322 
0.701 0.262 0.262 
0.434 0.295 0.333 
0.551 0.296 0.443 
0.217 0.295 0.322 
0.985 0.296 0.333 
0.334 0.295 0.442 
0.284 0.295 0.344 
0.501 0.295 0.311 
0.367 0.284 0.366 
0.601 0.285 0.311 
0.467 0.307 0.350 
0.967 0.295 0.344 
0.935 0.295 0.355 
0.250 0.284 0.388 
0.800 0.284 0.311 
0.417 0.296 0.344 
0.534 0.306 0.394 
0.634 0.306 0.339 
0.952 0.296 0.343 
0.534 0.296 0.344 
0.984 0.262 0.262 
