1,53,1,1,1,0.62878
0,22,1,1,1,0.72578
1,5,1,1,1,0.56321
0,75,2,1,0,0.48644
0,1,1,1,1,0.50818
0,29,1,1,1,0.67296
1,38,1,1,1,0.62836
0,49,1,1,1,0.59521
1,118,2,2,1,0.77111
0,86,2,2,1,0.60654
1,3,1,1,1,0.72727
0,84,2,2,1,0.60612
1,77,2,1,0,0.79343
0,61,2,2,1,0.68362
1,14,1,1,1,0.83676
0,45,1,1,1,0.69415
1,48,1,1,1,0.62836
1,88,2,2,1,0.74925
0,58,1,1,1,0.62811
0,68,2,2,1,0.63894
1,30,1,1,1,0.75977
1,114,2,1,0,0.88027
1,107,2,2,1,0.66163
1,47,1,1,1,0.65037
0,14,1,1,1,0.7166
1,7,1,1,1,0.75976
0,40,1,1,1,0.94621
0,112,2,2,1,0.72679
1,120,2,2,1,0.7157
1,59,1,1,1,0.75969
0,74,2,NaN,NaN,NaN
0,62,2,2,1,0.68311
1,100,2,NaN,NaN,NaN
1,35,1,1,1,0.85736
0,78,2,2,1,0.96114
0,32,1,2,0,0.80903
0,13,1,1,1,0.70533
0,73,2,2,1,0.67198
0,72,2,2,1,0.70487
0,6,1,NaN,NaN,NaN
1,111,2,NaN,NaN,NaN
1,38,1,1,1,0.054915
0,8,1,1,1,0.97823
1,43,1,1,1,0.74884
1,41,1,1,1,0.65004
1,120,2,2,1,0.83634
1,10,1,1,1,0.75475
0,90,2,NaN,NaN,NaN
1,92,2,2,1,0.81394
1,106,2,NaN,NaN,NaN
0,95,2,1,0,0.72699
1,28,1,1,1,0.78132
1,50,1,1,1,0.71625
0,83,2,2,1,0.70449
1,69,2,NaN,NaN,NaN
1,39,1,NaN,NaN,NaN
0,2,1,1,1,0.67195
1,94,2,2,1,0.66146
1,75,2,2,1,0.8251
1,9,1,1,1,0.67217
1,33,1,1,1,0.73818
1,84,2,2,1,0.9121
0,119,2,2,1,0.83654
0,93,2,2,1,0.59584
0,31,1,1,1,0.83679
0,15,1,NaN,NaN,NaN
0,26,1,1,1,0.63921
1,74,2,2,1,0.65663
1,116,2,1,0,0.95666
1,22,1,1,1,0.68454
0,45,1,1,1,0.63935
1,102,2,2,1,0.69441
0,85,2,2,1,0.82558
