<><><><><><><><> 
Begin: 13-Mar-2014 10:44:27 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s37 Run Number: 4 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (1-m, 2-f) 5. acc 6. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 0.302 0.606 
0.267 0.295 0.552 
0.417 0.295 0.432 
0.851 0.284 0.487 
0.234 0.284 0.421 
0.951 0.285 0.410 
0.784 0.295 0.388 
0.601 0.284 0.421 
0.667 0.295 0.421 
0.384 0.307 0.404 
0.567 0.296 0.464 
0.967 0.295 0.497 
0.634 0.295 0.377 
0.617 0.295 0.311 
0.383 0.295 0.497 
0.601 0.284 0.421 
0.701 0.295 0.366 
0.751 0.284 0.366 
0.517 0.295 0.355 
0.501 0.296 0.421 
1.001 0.285 0.606 
0.234 0.295 0.530 
0.918 0.285 0.497 
0.934 0.295 0.541 
0.834 0.296 0.442 
0.284 0.295 0.519 
0.417 0.284 0.399 
0.467 0.295 0.366 
0.751 0.295 0.552 
0.317 0.284 0.453 
0.784 0.295 0.453 
0.285 0.296 0.529 
0.718 0.307 0.492 
0.601 0.295 0.508 
0.833 0.285 0.749 
0.767 0.307 0.416 
0.918 0.306 0.404 
0.918 0.295 0.465 
0.467 0.295 0.464 
0.767 0.284 0.552 
0.367 0.284 0.487 
0.234 0.284 0.990 
0.801 0.296 0.521 
0.602 0.295 0.999 
0.584 0.295 0.508 
0.934 0.284 0.399 
0.684 0.306 0.448 
0.700 0.295 0.366 
0.884 0.306 0.405 
0.851 0.295 0.399 
0.667 0.295 0.628 
0.350 0.295 0.497 
0.400 0.284 0.486 
0.918 0.285 0.487 
0.217 0.306 0.426 
0.601 0.285 0.377 
0.333 0.295 0.574 
0.984 0.295 0.355 
0.769 0.296 0.365 
0.601 0.295 0.366 
0.584 0.295 0.388 
0.251 0.296 0.529 
0.751 0.295 0.487 
0.234 0.295 0.333 
0.267 0.284 0.344 
0.617 0.296 0.454 
0.284 0.295 0.464 
0.851 0.295 0.607 
0.851 0.295 0.399 
0.784 0.295 0.366 
0.317 0.296 0.453 
0.734 0.295 0.409 
0.616 0.296 0.683 
0.985 0.295 0.508 
0.717 0.295 0.399 
0.851 0.284 0.650 
0.567 0.295 0.355 
0.551 0.295 0.344 
0.868 0.295 0.377 
0.267 0.295 0.420 
0.301 0.306 0.393 
0.334 0.306 0.360 
0.517 0.295 0.442 
0.868 0.295 0.596 
0.850 0.285 0.399 
0.250 0.295 0.487 
0.517 0.295 0.421 
0.618 0.295 0.999 
0.534 0.295 0.672 
0.734 0.285 0.377 
0.701 0.295 0.421 
0.433 0.296 0.322 
0.551 0.296 0.355 
0.217 0.296 0.453 
0.985 0.295 0.420 
0.334 0.296 0.431 
0.284 0.295 0.432 
0.500 0.296 0.465 
0.367 0.284 0.421 
0.601 0.284 0.399 
0.468 0.295 0.475 
0.968 0.296 0.388 
0.934 0.295 0.509 
0.250 0.284 0.410 
0.785 0.306 0.415 
0.417 0.295 0.486 
0.534 0.306 0.689 
0.634 0.307 0.459 
0.951 0.295 0.650 
0.534 0.296 0.497 
0.985 0.296 0.497 
