<><><><><><><><> 
Begin: 27-Nov-2014 14:31:57 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s61 Run Number: 3 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 1.034 1.034 
0.533 0.909 0.909 
0.567 0.898 0.898 
0.250 1.216 1.216 
0.568 1.763 1.763 
0.450 1.611 1.611 
0.249 1.467 1.467 
0.317 1.347 1.347 
0.417 1.293 1.293 
0.584 1.631 1.631 
0.585 1.073 1.073 
0.267 0.646 0.646 
0.584 1.675 1.675 
0.584 0.909 0.909 
0.401 1.293 1.293 
0.517 1.895 1.895 
0.267 2.531 2.531 
0.367 1.258 1.258 
0.567 1.293 1.293 
0.517 1.775 1.775 
0.584 1.105 1.105 
0.467 0.855 0.855 
0.217 1.053 1.053 
0.534 1.096 1.096 
0.583 0.690 0.690 
0.467 1.983 1.983 
0.501 1.314 1.314 
0.501 0.832 0.832 
0.367 3.923 3.923 
0.468 0.920 0.920 
0.267 0.843 0.843 
0.484 1.456 1.456 
0.217 1.052 1.052 
0.316 0.690 0.690 
0.216 0.975 0.975 
0.233 1.030 1.030 
0.534 1.106 1.106 
0.484 1.018 1.018 
0.334 1.183 1.183 
0.585 1.698 1.698 
0.218 1.730 1.730 
0.383 0.964 0.964 
0.351 1.775 1.775 
0.517 1.489 1.489 
0.517 1.030 1.030 
0.284 2.015 2.015 
0.401 3.089 3.089 
0.384 0.898 0.898 
0.467 1.128 1.128 
0.483 1.469 1.469 
0.501 0.930 0.930 
0.317 0.952 0.952 
0.468 0.701 0.701 
0.467 0.986 0.986 
0.267 0.810 0.810 
0.251 3.287 3.287 
0.400 0.975 0.975 
0.584 0.867 0.867 
0.334 0.876 0.876 
0.434 0.964 0.964 
0.283 0.810 0.810 
0.501 1.841 1.841 
0.300 1.545 1.545 
0.401 0.679 0.679 
0.484 0.624 0.624 
0.567 0.854 0.854 
0.583 0.800 0.800 
0.418 0.866 0.866 
0.250 1.239 1.239 
0.267 0.877 0.877 
0.300 1.413 1.413 
0.534 2.125 2.125 
0.301 1.184 1.184 
0.533 0.975 0.975 
0.300 1.139 1.139 
0.568 0.987 0.987 
0.349 1.063 1.063 
0.284 2.411 2.411 
0.300 1.260 1.260 
0.450 1.643 1.643 
0.384 1.030 1.030 
0.350 1.380 1.380 
0.534 0.986 0.986 
0.434 1.139 1.139 
0.417 0.888 0.888 
0.567 1.084 1.084 
0.317 0.865 0.865 
0.500 1.183 1.183 
0.501 0.876 0.876 
0.351 0.712 0.712 
0.434 1.075 1.075 
0.234 0.920 0.920 
0.233 0.953 0.953 
0.417 0.909 0.909 
0.517 1.730 1.730 
0.584 1.008 1.008 
0.251 0.931 0.931 
0.433 1.611 1.611 
0.384 1.258 1.258 
0.200 1.381 1.381 
0.333 2.302 2.302 
0.267 1.151 1.151 
0.517 0.965 0.965 
0.333 1.107 1.107 
