<><><><><><><><> 
Begin: 27-Nov-2014 14:08:24 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s61 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.006 1.859 1.859 
0.532 2.538 2.538 
0.567 1.411 1.411 
0.250 0.995 0.995 
0.567 1.181 1.181 
0.450 2.494 2.494 
0.234 1.586 1.586 
0.317 2.484 2.484 
0.417 1.401 1.401 
0.584 1.913 1.913 
0.585 1.686 1.686 
0.267 1.012 1.012 
0.583 1.927 1.927 
0.584 1.706 1.706 
0.400 2.900 2.900 
0.517 1.816 1.816 
0.266 2.419 2.419 
0.368 2.231 2.231 
0.567 1.543 1.543 
0.517 0.941 0.941 
0.584 2.069 2.069 
0.467 1.017 1.017 
0.217 1.094 1.094 
0.534 1.281 1.281 
0.584 1.160 1.160 
0.466 2.199 2.199 
0.501 0.843 0.843 
0.500 0.908 0.908 
0.367 1.083 1.083 
0.467 0.832 0.832 
0.283 1.040 1.040 
0.485 2.451 2.451 
0.217 1.718 1.718 
0.317 2.877 2.877 
0.217 1.269 1.269 
0.234 1.017 1.017 
0.534 1.903 1.903 
0.484 1.017 1.017 
0.335 1.466 1.466 
0.585 1.499 1.499 
0.217 1.061 1.061 
0.384 1.607 1.607 
0.350 1.192 1.192 
0.501 0.974 0.974 
0.517 0.930 0.930 
0.284 1.882 1.882 
0.401 1.062 1.062 
0.384 0.886 0.886 
0.467 0.810 0.810 
0.484 2.340 2.340 
0.500 1.182 1.182 
0.318 0.952 0.952 
0.467 1.586 1.586 
0.467 3.994 4.103 
0.267 1.586 1.586 
0.250 1.368 1.368 
0.401 0.898 0.898 
0.584 1.848 1.848 
0.334 2.811 2.811 
0.434 1.203 1.203 
0.284 0.898 0.898 
0.499 1.717 1.717 
0.302 1.751 1.751 
0.400 1.313 1.313 
0.483 0.875 0.875 
0.567 0.820 0.820 
0.584 0.810 0.810 
0.416 1.104 1.104 
0.251 1.552 1.552 
0.267 0.985 0.985 
0.300 1.061 1.061 
0.534 0.973 0.973 
0.299 1.401 1.401 
0.534 1.760 1.760 
0.300 1.192 1.192 
0.567 0.875 0.875 
0.334 1.476 1.476 
0.284 2.285 2.285 
0.300 1.400 1.400 
0.450 1.456 1.456 
0.384 1.970 1.970 
0.350 1.312 1.312 
0.534 1.193 1.193 
0.434 1.149 1.149 
0.417 1.039 1.039 
0.567 1.279 1.279 
0.317 2.057 2.057 
0.500 1.684 1.684 
0.501 1.390 1.390 
0.349 2.625 2.625 
0.434 2.375 2.375 
0.234 3.619 3.619 
0.217 1.182 1.182 
0.417 1.422 1.422 
0.517 1.969 1.969 
0.584 1.312 1.312 
0.251 1.445 1.445 
0.434 3.994 5.996 
0.384 1.324 1.324 
0.200 0.744 0.744 
0.334 1.905 1.905 
0.267 2.242 2.242 
0.516 0.744 0.744 
0.333 0.929 0.929 
