<><><><><><><><> 
Begin: 27-Nov-2014 15:13:22 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s61 Run Number: 6 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 0.967 0.967 
0.534 2.071 2.071 
0.568 0.931 0.931 
0.251 1.600 1.600 
0.567 3.998 5.996 
0.452 1.720 1.720 
0.234 1.128 1.128 
0.317 0.657 0.657 
0.417 0.647 0.647 
0.584 0.657 0.657 
0.584 1.314 1.314 
0.268 0.832 0.832 
0.584 3.188 3.188 
0.584 0.887 0.887 
0.400 0.778 0.778 
0.517 1.117 1.117 
0.267 0.997 0.997 
0.367 1.578 1.578 
0.567 0.723 0.723 
0.517 0.789 0.789 
0.584 1.315 1.315 
0.467 1.128 1.128 
0.216 0.910 0.910 
0.534 0.833 0.833 
0.584 1.227 1.227 
0.468 1.096 1.096 
0.501 1.106 1.106 
0.501 1.008 1.008 
0.367 2.353 2.353 
0.468 2.324 2.324 
0.267 2.180 2.180 
0.484 2.289 2.289 
0.216 0.876 0.876 
0.318 0.733 0.733 
0.216 0.635 0.635 
0.234 0.986 0.986 
0.533 0.701 0.701 
0.484 1.773 1.773 
0.334 0.745 0.745 
0.583 0.920 0.920 
0.217 2.388 2.388 
0.384 0.942 0.942 
0.351 1.183 1.183 
0.502 1.753 1.753 
0.517 2.497 2.497 
0.283 1.282 1.282 
0.400 0.767 0.767 
0.384 0.669 0.669 
0.467 1.195 1.195 
0.484 0.898 0.898 
0.500 0.920 0.920 
0.317 1.151 1.151 
0.468 0.602 0.602 
0.468 1.436 1.436 
0.267 1.709 1.709 
0.250 1.621 1.621 
0.400 0.843 0.843 
0.585 2.794 2.794 
0.334 1.939 1.939 
0.433 1.786 1.786 
0.300 1.085 1.085 
0.501 1.303 1.303 
0.300 0.976 0.976 
0.401 1.074 1.074 
0.483 0.975 0.975 
0.551 1.019 1.019 
0.585 1.457 1.457 
0.416 1.029 1.029 
0.250 1.195 1.195 
0.267 1.427 1.427 
0.300 1.457 1.457 
0.534 1.347 1.347 
0.300 2.005 2.005 
0.534 1.501 1.501 
0.301 1.150 1.150 
0.567 0.723 0.723 
0.335 0.997 0.997 
0.283 0.921 0.921 
0.301 2.026 2.026 
0.451 2.923 2.923 
0.384 1.031 1.031 
0.350 1.545 1.545 
0.534 1.227 1.227 
0.433 1.248 1.248 
0.417 0.898 0.898 
0.568 0.866 0.866 
0.318 2.127 2.127 
0.501 0.996 0.996 
0.501 1.599 1.599 
0.350 0.791 0.791 
0.434 2.553 2.553 
0.234 1.359 1.359 
0.217 0.789 0.789 
0.417 1.172 1.172 
0.518 0.964 0.964 
0.584 0.986 0.986 
0.251 0.953 0.953 
0.433 1.019 1.019 
0.384 0.832 0.832 
0.216 0.876 0.876 
0.334 0.810 0.810 
0.267 0.898 0.898 
0.517 0.843 0.843 
0.333 1.345 1.345 
