<><><><><><><><> 
Begin: 27-Nov-2014 14:43:11 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s61 Run Number: 4 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 3.999 5.999 
0.533 2.872 2.872 
0.568 0.964 0.964 
0.250 1.151 1.151 
0.568 1.249 1.249 
0.451 2.739 2.739 
0.233 3.998 5.997 
0.317 2.115 2.115 
0.417 1.457 1.457 
0.584 1.621 1.621 
0.585 2.213 2.213 
0.267 2.224 2.224 
0.584 1.984 1.984 
0.584 3.998 5.997 
0.401 3.986 5.987 
0.517 1.719 1.719 
0.267 1.172 1.172 
0.367 3.014 3.014 
0.567 0.842 0.842 
0.518 2.103 2.103 
0.584 2.225 2.225 
0.467 1.369 1.369 
0.216 1.917 1.917 
0.550 2.169 2.169 
0.584 2.958 2.958 
0.467 1.150 1.150 
0.501 3.220 3.220 
0.501 1.063 1.063 
0.367 1.906 1.906 
0.467 2.924 2.924 
0.267 2.246 2.246 
0.483 0.909 0.909 
0.217 0.887 0.887 
0.318 3.583 3.583 
0.217 0.964 0.964 
0.234 0.965 0.965 
0.534 1.391 1.391 
0.483 1.270 1.270 
0.335 0.843 0.843 
0.584 2.618 2.618 
0.217 1.226 1.226 
0.384 1.873 1.873 
0.350 0.723 0.723 
0.517 1.896 1.896 
0.518 1.314 1.314 
0.284 1.742 1.742 
0.400 0.823 0.823 
0.384 1.326 1.326 
0.467 1.370 1.370 
0.484 1.522 1.522 
0.500 1.063 1.063 
0.318 1.062 1.062 
0.466 1.029 1.029 
0.468 0.822 0.822 
0.267 1.150 1.150 
0.250 2.223 2.223 
0.400 0.821 0.821 
0.584 1.040 1.040 
0.334 0.941 0.941 
0.434 0.778 0.778 
0.300 2.628 2.628 
0.500 1.282 1.282 
0.300 0.876 0.876 
0.400 0.952 0.952 
0.483 1.094 1.094 
0.552 0.723 0.723 
0.583 1.413 1.413 
0.418 2.508 2.508 
0.250 1.512 1.512 
0.266 1.479 1.479 
0.300 1.282 1.282 
0.534 1.117 1.117 
0.301 0.986 0.986 
0.533 0.909 0.909 
0.300 2.158 2.158 
0.568 1.096 1.096 
0.350 1.206 1.206 
0.284 1.456 1.456 
0.301 1.085 1.085 
0.450 1.205 1.205 
0.383 1.511 1.511 
0.350 0.974 0.974 
0.534 0.799 0.799 
0.434 1.008 1.008 
0.417 0.931 0.931 
0.567 1.053 1.053 
0.317 1.973 1.973 
0.501 1.161 1.161 
0.500 1.314 1.314 
0.351 2.563 2.563 
0.434 0.921 0.921 
0.234 1.260 1.260 
0.217 1.851 1.851 
0.418 0.811 0.811 
0.517 1.271 1.271 
0.584 1.697 1.697 
0.250 1.019 1.019 
0.434 0.865 0.865 
0.383 0.888 0.888 
0.201 1.149 1.149 
0.334 0.986 0.986 
0.266 0.931 0.931 
0.517 1.073 1.073 
0.334 2.422 2.422 
