<><><><><><><><> 
Begin: 21-Oct-2014 16:30:00 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s49 Run Number: 6 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 0.652 0.652 
0.535 0.554 0.554 
0.568 0.624 0.624 
0.250 0.700 0.700 
0.568 0.536 0.536 
0.451 0.536 0.536 
0.234 0.591 0.591 
0.317 0.635 0.635 
0.417 0.700 0.700 
0.585 0.448 0.448 
0.584 0.743 0.743 
0.267 0.700 0.700 
0.585 0.525 0.525 
0.583 0.623 0.623 
0.400 0.777 0.777 
0.518 0.755 0.755 
0.266 0.536 0.536 
0.368 0.689 0.689 
0.567 0.514 0.514 
0.517 0.492 0.492 
0.584 0.547 0.547 
0.468 0.634 0.634 
0.217 0.755 0.755 
0.550 0.821 0.821 
0.583 0.567 0.567 
0.468 0.655 0.655 
0.500 0.558 0.558 
0.501 0.492 0.492 
0.367 0.558 0.558 
0.467 0.482 0.482 
0.268 0.601 0.601 
0.484 0.656 0.656 
0.217 0.646 0.646 
0.318 0.568 0.568 
0.217 0.612 0.612 
0.233 0.788 0.788 
0.535 0.547 0.547 
0.483 0.514 0.514 
0.334 0.908 0.908 
0.583 0.984 0.984 
0.217 0.776 0.776 
0.384 0.722 0.722 
0.351 0.799 0.799 
0.517 0.635 0.635 
0.518 0.492 0.492 
0.283 0.580 0.580 
0.401 0.722 0.722 
0.385 0.579 0.579 
0.467 0.602 0.602 
0.484 0.525 0.525 
0.501 0.602 0.602 
0.318 0.810 0.810 
0.467 0.788 0.788 
0.467 0.777 0.777 
0.267 0.832 0.832 
0.250 0.854 0.854 
0.401 0.722 0.722 
0.585 0.602 0.602 
0.334 0.645 0.645 
0.434 0.995 0.995 
0.300 0.581 0.581 
0.501 0.635 0.635 
0.301 0.756 0.756 
0.400 0.819 0.819 
0.483 0.821 0.821 
0.551 0.679 0.679 
0.584 0.645 0.645 
0.417 0.569 0.569 
0.251 0.808 0.808 
0.267 0.755 0.755 
0.299 0.635 0.635 
0.535 0.558 0.558 
0.301 0.601 0.601 
0.534 1.137 1.137 
0.300 0.514 0.514 
0.567 0.601 0.601 
0.350 0.602 0.602 
0.284 0.646 0.646 
0.300 0.536 0.536 
0.450 0.591 0.591 
0.384 0.678 0.678 
0.351 0.787 0.787 
0.534 0.580 0.580 
0.434 0.700 0.700 
0.417 0.580 0.580 
0.567 0.645 0.645 
0.317 0.634 0.634 
0.501 0.481 0.481 
0.501 0.898 0.898 
0.350 0.569 0.569 
0.434 0.547 0.547 
0.234 0.634 0.634 
0.217 0.701 0.701 
0.417 0.897 0.897 
0.517 0.602 0.602 
0.583 0.657 0.657 
0.251 0.504 0.504 
0.434 0.481 0.481 
0.384 0.678 0.678 
0.201 0.568 0.568 
0.334 0.459 0.459 
0.266 0.613 0.613 
0.518 0.635 0.635 
0.333 0.536 0.536 
