<><><><><><><><> 
Begin: 26-Nov-2014 14:04:50 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s61 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.004 2.656 2.656 
0.532 1.182 1.182 
0.567 0.995 0.995 
0.250 2.351 2.351 
0.568 1.519 1.519 
0.450 1.071 1.071 
0.234 1.815 1.815 
0.316 1.859 1.859 
0.417 4.003 6.002 
0.584 1.793 1.793 
0.584 0.963 0.963 
0.267 2.484 2.484 
0.584 2.155 2.155 
0.584 1.202 1.202 
0.400 1.323 1.323 
0.517 2.613 2.613 
0.267 2.461 2.461 
0.367 1.750 1.750 
0.567 1.126 1.126 
0.517 1.760 1.760 
0.584 1.236 1.236 
0.467 2.165 2.165 
0.217 1.159 1.159 
0.534 2.405 2.405 
0.583 1.651 1.651 
0.467 1.586 1.586 
0.501 1.290 1.290 
0.501 0.940 0.940 
0.367 1.039 1.039 
0.467 1.772 1.772 
0.266 1.903 1.903 
0.484 1.597 1.597 
0.216 1.248 1.248 
0.317 1.367 1.367 
0.216 2.230 2.230 
0.234 1.850 1.850 
0.534 1.367 1.367 
0.485 1.683 1.683 
0.335 1.990 1.990 
0.584 2.121 2.121 
0.217 2.691 2.691 
0.383 1.597 1.597 
0.350 1.542 1.542 
0.501 1.574 1.574 
0.516 1.585 1.585 
0.284 1.105 1.105 
0.400 1.771 1.771 
0.384 2.209 2.209 
0.467 1.838 1.838 
0.484 1.104 1.104 
0.500 2.176 2.176 
0.317 2.658 2.658 
0.483 2.219 2.219 
0.467 1.061 1.061 
0.267 0.743 0.743 
0.250 0.962 0.962 
0.401 0.995 0.995 
0.583 2.548 2.548 
0.334 1.094 1.094 
0.434 1.553 1.553 
0.284 1.225 1.225 
0.500 1.290 1.290 
0.300 3.389 3.389 
0.399 1.847 1.847 
0.484 2.175 2.175 
0.567 1.345 1.345 
0.585 1.170 1.170 
0.417 2.777 2.777 
0.251 1.148 1.148 
0.267 2.022 2.022 
0.300 1.017 1.017 
0.534 2.998 2.998 
0.300 2.636 2.636 
0.534 3.094 3.094 
0.300 3.007 3.007 
0.567 1.202 1.202 
0.350 2.153 2.153 
0.284 1.946 1.946 
0.300 1.399 1.399 
0.451 1.170 1.170 
0.384 0.963 0.963 
0.349 2.831 2.831 
0.534 2.887 2.887 
0.434 1.246 1.246 
0.417 2.623 2.623 
0.567 3.848 3.848 
0.317 2.264 2.264 
0.502 4.002 4.097 
0.501 1.607 1.607 
0.350 1.193 1.193 
0.434 1.258 1.258 
0.234 1.675 1.675 
0.217 1.443 1.443 
0.417 0.918 0.918 
0.517 1.334 1.334 
0.584 2.296 2.296 
0.250 1.388 1.388 
0.434 1.367 1.367 
0.384 1.433 1.433 
0.200 2.471 2.471 
0.334 1.367 1.367 
0.266 1.094 1.094 
0.517 0.864 0.864 
0.334 0.918 0.918 
