<><><><><><><><> 
Begin: 25-Jun-2014 14:24:22 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4591
For more info visit:
https 
Subjid: s01 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 1.012 1.012 
0.300 1.629 1.629 
0.267 1.728 1.728 
0.518 1.684 1.684 
0.516 1.859 1.859 
0.334 1.302 1.302 
0.551 3.894 3.894 
0.217 1.782 1.782 
0.333 1.816 1.816 
0.601 1.716 1.716 
0.333 1.946 1.946 
0.600 2.078 2.078 
0.401 1.235 1.235 
0.501 1.258 1.258 
0.600 1.617 1.617 
0.585 2.482 2.482 
0.335 2.144 2.144 
0.283 2.035 2.035 
0.350 3.992 5.985 
0.551 1.116 1.116 
0.600 1.411 1.411 
0.250 1.629 1.629 
0.551 1.772 1.772 
0.433 1.795 1.795 
0.350 1.422 1.422 
0.433 1.825 1.825 
0.250 2.132 2.132 
0.317 1.629 1.629 
0.217 2.077 2.077 
0.534 1.531 1.531 
0.267 1.727 1.727 
0.534 1.881 1.881 
0.234 2.045 2.045 
0.250 1.761 1.761 
0.384 1.454 1.454 
0.517 1.552 1.552 
0.268 1.981 1.981 
0.451 2.056 2.056 
0.518 1.629 1.629 
0.217 1.519 1.519 
0.417 1.443 1.443 
0.334 1.925 1.925 
0.450 1.115 1.115 
0.534 1.389 1.389 
0.284 1.893 1.893 
0.585 1.837 1.837 
0.568 1.345 1.345 
0.334 1.652 1.652 
0.300 1.269 1.269 
0.251 2.099 2.099 
0.550 1.061 1.061 
0.451 1.324 1.324 
0.550 1.640 1.640 
0.383 3.019 3.019 
0.502 1.116 1.116 
0.417 2.298 2.298 
0.334 1.585 1.585 
0.485 2.275 2.275 
0.249 2.263 2.263 
0.567 1.422 1.422 
0.417 1.684 1.684 
0.517 1.454 1.454 
0.300 1.967 1.967 
0.351 1.170 1.170 
0.501 1.564 1.564 
0.367 1.433 1.433 
0.300 1.192 1.192 
0.368 1.072 1.072 
0.567 2.297 2.297 
0.567 1.444 1.444 
0.234 1.783 1.783 
0.517 1.269 1.269 
0.568 1.914 1.914 
0.450 1.586 1.586 
0.317 1.563 1.563 
0.601 1.738 1.738 
0.317 2.319 2.319 
0.584 2.220 2.220 
0.217 2.340 2.340 
0.267 1.619 1.619 
0.551 1.948 1.948 
0.300 1.925 1.925 
0.417 2.341 2.341 
0.501 2.273 2.273 
0.484 2.199 2.199 
0.583 2.155 2.155 
0.484 2.296 2.296 
0.484 2.231 2.231 
0.451 2.723 2.723 
0.501 2.254 2.254 
0.400 1.148 1.148 
0.584 3.991 3.991 
0.534 1.246 1.246 
0.234 1.750 1.750 
0.517 1.050 1.050 
0.317 2.942 2.942 
0.501 1.596 1.596 
0.501 1.126 1.126 
0.233 1.958 1.958 
0.284 1.542 1.542 
0.601 1.882 1.882 
0.533 1.913 1.913 
0.434 1.827 1.827 
0.517 2.034 2.034 
0.350 2.078 2.078 
0.350 1.464 1.464 
0.234 1.586 1.586 
0.568 1.925 1.925 
0.234 1.585 1.585 
0.433 1.400 1.400 
0.533 1.673 1.673 
0.533 1.564 1.564 
0.317 1.040 1.040 
0.367 1.552 1.552 
0.216 1.783 1.783 
0.584 1.444 1.444 
0.333 1.192 1.192 
0.500 1.421 1.421 
0.300 1.749 1.749 
0.284 2.154 2.154 
0.551 1.268 1.268 
0.484 1.082 1.082 
0.250 1.279 1.279 
0.584 1.860 1.860 
0.384 1.619 1.619 
0.334 1.969 1.969 
0.384 1.826 1.826 
0.434 2.013 2.013 
0.484 1.695 1.695 
0.217 2.057 2.057 
0.350 1.783 1.783 
0.551 4.002 4.245 
0.567 1.399 1.399 
0.233 2.012 2.012 
0.317 2.428 2.428 
0.601 2.308 2.308 
0.217 1.061 1.061 
0.417 1.071 1.071 
0.601 1.093 1.093 
0.484 1.301 1.301 
0.284 1.368 1.368 
0.501 1.531 1.531 
0.200 1.543 1.543 
0.317 1.192 1.192 
0.368 1.072 1.072 
0.399 0.985 0.985 
0.217 1.422 1.422 
0.367 1.684 1.684 
0.401 2.155 2.155 
0.600 1.913 1.913 
0.601 0.951 0.951 
0.568 1.740 1.740 
0.267 1.465 1.465 
0.266 2.373 2.373 
0.384 1.061 1.061 
0.567 0.919 0.919 
0.551 1.170 1.170 
0.300 2.101 2.101 
0.234 1.006 1.006 
0.451 2.035 2.035 
0.367 1.564 1.564 
0.300 1.060 1.060 
0.201 1.783 1.783 
0.283 1.782 1.782 
0.584 1.586 1.586 
0.284 1.312 1.312 
0.600 1.346 1.346 
0.450 1.302 1.302 
0.501 1.894 1.894 
0.517 1.794 1.794 
0.334 1.641 1.641 
0.467 2.001 2.001 
0.300 2.165 2.165 
0.400 1.608 1.608 
0.233 2.067 2.067 
0.251 1.258 1.258 
0.601 1.072 1.072 
0.217 1.837 1.837 
0.350 1.826 1.826 
0.383 0.918 0.918 
0.234 1.794 1.794 
0.551 1.411 1.411 
0.317 2.077 2.077 
0.383 1.750 1.750 
0.267 2.252 2.252 
0.534 1.574 1.574 
0.500 1.695 1.695 
0.551 1.499 1.499 
0.585 1.729 1.729 
0.301 1.706 1.706 
0.601 2.120 2.120 
0.216 1.532 1.532 
0.566 2.001 2.001 
0.284 1.127 1.127 
0.284 1.028 1.028 
0.234 1.182 1.182 
0.367 1.356 1.356 
0.317 0.852 0.852 
0.266 1.433 1.433 
0.318 1.969 1.969 
0.217 1.236 1.236 
0.384 1.674 1.674 
0.383 1.564 1.564 
0.434 0.951 0.951 
0.401 1.750 1.750 
0.301 1.323 1.323 
0.584 1.126 1.126 
0.517 1.815 1.815 
0.216 2.427 2.427 
0.367 1.630 1.630 
0.467 1.377 1.377 
0.250 2.482 2.482 
0.433 1.050 1.050 
0.250 1.171 1.171 
0.483 1.334 1.334 
0.334 0.831 0.831 
0.234 1.236 1.236 
0.350 1.751 1.751 
0.266 1.367 1.367 
0.450 1.258 1.258 
0.483 1.246 1.246 
0.251 1.958 1.958 
0.568 1.432 1.432 
0.217 0.962 0.962 
0.233 1.213 1.213 
0.333 1.881 1.881 
0.367 3.302 3.302 
0.384 1.487 1.487 
0.316 1.794 1.794 
0.318 2.340 2.340 
0.217 1.455 1.455 
0.367 1.771 1.771 
0.550 1.739 1.739 
0.550 1.870 1.870 
0.584 1.673 1.673 
0.501 1.564 1.564 
0.317 2.417 2.417 
0.350 1.312 1.312 
0.384 2.133 2.133 
0.317 1.661 1.661 
0.368 1.640 1.640 
0.534 2.012 2.012 
0.517 2.144 2.144 
0.334 2.592 2.592 
0.334 1.575 1.575 
0.318 1.869 1.869 
0.301 1.455 1.455 
0.300 1.192 1.192 
0.401 3.762 3.762 
0.233 1.498 1.498 
0.334 0.919 0.919 
0.517 1.905 1.905 
0.351 0.863 0.863 
0.450 1.159 1.159 
0.418 1.356 1.356 
0.267 1.094 1.094 
0.234 2.538 2.538 
0.551 2.264 2.264 
0.451 1.137 1.137 
0.234 1.749 1.749 
0.533 1.192 1.192 
0.366 0.864 0.864 
0.350 1.269 1.269 
0.251 1.324 1.324 
0.417 1.335 1.335 
0.351 1.149 1.149 
0.601 1.027 1.027 
0.317 1.203 1.203 
0.467 1.071 1.071 
0.350 1.802 1.802 
0.467 1.641 1.641 
0.334 1.224 1.224 
0.333 2.351 2.351 
0.534 1.465 1.465 
0.350 1.487 1.487 
0.234 1.225 1.225 
0.434 1.126 1.126 
0.401 1.224 1.224 
0.201 1.268 1.268 
