<><><><><><><><> 
Begin: 25-Jun-2014 15:11:19 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4591
For more info visit:
https 
Subjid: s01 Run Number: 5 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 1.097 1.097 
0.300 1.465 1.465 
0.267 1.728 1.728 
0.517 1.836 1.836 
0.516 1.716 1.716 
0.334 2.067 2.067 
0.551 0.952 0.952 
0.217 1.204 1.204 
0.333 1.214 1.214 
0.601 2.011 2.011 
0.334 2.000 2.000 
0.601 3.314 3.314 
0.401 2.023 2.023 
0.501 1.443 1.443 
0.601 1.815 1.815 
0.585 2.669 2.669 
0.333 1.652 1.652 
0.284 1.565 1.565 
0.350 1.115 1.115 
0.550 1.061 1.061 
0.600 0.963 0.963 
0.250 1.225 1.225 
0.551 2.002 2.002 
0.434 1.662 1.662 
0.350 2.012 2.012 
0.434 1.389 1.389 
0.250 1.739 1.739 
0.318 1.892 1.892 
0.217 1.378 1.378 
0.535 0.994 0.994 
0.267 1.235 1.235 
0.534 1.193 1.193 
0.234 1.378 1.378 
0.250 1.641 1.641 
0.383 1.607 1.607 
0.517 1.116 1.116 
0.267 1.335 1.335 
0.451 1.302 1.302 
0.518 1.969 1.969 
0.217 1.214 1.214 
0.418 1.324 1.324 
0.333 2.702 2.702 
0.451 1.313 1.313 
0.534 2.254 2.254 
0.283 3.214 3.214 
0.584 1.335 1.335 
0.567 1.116 1.116 
0.335 1.794 1.794 
0.301 1.542 1.542 
0.251 2.177 2.177 
0.551 1.749 1.749 
0.450 1.148 1.148 
0.550 2.002 2.002 
0.384 1.618 1.618 
0.501 1.312 1.312 
0.418 1.444 1.444 
0.334 2.352 2.352 
0.484 2.548 2.548 
0.250 1.684 1.684 
0.567 1.946 1.946 
0.417 1.662 1.662 
0.517 3.096 3.096 
0.301 1.182 1.182 
0.351 1.335 1.335 
0.501 1.148 1.148 
0.368 1.082 1.082 
0.301 1.936 1.936 
0.367 2.121 2.121 
0.568 2.110 2.110 
0.568 1.574 1.574 
0.234 1.257 1.257 
0.517 1.049 1.049 
0.568 1.159 1.159 
0.450 0.973 0.973 
0.317 1.127 1.127 
0.600 1.312 1.312 
0.317 1.542 1.542 
0.584 1.553 1.553 
0.216 2.735 2.735 
0.267 1.147 1.147 
0.551 1.312 1.312 
0.300 1.367 1.367 
0.417 1.344 1.344 
0.500 1.401 1.401 
0.485 1.422 1.422 
0.584 1.006 1.006 
0.483 1.366 1.366 
0.485 1.006 1.006 
0.451 2.176 2.176 
0.501 2.143 2.143 
0.400 1.849 1.849 
0.584 0.897 0.897 
0.534 1.497 1.497 
0.234 1.302 1.302 
0.517 1.289 1.289 
0.316 1.443 1.443 
0.501 1.958 1.958 
0.501 0.962 0.962 
0.234 1.904 1.904 
0.283 1.476 1.476 
0.600 1.116 1.116 
0.534 1.368 1.368 
0.433 1.203 1.203 
0.518 1.236 1.236 
0.350 1.597 1.597 
0.350 1.542 1.542 
0.234 1.640 1.640 
0.567 2.034 2.034 
0.234 1.903 1.903 
0.434 1.641 1.641 
0.533 1.280 1.280 
0.517 1.487 1.487 
0.317 1.969 1.969 
0.367 2.505 2.505 
0.217 1.781 1.781 
0.584 1.115 1.115 
0.334 1.783 1.783 
0.501 1.858 1.858 
0.301 1.038 1.038 
0.283 1.258 1.258 
0.550 1.038 1.038 
0.485 1.029 1.029 
0.250 1.574 1.574 
0.585 0.842 0.842 
0.383 1.903 1.903 
0.334 0.842 0.842 
0.383 1.344 1.344 
0.433 0.809 0.809 
0.484 1.935 1.935 
0.217 1.618 1.618 
0.351 1.498 1.498 
0.551 1.203 1.203 
0.568 0.984 0.984 
0.234 1.116 1.116 
0.317 1.182 1.182 
0.601 1.159 1.159 
0.217 1.695 1.695 
0.417 1.651 1.651 
0.601 1.641 1.641 
0.484 1.739 1.739 
0.284 1.279 1.279 
0.500 1.051 1.051 
0.201 1.160 1.160 
0.317 1.247 1.247 
0.367 1.345 1.345 
0.400 1.116 1.116 
0.217 1.421 1.421 
0.368 1.465 1.465 
0.400 1.455 1.455 
0.601 1.750 1.750 
0.601 0.865 0.865 
0.568 2.537 2.537 
0.266 2.428 2.428 
0.267 0.951 0.951 
0.384 1.148 1.148 
0.558 1.105 1.105 
0.534 0.919 0.919 
0.300 1.400 1.400 
0.234 1.716 1.716 
0.451 1.127 1.127 
0.367 1.192 1.192 
0.300 1.269 1.269 
0.200 1.061 1.061 
0.284 2.056 2.056 
0.584 1.335 1.335 
0.284 1.082 1.082 
0.600 1.302 1.302 
0.451 1.728 1.728 
0.500 1.159 1.159 
0.517 2.363 2.363 
0.333 1.082 1.082 
0.467 1.553 1.553 
0.301 1.323 1.323 
0.400 1.181 1.181 
0.234 2.964 2.964 
0.250 1.717 1.717 
0.601 1.422 1.422 
0.216 0.930 0.930 
0.351 0.951 0.951 
0.384 2.331 2.331 
0.234 1.181 1.181 
0.551 1.990 1.990 
0.317 1.138 1.138 
0.383 1.629 1.629 
0.266 1.902 1.902 
0.534 2.142 2.142 
0.501 2.153 2.153 
0.567 1.739 1.739 
0.584 1.367 1.367 
0.300 1.247 1.247 
0.601 1.564 1.564 
0.217 2.143 2.143 
0.550 1.487 1.487 
0.283 1.619 1.619 
0.284 1.224 1.224 
0.233 1.280 1.280 
0.366 1.061 1.061 
0.334 1.213 1.213 
0.268 1.159 1.159 
0.317 1.127 1.127 
0.217 1.181 1.181 
0.384 0.973 0.973 
0.384 1.586 1.586 
0.433 1.324 1.324 
0.400 1.302 1.302 
0.301 1.323 1.323 
0.583 1.366 1.366 
0.517 1.476 1.476 
0.201 2.254 2.254 
0.367 0.995 0.995 
0.467 1.084 1.084 
0.251 1.214 1.214 
0.434 1.345 1.345 
0.250 1.509 1.509 
0.485 2.351 2.351 
0.334 2.001 2.001 
0.234 1.608 1.608 
0.350 1.498 1.498 
0.267 1.051 1.051 
0.451 1.028 1.028 
0.484 1.279 1.279 
0.251 1.630 1.630 
0.567 1.180 1.180 
0.217 1.192 1.192 
0.234 1.006 1.006 
0.333 1.498 1.498 
0.367 2.187 2.187 
0.384 2.265 2.265 
0.317 1.936 1.936 
0.317 2.460 2.460 
0.217 1.203 1.203 
0.367 1.389 1.389 
0.550 2.339 2.339 
0.551 2.090 2.090 
0.584 1.827 1.827 
0.501 1.006 1.006 
0.316 2.002 2.002 
0.351 1.968 1.968 
0.384 2.012 2.012 
0.317 1.127 1.127 
0.367 1.225 1.225 
0.534 1.433 1.433 
0.518 1.947 1.947 
0.334 1.707 1.707 
0.333 1.630 1.630 
0.317 1.204 1.204 
0.300 1.138 1.138 
0.300 1.291 1.291 
0.400 2.810 2.810 
0.234 1.465 1.465 
0.334 1.204 1.204 
0.517 1.597 1.597 
0.350 1.399 1.399 
0.450 1.553 1.553 
0.417 1.181 1.181 
0.267 1.159 1.159 
0.233 1.214 1.214 
0.551 1.236 1.236 
0.450 1.039 1.039 
0.233 1.170 1.170 
0.533 1.290 1.290 
0.367 0.918 0.918 
0.350 1.128 1.128 
0.266 1.444 1.444 
0.417 1.585 1.585 
0.350 1.050 1.050 
0.600 1.356 1.356 
0.317 1.433 1.433 
0.468 0.787 0.787 
0.350 1.072 1.072 
0.467 0.830 0.830 
0.334 1.412 1.412 
0.334 1.170 1.170 
0.533 0.940 0.940 
0.351 1.072 1.072 
0.233 0.875 0.875 
0.435 2.111 2.111 
0.401 1.367 1.367 
0.201 1.717 1.717 
