<><><><><><><><> 
Begin: 25-Jun-2014 14:58:14 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4591
For more info visit:
https 
Subjid: s01 Run Number: 4 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 1.174 1.174 
0.300 1.476 1.476 
0.267 1.740 1.740 
0.517 1.138 1.138 
0.517 1.564 1.564 
0.335 1.182 1.182 
0.551 0.886 0.886 
0.233 1.543 1.543 
0.334 1.039 1.039 
0.601 1.444 1.444 
0.334 1.323 1.323 
0.600 1.313 1.313 
0.401 1.422 1.422 
0.501 1.237 1.237 
0.600 1.432 1.432 
0.584 1.400 1.400 
0.334 1.368 1.368 
0.284 1.311 1.311 
0.350 2.077 2.077 
0.550 2.113 2.113 
0.601 1.772 1.772 
0.250 1.324 1.324 
0.550 0.995 0.995 
0.434 1.631 1.631 
0.350 1.281 1.281 
0.433 1.258 1.258 
0.251 1.729 1.729 
0.317 1.564 1.564 
0.217 1.170 1.170 
0.534 1.445 1.445 
0.267 1.410 1.410 
0.534 1.324 1.324 
0.234 1.377 1.377 
0.250 1.936 1.936 
0.384 2.265 2.265 
0.518 1.872 1.872 
0.266 1.696 1.696 
0.450 1.082 1.082 
0.517 1.445 1.445 
0.217 2.209 2.209 
0.417 3.107 3.107 
0.334 1.510 1.510 
0.451 1.673 1.673 
0.534 1.422 1.422 
0.283 1.488 1.488 
0.585 1.017 1.017 
0.568 2.373 2.373 
0.333 2.646 2.646 
0.301 1.193 1.193 
0.250 1.247 1.247 
0.551 1.192 1.192 
0.451 1.312 1.312 
0.551 1.193 1.193 
0.384 1.673 1.673 
0.500 2.221 2.221 
0.417 1.127 1.127 
0.334 1.575 1.575 
0.483 1.597 1.597 
0.251 1.454 1.454 
0.567 1.302 1.302 
0.417 0.832 0.832 
0.517 1.324 1.324 
0.300 0.842 0.842 
0.351 1.248 1.248 
0.500 1.138 1.138 
0.367 1.816 1.816 
0.301 1.850 1.850 
0.367 1.956 1.956 
0.567 2.868 2.868 
0.568 1.784 1.784 
0.234 2.188 2.188 
0.518 2.067 2.067 
0.567 2.112 2.112 
0.451 2.177 2.177 
0.316 3.180 3.180 
0.601 1.640 1.640 
0.316 1.871 1.871 
0.584 2.833 2.833 
0.217 2.746 2.746 
0.267 1.685 1.685 
0.550 1.083 1.083 
0.301 1.587 1.587 
0.418 1.618 1.618 
0.501 1.159 1.159 
0.484 1.827 1.827 
0.584 1.640 1.640 
0.483 1.619 1.619 
0.484 1.291 1.291 
0.450 1.904 1.904 
0.501 1.357 1.357 
0.400 1.531 1.531 
0.584 2.003 2.003 
0.534 1.411 1.411 
0.233 1.138 1.138 
0.517 1.423 1.423 
0.317 1.772 1.772 
0.500 1.290 1.290 
0.502 1.312 1.312 
0.234 1.389 1.389 
0.284 1.947 1.947 
0.601 2.023 2.023 
0.534 1.399 1.399 
0.434 1.487 1.487 
0.517 1.256 1.256 
0.350 1.280 1.280 
0.351 1.268 1.268 
0.234 1.422 1.422 
0.567 1.236 1.236 
0.234 1.904 1.904 
0.434 1.235 1.235 
0.534 1.051 1.051 
0.518 1.651 1.651 
0.317 1.695 1.695 
0.366 1.345 1.345 
0.217 1.827 1.827 
0.584 1.061 1.061 
0.334 1.520 1.520 
0.501 1.335 1.335 
0.300 1.631 1.631 
0.283 2.952 2.952 
0.551 1.728 1.728 
0.483 1.039 1.039 
0.250 1.696 1.696 
0.583 1.870 1.870 
0.384 1.641 1.641 
0.334 1.257 1.257 
0.383 1.914 1.914 
0.434 2.099 2.099 
0.484 1.182 1.182 
0.217 1.203 1.203 
0.350 1.356 1.356 
0.551 0.832 0.832 
0.567 1.215 1.215 
0.234 1.007 1.007 
0.318 1.367 1.367 
0.601 0.908 0.908 
0.217 3.182 3.182 
0.417 1.531 1.531 
0.600 1.957 1.957 
0.483 1.706 1.706 
0.284 2.484 2.484 
0.501 1.137 1.137 
0.200 1.936 1.936 
0.317 1.203 1.203 
0.367 1.629 1.629 
0.384 1.345 1.345 
0.216 1.706 1.706 
0.368 1.126 1.126 
0.400 1.302 1.302 
0.600 1.181 1.181 
0.601 1.093 1.093 
0.567 1.334 1.334 
0.268 2.069 2.069 
0.266 1.466 1.466 
0.384 1.226 1.226 
0.567 1.281 1.281 
0.551 1.028 1.028 
0.300 1.357 1.357 
0.234 1.597 1.597 
0.451 1.881 1.881 
0.367 2.241 2.241 
0.300 3.094 3.094 
0.200 1.761 1.761 
0.284 2.427 2.427 
0.584 1.236 1.236 
0.284 1.674 1.674 
0.601 1.782 1.782 
0.450 1.882 1.882 
0.501 1.641 1.641 
0.517 1.783 1.783 
0.333 1.782 1.782 
0.467 3.084 3.084 
0.301 1.795 1.795 
0.400 2.264 2.264 
0.233 1.619 1.619 
0.250 1.476 1.476 
0.601 1.979 1.979 
0.216 1.115 1.115 
0.350 1.116 1.116 
0.383 1.925 1.925 
0.233 1.148 1.148 
0.550 1.214 1.214 
0.317 1.957 1.957 
0.384 1.291 1.291 
0.267 1.771 1.771 
0.534 1.105 1.105 
0.501 1.827 1.827 
0.567 1.771 1.771 
0.584 1.466 1.466 
0.300 1.224 1.224 
0.600 1.749 1.749 
0.217 1.291 1.291 
0.551 1.957 1.957 
0.284 2.624 2.624 
0.284 1.236 1.236 
0.233 1.302 1.302 
0.367 1.957 1.957 
0.317 1.729 1.729 
0.267 3.182 3.182 
0.318 4.002 6.001 
0.217 1.465 1.465 
0.400 1.783 1.783 
0.384 1.586 1.586 
0.433 1.388 1.388 
0.401 1.652 1.652 
0.301 1.258 1.258 
0.584 1.301 1.301 
0.518 1.389 1.389 
0.201 1.094 1.094 
0.367 1.214 1.214 
0.468 1.532 1.532 
0.251 1.380 1.380 
0.434 1.651 1.651 
0.250 2.089 2.089 
0.484 2.000 2.000 
0.350 1.673 1.673 
0.235 1.707 1.707 
0.350 1.171 1.171 
0.267 1.126 1.126 
0.450 1.454 1.454 
0.484 1.750 1.750 
0.250 1.248 1.248 
0.568 2.089 2.089 
0.216 2.537 2.537 
0.234 1.258 1.258 
0.318 1.139 1.139 
0.367 2.199 2.199 
0.384 1.575 1.575 
0.316 2.320 2.320 
0.317 1.881 1.881 
0.217 2.823 2.823 
0.368 2.156 2.156 
0.551 1.284 1.284 
0.551 3.147 3.147 
0.585 2.362 2.362 
0.501 4.002 5.996 
0.316 1.159 1.159 
0.351 1.105 1.105 
0.384 1.094 1.094 
0.317 1.771 1.771 
0.367 1.816 1.816 
0.534 2.001 2.001 
0.517 1.488 1.488 
0.334 0.973 0.973 
0.333 1.116 1.116 
0.317 1.433 1.433 
0.300 1.663 1.663 
0.301 1.280 1.280 
0.401 1.838 1.838 
0.234 1.651 1.651 
0.334 1.322 1.322 
0.517 2.210 2.210 
0.351 1.837 1.837 
0.449 1.289 1.289 
0.418 1.477 1.477 
0.267 1.269 1.269 
0.234 2.516 2.516 
0.551 1.071 1.071 
0.451 1.347 1.347 
0.234 0.951 0.951 
0.534 1.344 1.344 
0.367 1.378 1.378 
0.350 1.269 1.269 
0.250 1.203 1.203 
0.416 1.542 1.542 
0.351 1.630 1.630 
0.600 0.940 0.940 
0.316 1.488 1.488 
0.467 2.351 2.351 
0.349 2.526 2.526 
0.467 1.913 1.913 
0.333 1.311 1.311 
0.334 1.990 1.990 
0.534 1.990 1.990 
0.350 1.783 1.783 
0.234 1.334 1.334 
0.434 2.581 2.581 
0.400 1.891 1.891 
0.200 1.191 1.191 
