<><><><><><><><> 
Begin: 25-Nov-2014 14:44:46 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s62 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 2.182 2.182 
0.534 2.462 2.462 
0.567 2.265 2.265 
0.250 2.145 2.145 
0.568 1.597 1.597 
0.450 1.870 1.870 
0.250 1.433 1.433 
0.317 1.642 1.642 
0.417 1.728 1.728 
0.583 1.280 1.280 
0.583 1.991 1.991 
0.268 2.441 2.441 
0.584 2.669 2.669 
0.584 1.915 1.915 
0.400 2.068 2.068 
0.518 2.473 2.473 
0.266 3.030 3.030 
0.367 1.423 1.423 
0.567 2.035 2.035 
0.517 2.824 2.824 
0.584 1.138 1.138 
0.468 2.997 2.997 
0.216 1.279 1.279 
0.550 2.178 2.178 
0.583 1.138 1.138 
0.467 1.751 1.751 
0.500 1.489 1.489 
0.501 2.429 2.429 
0.367 0.974 0.974 
0.468 1.203 1.203 
0.267 1.686 1.686 
0.484 1.828 1.828 
0.216 1.280 1.280 
0.317 2.615 2.615 
0.216 1.269 1.269 
0.234 0.799 0.799 
0.534 1.607 1.607 
0.483 3.544 3.544 
0.334 3.019 3.019 
0.584 1.708 1.708 
0.216 2.932 2.932 
0.384 1.970 1.970 
0.350 1.652 1.652 
0.501 1.992 1.992 
0.517 1.335 1.335 
0.283 1.170 1.170 
0.401 1.817 1.817 
0.384 3.086 3.086 
0.467 2.364 2.364 
0.484 3.842 3.842 
0.500 1.904 1.904 
0.318 2.321 2.321 
0.467 1.860 1.860 
0.467 1.533 1.533 
0.267 2.145 2.145 
0.250 1.477 1.477 
0.400 1.347 1.347 
0.584 1.083 1.083 
0.334 1.544 1.544 
0.435 2.723 2.723 
0.299 1.752 1.752 
0.502 1.259 1.259 
0.301 2.856 2.856 
0.400 2.330 2.330 
0.483 1.335 1.335 
0.552 1.795 1.795 
0.583 1.346 1.346 
0.417 0.996 0.996 
0.266 3.818 3.818 
0.266 1.916 1.916 
0.300 2.955 2.955 
0.534 3.599 3.599 
0.300 2.429 2.429 
0.533 2.221 2.221 
0.300 1.391 1.391 
0.568 2.497 2.497 
0.350 3.983 5.992 
0.284 1.433 1.433 
0.300 2.155 2.155 
0.451 1.324 1.324 
0.383 2.955 2.955 
0.350 2.057 2.057 
0.534 2.441 2.441 
0.434 1.652 1.652 
0.418 3.020 3.020 
0.568 1.498 1.498 
0.316 2.441 2.441 
0.500 1.717 1.717 
0.501 1.214 1.214 
0.351 2.603 2.603 
0.433 1.695 1.695 
0.233 1.531 1.531 
0.218 1.084 1.084 
0.417 1.086 1.086 
0.517 1.143 1.143 
0.584 2.060 2.060 
0.250 1.695 1.695 
0.434 1.936 1.936 
0.384 1.905 1.905 
0.201 3.118 3.118 
0.334 2.900 2.900 
0.267 2.736 2.736 
0.516 1.926 1.926 
0.333 2.122 2.122 
