<><><><><><><><> 
Begin: 25-Nov-2014 14:28:21 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s62 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
0.250 1.027 1.027 
0.300 2.339 2.339 
0.367 2.580 2.580 
0.434 3.498 3.498 
0.300 1.618 1.618 
0.451 1.782 1.782 
0.484 3.224 3.224 
0.284 3.182 3.182 
0.249 1.344 1.344 
0.317 1.760 1.760 
0.334 1.443 1.443 
0.367 2.043 2.043 
0.401 1.509 1.509 
0.234 0.952 0.952 
0.301 3.301 3.301 
0.517 2.098 2.098 
0.217 3.465 3.465 
0.567 1.181 1.181 
0.499 2.481 2.481 
0.400 2.635 2.635 
0.434 1.542 1.542 
0.300 2.471 2.471 
0.385 2.897 2.897 
0.584 1.924 1.924 
0.417 2.186 2.186 
0.417 2.253 2.253 
0.300 2.263 2.263 
0.400 3.991 4.212 
0.449 1.246 1.246 
0.466 0.918 0.918 
0.367 1.148 1.148 
0.350 0.907 0.907 
0.601 1.367 1.367 
0.217 0.930 0.930 
0.551 1.224 1.224 
0.568 0.777 0.777 
0.517 1.431 1.431 
0.233 1.827 1.827 
0.300 2.121 2.121 
0.334 1.235 1.235 
0.467 1.071 1.071 
0.250 1.750 1.750 
0.484 1.345 1.345 
0.250 1.377 1.377 
0.467 3.017 3.017 
0.401 1.191 1.191 
0.517 3.433 3.433 
0.484 2.460 2.460 
0.567 1.366 1.366 
0.567 1.749 1.749 
0.334 1.115 1.115 
0.483 1.510 1.510 
0.284 0.929 0.929 
0.217 0.941 0.941 
0.500 0.885 0.885 
0.400 0.635 0.635 
0.399 0.908 0.908 
0.567 1.716 1.716 
0.451 0.820 0.820 
0.450 1.978 1.978 
0.551 1.181 1.181 
0.517 1.641 1.641 
0.434 0.962 0.962 
0.283 1.092 1.092 
0.299 1.279 1.279 
0.551 1.978 1.978 
0.217 0.908 0.908 
<><><><><><><><> 
RT (mean):  1.77 
Consistency:  0.07 
Self Consistency:  1.00 
<><><><><><><><> 
End: 25-Nov-2014 14:39:35 
