<><><><><><><><> 
Begin: 25-Nov-2014 15:16:44 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s62 Run Number: 4 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 3.226 3.226 
0.534 1.804 1.804 
0.568 1.827 1.827 
0.251 1.423 1.423 
0.567 2.067 2.067 
0.450 1.893 1.893 
0.234 0.865 0.865 
0.318 2.025 2.025 
0.417 1.172 1.172 
0.584 2.735 2.735 
0.584 1.642 1.642 
0.267 1.728 1.728 
0.585 1.095 1.095 
0.584 2.713 2.713 
0.400 1.697 1.697 
0.517 1.215 1.215 
0.266 1.040 1.040 
0.367 1.237 1.237 
0.568 1.586 1.586 
0.517 1.105 1.105 
0.585 1.137 1.137 
0.468 0.810 0.810 
0.217 1.510 1.510 
0.550 1.083 1.083 
0.583 2.726 2.726 
0.467 2.461 2.461 
0.500 0.974 0.974 
0.501 1.510 1.510 
0.367 2.156 2.156 
0.468 1.171 1.171 
0.266 2.035 2.035 
0.484 1.893 1.893 
0.217 3.273 3.273 
0.316 0.985 0.985 
0.218 1.357 1.357 
0.250 1.324 1.324 
0.534 1.062 1.062 
0.484 1.631 1.631 
0.334 1.018 1.018 
0.584 0.974 0.974 
0.216 1.390 1.390 
0.384 0.799 0.799 
0.350 1.061 1.061 
0.502 2.210 2.210 
0.517 1.424 1.424 
0.284 2.026 2.026 
0.399 2.014 2.014 
0.384 1.260 1.260 
0.467 2.518 2.518 
0.484 1.083 1.083 
0.501 1.161 1.161 
0.317 1.259 1.259 
0.467 2.768 2.768 
0.467 1.838 1.838 
0.267 1.117 1.117 
0.251 2.155 2.155 
0.401 0.974 0.974 
0.585 1.543 1.543 
0.333 1.061 1.061 
0.433 1.697 1.697 
0.300 0.844 0.844 
0.501 2.178 2.178 
0.300 1.971 1.971 
0.401 1.106 1.106 
0.484 2.431 2.431 
0.567 1.148 1.148 
0.583 0.864 0.864 
0.418 0.746 0.746 
0.250 2.244 2.244 
0.267 1.390 1.390 
0.301 1.883 1.883 
0.534 0.842 0.842 
0.300 1.051 1.051 
0.534 1.181 1.181 
0.301 3.887 3.887 
0.568 0.821 0.821 
0.349 1.236 1.236 
0.284 0.973 0.973 
0.300 1.696 1.696 
0.451 2.178 2.178 
0.384 2.892 2.892 
0.350 1.937 1.937 
0.533 0.975 0.975 
0.433 1.106 1.106 
0.417 2.168 2.168 
0.567 2.572 2.572 
0.317 1.018 1.018 
0.501 1.149 1.149 
0.501 2.024 2.024 
0.351 2.955 2.955 
0.434 2.212 2.212 
0.234 1.795 1.795 
0.217 0.077 0.077 
0.417 2.212 2.212 
0.517 0.810 0.810 
0.583 1.237 1.237 
0.250 1.521 1.521 
0.433 1.390 1.390 
0.384 1.938 1.938 
0.201 1.271 1.271 
0.334 2.505 2.505 
0.267 1.532 1.532 
0.517 1.051 1.051 
0.334 0.964 0.964 
