<><><><><><><><> 
Begin: 27-Jun-2014 13:58:22 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4591
For more info visit:
https 
Subjid: s04 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 1.248 1.248 
0.216 1.620 1.620 
0.501 1.193 1.193 
0.400 1.006 1.006 
0.500 1.006 1.006 
0.552 1.083 1.083 
0.501 1.050 1.050 
0.350 1.236 1.236 
0.266 1.618 1.618 
0.534 0.623 0.623 
0.383 1.378 1.378 
0.585 0.974 0.974 
0.417 1.039 1.039 
0.418 1.018 1.018 
0.601 3.009 3.009 
0.250 1.061 1.061 
0.467 0.963 0.963 
0.567 1.192 1.192 
0.400 1.226 1.226 
0.449 1.807 1.807 
0.300 1.466 1.466 
0.233 1.389 1.389 
0.467 1.477 1.477 
0.433 1.346 1.346 
0.567 1.007 1.007 
0.450 1.160 1.160 
0.301 1.510 1.510 
0.251 0.897 0.897 
0.434 1.905 1.905 
0.317 2.560 2.560 
0.266 1.751 1.751 
0.467 1.182 1.182 
0.251 0.996 0.996 
0.483 1.017 1.017 
0.484 1.181 1.181 
0.584 1.434 1.434 
0.217 1.028 1.028 
0.467 0.996 0.996 
0.534 1.215 1.215 
0.400 1.292 1.292 
0.201 1.159 1.159 
0.250 1.357 1.357 
0.417 3.064 3.064 
0.350 1.400 1.400 
0.234 2.320 2.320 
0.384 1.980 1.980 
0.450 0.865 0.865 
0.584 1.149 1.149 
0.467 1.126 1.126 
0.450 0.973 0.973 
0.234 1.236 1.236 
0.318 1.685 1.685 
0.383 1.773 1.773 
0.301 1.063 1.063 
0.217 2.016 2.016 
0.417 1.413 1.413 
0.433 1.565 1.565 
0.383 1.653 1.653 
0.584 0.876 0.876 
0.435 1.149 1.149 
0.384 1.225 1.225 
0.235 1.346 1.346 
0.516 1.315 1.315 
0.467 1.456 1.456 
0.383 1.203 1.203 
0.417 1.324 1.324 
0.299 1.225 1.225 
0.250 1.335 1.335 
0.601 1.719 1.719 
0.501 1.008 1.008 
0.601 1.444 1.444 
0.250 1.169 1.169 
0.318 0.974 0.974 
0.551 1.095 1.095 
0.284 1.028 1.028 
0.199 1.346 1.346 
0.267 1.061 1.061 
0.533 0.941 0.941 
0.383 1.171 1.171 
0.200 0.942 0.942 
0.334 0.777 0.777 
0.384 1.258 1.258 
0.484 1.203 1.203 
0.267 0.985 0.985 
0.284 1.105 1.105 
0.334 1.925 1.925 
0.350 1.061 1.061 
0.450 1.040 1.040 
0.417 1.531 1.531 
0.468 1.521 1.521 
0.450 1.367 1.367 
0.551 1.170 1.170 
0.400 1.433 1.433 
0.518 1.192 1.192 
0.350 1.312 1.312 
0.434 1.214 1.214 
0.583 1.181 1.181 
0.283 2.987 2.987 
0.266 1.674 1.674 
0.234 1.379 1.379 
0.533 1.717 1.717 
0.250 2.506 2.506 
0.567 1.127 1.127 
0.417 1.205 1.205 
0.317 1.236 1.236 
0.501 1.028 1.028 
0.584 1.411 1.411 
0.284 1.094 1.094 
0.350 1.247 1.247 
0.316 1.040 1.040 
0.367 1.893 1.893 
0.217 1.302 1.302 
0.217 1.597 1.597 
0.500 1.149 1.149 
0.216 1.028 1.028 
0.484 1.269 1.269 
0.434 1.259 1.259 
0.568 1.104 1.104 
0.234 1.445 1.445 
0.567 1.258 1.258 
0.517 2.100 2.100 
0.250 1.314 1.314 
0.300 1.957 1.957 
0.534 1.269 1.269 
0.384 1.138 1.138 
0.499 1.094 1.094 
0.534 1.762 1.762 
0.584 1.937 1.937 
0.334 1.182 1.182 
0.401 1.564 1.564 
0.401 0.744 0.744 
0.501 1.773 1.773 
0.267 1.652 1.652 
0.434 1.192 1.192 
0.367 1.094 1.094 
0.367 1.663 1.663 
0.450 1.336 1.336 
0.450 1.741 1.741 
0.550 3.993 5.996 
0.467 1.641 1.641 
0.501 1.116 1.116 
0.552 0.973 0.973 
0.567 1.237 1.237 
0.418 1.106 1.106 
0.467 1.072 1.072 
0.367 1.029 1.029 
0.234 1.445 1.445 
0.567 1.062 1.062 
0.451 0.842 0.842 
0.384 2.069 2.069 
0.534 1.170 1.170 
0.500 1.477 1.477 
0.267 1.259 1.259 
0.583 1.192 1.192 
0.284 3.787 3.787 
0.518 1.368 1.368 
0.551 1.423 1.423 
0.600 2.528 2.528 
0.267 2.988 2.988 
0.233 1.969 1.969 
0.518 1.915 1.915 
0.451 1.193 1.193 
0.334 1.301 1.301 
0.433 3.437 3.437 
0.284 3.992 5.998 
0.552 1.127 1.127 
0.601 1.116 1.116 
0.317 1.138 1.138 
0.234 1.083 1.083 
0.567 1.422 1.422 
0.317 2.408 2.408 
0.434 1.357 1.357 
0.399 2.309 2.309 
0.317 3.994 5.994 
0.283 1.138 1.138 
0.318 2.068 2.068 
0.584 1.444 1.444 
0.568 1.389 1.389 
0.518 1.247 1.247 
0.267 1.521 1.521 
0.217 1.827 1.827 
0.484 1.028 1.028 
0.450 1.795 1.795 
0.300 1.335 1.335 
0.317 2.046 2.046 
0.502 1.565 1.565 
0.251 1.674 1.674 
0.334 1.522 1.522 
0.268 1.335 1.335 
0.467 1.991 1.991 
0.417 1.291 1.291 
0.300 2.537 2.537 
0.584 1.226 1.226 
0.384 2.320 2.320 
0.517 1.007 1.007 
0.467 1.684 1.684 
0.601 0.920 0.920 
0.351 1.040 1.040 
0.466 1.445 1.445 
0.500 1.115 1.115 
0.317 1.106 1.106 
0.233 1.335 1.335 
0.434 1.488 1.488 
0.500 0.842 0.842 
0.367 0.722 0.722 
0.517 1.379 1.379 
0.417 1.312 1.312 
0.334 1.707 1.707 
0.300 1.575 1.575 
0.333 1.161 1.161 
0.517 1.138 1.138 
0.301 1.269 1.269 
0.434 1.149 1.149 
0.483 1.061 1.061 
0.351 2.145 2.145 
0.551 1.303 1.303 
0.467 1.433 1.433 
0.234 1.673 1.673 
0.350 1.149 1.149 
0.316 1.619 1.619 
0.284 1.183 1.183 
0.451 0.974 0.974 
0.368 1.453 1.453 
0.350 3.457 3.457 
0.434 2.242 2.242 
0.283 1.039 1.039 
0.500 1.532 1.532 
0.501 3.075 3.075 
0.384 1.827 1.827 
0.434 1.018 1.018 
0.534 0.821 0.821 
0.250 1.203 1.203 
0.550 1.094 1.094 
0.316 3.993 5.984 
0.534 2.002 2.002 
0.467 1.609 1.609 
0.251 1.741 1.741 
0.533 1.259 1.259 
0.284 1.718 1.718 
0.217 1.794 1.794 
0.318 1.226 1.226 
0.384 1.651 1.651 
0.283 2.309 2.309 
0.468 3.654 3.654 
0.483 0.919 0.919 
0.584 0.962 0.962 
0.267 1.149 1.149 
0.467 0.832 0.832 
0.267 1.204 1.204 
0.268 1.346 1.346 
0.434 3.358 3.358 
0.601 0.809 0.809 
0.316 1.095 1.095 
0.333 1.181 1.181 
0.500 1.083 1.083 
0.317 1.302 1.302 
0.551 0.985 0.985 
0.484 0.963 0.963 
0.484 0.952 0.952 
0.584 1.214 1.214 
0.450 1.018 1.018 
0.368 0.887 0.887 
0.434 1.390 1.390 
0.334 2.963 2.963 
0.534 1.192 1.192 
0.417 1.356 1.356 
0.550 1.193 1.193 
0.567 1.039 1.039 
0.217 1.116 1.116 
0.467 1.947 1.947 
0.517 3.993 5.996 
0.200 1.246 1.246 
0.516 1.160 1.160 
0.568 1.884 1.884 
0.250 1.028 1.028 
0.518 1.773 1.773 
0.267 1.487 1.487 
0.266 1.499 1.499 
0.234 1.126 1.126 
