66,-2,16,200.203,-1,200.203,-1,1,1,1.42133,1.42302
66,-1,4,268.797,1,268.797,1,1,1,2.90083,2.88482
66,0,11,152.697,1,169.663,-1,1.11111,1,0.764436,0.764831
66,1,10,185.181,1,166.663,-1,0.9,1,1.15366,1.15389
66,2,7,224.553,-1,249.504,1,1.11111,1,0.786666,0.771038
66,3,8,204.892,-1,204.892,1,1,1,1.51599,1.5166
66,4,6,146.508,-1,131.857,1,0.9,1,1.47205,1.45658
66,5,3,222.519,1,247.243,1,1.11111,0,1.6103,1.59491
66,6,4,232.835,1,232.835,1,1,1,0.683087,0.667752
66,7,1,241.185,1,241.185,1,1,1,0.663904,0.647962
66,8,12,263.104,1,263.104,-1,1,1,2.03494,2.01843
66,9,2,113.136,1,101.823,1,0.9,1,1.54428,1.52835
66,10,5,234.806,-1,234.806,1,1,1,1.96467,1.9653
66,11,13,127.826,-1,127.826,-1,1,1,0.990191,0.990485
66,12,11,94.3704,1,104.856,-1,1.11111,1,3.38977,3.38985
66,13,16,236.906,-1,236.906,-1,1,1,0.906845,0.906892
66,14,15,193.99,-1,215.545,-1,1.11111,0,0.843284,0.82779
66,15,14,173.444,-1,156.099,-1,0.9,0,0.790599,0.77454
66,16,9,177.15,1,177.15,-1,1,1,2.52313,2.50702
