<><><><><><><><> 
Begin: 24-Sep-2014 16:34:04 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4591
For more info visit:
https 
Subjid: s31 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.000 2.930 2.930 
0.532 2.109 2.109 
0.567 1.738 1.738 
0.250 4.000 4.278 
0.568 1.213 1.213 
0.450 1.081 1.081 
0.234 1.236 1.236 
0.316 1.005 1.005 
0.418 1.300 1.300 
0.584 1.038 1.038 
0.584 1.236 1.236 
0.267 1.202 1.202 
0.584 1.192 1.192 
0.584 1.257 1.257 
0.399 2.286 2.286 
0.517 1.946 1.946 
0.267 2.331 2.331 
0.367 1.368 1.368 
0.567 1.421 1.421 
0.517 1.017 1.017 
0.584 1.651 1.651 
0.467 1.858 1.858 
0.217 2.952 2.952 
0.534 2.033 2.033 
0.584 2.167 2.167 
0.467 1.620 1.620 
0.501 1.235 1.235 
0.501 1.967 1.967 
0.367 1.597 1.597 
0.467 2.766 2.766 
0.267 1.181 1.181 
0.484 1.170 1.170 
0.217 1.443 1.443 
0.317 1.421 1.421 
0.217 2.885 2.885 
0.233 1.498 1.498 
0.533 2.077 2.077 
0.484 3.991 4.016 
0.333 1.880 1.880 
0.584 2.113 2.113 
0.217 2.198 2.198 
0.384 3.991 4.015 
0.349 2.809 2.809 
0.516 2.360 2.360 
0.518 2.122 2.122 
0.284 3.083 3.083 
0.402 3.083 3.083 
0.383 1.519 1.519 
0.467 2.866 2.866 
0.483 1.728 1.728 
0.501 1.380 1.380 
0.318 0.964 0.964 
0.468 1.073 1.073 
0.468 0.930 0.930 
0.267 2.023 2.023 
0.250 2.208 2.208 
0.401 2.219 2.219 
0.584 1.170 1.170 
0.334 1.454 1.454 
0.434 1.531 1.531 
0.284 1.936 1.936 
0.501 0.885 0.885 
0.299 1.006 1.006 
0.400 0.930 0.930 
0.483 0.875 0.875 
0.567 0.797 0.797 
0.585 2.493 2.493 
0.417 1.192 1.192 
0.250 2.592 2.592 
0.267 1.487 1.487 
0.300 4.001 5.929 
0.534 1.684 1.684 
0.300 2.809 2.809 
0.534 1.640 1.640 
0.299 2.033 2.033 
0.567 1.640 1.640 
0.350 1.837 1.837 
0.284 1.399 1.399 
0.299 1.169 1.169 
0.451 1.367 1.367 
0.384 1.651 1.651 
0.349 1.476 1.476 
0.534 1.595 1.595 
0.434 1.661 1.661 
0.417 2.241 2.241 
0.566 1.268 1.268 
0.317 1.825 1.825 
0.501 1.793 1.793 
0.501 1.016 1.016 
0.350 1.071 1.071 
0.433 0.929 0.929 
0.234 1.028 1.028 
0.218 1.684 1.684 
0.417 2.339 2.339 
0.517 3.050 3.050 
0.584 3.389 3.389 
0.249 1.652 1.652 
0.434 3.793 3.793 
0.384 4.001 4.573 
0.200 3.104 3.104 
0.334 2.449 2.449 
0.268 2.799 2.799 
0.517 4.003 4.304 
0.334 1.608 1.608 
0.418 1.357 1.357 
0.267 4.000 4.497 
0.450 1.202 1.202 
0.301 4.000 4.671 
0.468 1.738 1.738 
0.483 2.711 2.711 
0.500 1.618 1.618 
0.385 1.300 1.300 
0.234 2.109 2.109 
0.300 2.776 2.776 
0.567 1.027 1.027 
0.266 1.519 1.519 
0.534 1.387 1.387 
0.417 1.421 1.421 
0.601 0.940 0.940 
0.234 0.962 0.962 
0.384 0.864 0.864 
0.250 0.755 0.755 
0.584 1.487 1.487 
0.200 3.519 3.519 
0.517 1.651 1.651 
0.534 1.564 1.564 
0.550 3.993 4.442 
0.234 2.580 2.580 
0.367 1.017 1.017 
0.300 0.951 0.951 
0.517 2.788 2.788 
0.384 2.001 2.001 
0.567 1.771 1.771 
0.267 1.104 1.104 
0.301 2.917 2.917 
0.267 3.673 3.673 
0.250 1.367 1.367 
0.551 1.301 1.301 
0.434 0.798 0.798 
0.417 1.618 1.618 
0.267 0.907 0.907 
0.551 2.776 2.776 
0.451 0.963 0.963 
0.350 0.809 0.809 
0.400 1.050 1.050 
0.366 1.093 1.093 
0.234 0.820 0.820 
0.299 1.465 1.465 
0.249 1.082 1.082 
0.284 2.865 2.865 
0.300 2.330 2.330 
0.367 1.345 1.345 
0.216 1.551 1.551 
0.567 1.345 1.345 
0.584 2.209 2.209 
0.400 1.728 1.728 
0.400 3.989 4.038 
0.334 2.340 2.340 
0.567 1.268 1.268 
0.350 1.137 1.137 
0.250 1.104 1.104 
0.517 0.919 0.919 
0.350 1.171 1.171 
0.301 1.989 1.989 
0.367 2.932 2.932 
0.234 1.661 1.661 
0.250 0.830 0.830 
0.584 1.049 1.049 
0.583 1.783 1.783 
0.433 2.132 2.132 
0.234 1.007 1.007 
0.300 1.399 1.399 
0.350 2.427 2.427 
0.534 2.709 2.709 
0.201 3.564 3.564 
0.217 3.445 3.445 
0.267 1.344 1.344 
0.467 1.104 1.104 
0.499 0.831 0.831 
0.467 1.683 1.683 
0.384 0.908 0.908 
0.417 0.820 0.820 
0.317 1.825 1.825 
0.501 0.820 0.820 
0.284 1.476 1.476 
0.484 1.924 1.924 
0.284 1.071 1.071 
0.350 0.853 0.853 
0.451 1.432 1.432 
0.517 0.940 0.940 
0.233 1.169 1.169 
0.567 0.962 0.962 
0.517 1.596 1.596 
0.400 0.930 0.930 
0.384 2.011 2.011 
0.384 0.885 0.885 
0.334 0.766 0.766 
0.402 0.721 0.721 
0.401 1.017 1.017 
0.534 0.951 0.951 
0.517 0.733 0.733 
0.467 1.541 1.541 
0.350 0.688 0.688 
0.534 0.732 0.732 
0.417 0.776 0.776 
0.350 1.334 1.334 
0.584 0.776 0.776 
0.551 0.689 0.689 
0.417 0.688 0.688 
0.451 1.566 1.566 
0.435 0.853 0.853 
0.284 0.929 0.929 
0.317 0.667 0.667 
0.383 0.711 0.711 
0.299 0.667 0.667 
0.534 2.384 2.384 
0.284 0.941 0.941 
0.300 1.444 1.444 
0.267 1.519 1.519 
0.300 0.897 0.897 
0.384 1.105 1.105 
0.334 1.432 1.432 
0.567 0.701 0.701 
0.367 0.985 0.985 
0.284 0.666 0.666 
0.567 0.666 0.666 
0.601 0.798 0.798 
0.383 0.744 0.744 
0.250 1.202 1.202 
0.300 0.820 0.820 
0.367 0.853 0.853 
0.434 1.761 1.761 
0.301 1.879 1.879 
0.449 0.896 0.896 
0.483 1.968 1.968 
0.284 2.186 2.186 
0.250 2.436 2.436 
0.316 2.854 2.854 
0.335 1.563 1.563 
0.367 0.808 0.808 
0.400 1.138 1.138 
0.234 1.072 1.072 
0.301 1.596 1.596 
0.517 1.935 1.935 
0.217 2.874 2.874 
0.567 1.278 1.278 
0.501 1.366 1.366 
0.400 1.169 1.169 
0.434 1.170 1.170 
0.300 1.650 1.650 
0.384 1.214 1.214 
0.584 0.940 0.940 
0.417 0.994 0.994 
0.417 1.454 1.454 
0.300 1.979 1.979 
0.400 1.082 1.082 
0.450 1.301 1.301 
0.467 1.585 1.585 
0.367 2.165 2.165 
0.350 1.193 1.193 
0.601 1.782 1.782 
0.216 3.181 3.181 
0.551 2.536 2.536 
0.567 2.557 2.557 
0.516 0.973 0.973 
0.234 0.995 0.995 
0.301 1.235 1.235 
0.334 1.892 1.892 
0.466 1.203 1.203 
0.250 3.268 3.268 
0.483 1.607 1.607 
0.250 1.213 1.213 
0.467 3.649 3.649 
0.400 1.641 1.641 
0.517 1.334 1.334 
0.484 2.832 2.832 
0.567 1.061 1.061 
0.567 0.798 0.798 
0.334 1.225 1.225 
