<><><><><><><><> 
Begin: 24-Sep-2014 17:24:49 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4591
For more info visit:
https 
Subjid: s31 Run Number: 6 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.000 2.385 2.385 
0.534 0.886 0.886 
0.566 1.959 1.959 
0.250 1.117 1.117 
0.567 1.597 1.597 
0.450 1.772 1.772 
0.234 1.171 1.171 
0.318 1.236 1.236 
0.418 1.401 1.401 
0.584 0.799 0.799 
0.584 1.706 1.706 
0.267 1.247 1.247 
0.585 0.963 0.963 
0.585 1.105 1.105 
0.400 1.029 1.029 
0.517 0.799 0.799 
0.266 0.831 0.831 
0.367 0.875 0.875 
0.566 1.073 1.073 
0.517 1.214 1.214 
0.584 1.061 1.061 
0.467 1.018 1.018 
0.217 0.799 0.799 
0.534 0.776 0.776 
0.584 0.722 0.722 
0.468 0.711 0.711 
0.500 0.810 0.810 
0.500 1.586 1.586 
0.367 0.744 0.744 
0.467 0.722 0.722 
0.267 1.248 1.248 
0.484 0.897 0.897 
0.217 1.204 1.204 
0.318 1.017 1.017 
0.217 1.510 1.510 
0.233 1.106 1.106 
0.533 0.734 0.734 
0.484 0.733 0.733 
0.334 0.733 0.733 
0.585 0.712 0.712 
0.217 1.434 1.434 
0.383 0.810 0.810 
0.350 0.767 0.767 
0.517 1.707 1.707 
0.518 1.236 1.236 
0.283 0.711 0.711 
0.400 0.864 0.864 
0.384 0.711 0.711 
0.467 0.722 0.722 
0.483 2.047 2.047 
0.500 0.985 0.985 
0.317 0.886 0.886 
0.467 0.985 0.985 
0.468 1.510 1.510 
0.266 1.281 1.281 
0.255 0.711 0.711 
0.400 0.711 0.711 
0.584 0.712 0.712 
0.334 0.864 0.864 
0.434 0.919 0.919 
0.299 0.919 0.919 
0.501 0.777 0.777 
0.299 0.810 0.810 
0.400 1.050 1.050 
0.484 0.799 0.799 
0.551 1.805 1.805 
0.583 1.082 1.082 
0.417 0.941 0.941 
0.251 0.909 0.909 
0.267 0.963 0.963 
0.299 0.919 0.919 
0.533 0.722 0.722 
0.300 0.897 0.897 
0.533 0.668 0.668 
0.300 0.974 0.974 
0.568 0.789 0.789 
0.350 0.799 0.799 
0.284 0.843 0.843 
0.301 0.854 0.854 
0.450 0.755 0.755 
0.400 0.942 0.942 
0.350 0.777 0.777 
0.534 0.678 0.678 
0.433 1.138 1.138 
0.417 0.875 0.875 
0.568 0.722 0.722 
0.316 1.006 1.006 
0.500 0.908 0.908 
0.500 1.509 1.509 
0.350 1.160 1.160 
0.433 1.149 1.149 
0.234 0.996 0.996 
0.217 1.422 1.422 
0.418 2.057 2.057 
0.517 1.039 1.039 
0.584 1.247 1.247 
0.250 1.192 1.192 
0.434 1.072 1.072 
0.384 0.886 0.886 
0.216 1.751 1.751 
0.334 1.073 1.073 
0.266 0.952 0.952 
0.517 0.799 0.799 
0.333 0.777 0.777 
0.418 0.986 0.986 
0.267 0.787 0.787 
0.450 0.646 0.646 
0.300 0.767 0.767 
0.467 1.608 1.608 
0.484 0.799 0.799 
0.501 0.799 0.799 
0.385 0.853 0.853 
0.233 1.357 1.357 
0.299 1.729 1.729 
0.568 1.597 1.597 
0.266 1.160 1.160 
0.534 2.013 2.013 
0.418 0.985 0.985 
0.600 0.854 0.854 
0.234 0.897 0.897 
0.384 0.734 0.734 
0.250 0.996 0.996 
0.583 0.756 0.756 
0.200 0.853 0.853 
0.517 1.204 1.204 
0.534 1.739 1.739 
0.551 1.050 1.050 
0.234 0.908 0.908 
0.367 1.182 1.182 
0.300 0.897 0.897 
0.517 0.963 0.963 
0.367 1.161 1.161 
0.567 1.378 1.378 
0.267 1.422 1.422 
0.301 3.032 3.032 
0.267 2.396 2.396 
0.251 1.061 1.061 
0.551 0.755 0.755 
0.434 1.881 1.881 
0.417 1.971 1.971 
0.266 2.003 2.003 
0.551 1.217 1.217 
0.450 1.170 1.170 
0.350 1.215 1.215 
0.400 2.714 2.714 
0.367 0.908 0.908 
0.233 1.007 1.007 
0.301 0.853 0.853 
0.250 0.865 0.865 
0.283 1.193 1.193 
0.300 1.662 1.662 
0.366 2.364 2.364 
0.216 1.291 1.291 
0.568 0.799 0.799 
0.584 1.018 1.018 
0.401 0.842 0.842 
0.400 1.608 1.608 
0.334 1.807 1.807 
0.566 0.853 0.853 
0.350 0.886 0.886 
0.250 1.794 1.794 
0.517 0.755 0.755 
0.350 0.810 0.810 
0.300 0.733 0.733 
0.366 0.678 0.678 
0.250 0.853 0.853 
0.250 0.908 0.908 
0.584 1.040 1.040 
0.583 1.181 1.181 
0.433 1.587 1.587 
0.233 0.930 0.930 
0.301 0.733 0.733 
0.350 1.247 1.247 
0.534 1.401 1.401 
0.201 1.117 1.117 
0.217 0.963 0.963 
0.266 0.985 0.985 
0.467 0.711 0.711 
0.500 0.754 0.754 
0.467 1.718 1.718 
0.384 0.722 0.722 
0.417 1.194 1.194 
0.318 2.298 2.298 
0.500 1.040 1.040 
0.284 1.564 1.564 
0.483 2.035 2.035 
0.284 1.095 1.095 
0.350 2.802 2.802 
0.450 1.039 1.039 
0.517 0.755 0.755 
0.233 0.886 0.886 
0.583 1.127 1.127 
0.518 1.554 1.554 
0.401 1.083 1.083 
0.384 0.832 0.832 
0.384 0.919 0.919 
0.317 0.743 0.743 
0.401 1.051 1.051 
0.401 1.400 1.400 
0.534 1.630 1.630 
0.517 0.930 0.930 
0.467 3.435 3.435 
0.350 1.258 1.258 
0.534 1.358 1.358 
0.417 1.269 1.269 
0.350 1.247 1.247 
0.584 1.905 1.905 
0.550 0.843 0.843 
0.417 0.711 0.711 
0.450 1.795 1.795 
0.435 0.854 0.854 
0.284 1.149 1.149 
0.317 1.181 1.181 
0.384 1.149 1.149 
0.300 1.280 1.280 
0.534 1.094 1.094 
0.284 0.953 0.953 
0.300 1.236 1.236 
0.269 1.576 1.576 
0.300 1.018 1.018 
0.384 0.657 0.657 
0.334 0.766 0.766 
0.568 1.182 1.182 
0.367 1.149 1.149 
0.284 1.281 1.281 
0.568 1.116 1.116 
0.600 0.832 0.832 
0.384 0.910 0.910 
0.250 1.172 1.172 
0.301 0.952 0.952 
0.368 0.843 0.843 
0.434 0.810 0.810 
0.301 0.788 0.788 
0.450 0.832 0.832 
0.484 1.040 1.040 
0.284 1.401 1.401 
0.251 1.138 1.138 
0.317 1.094 1.094 
0.333 1.160 1.160 
0.367 0.799 0.799 
0.401 0.711 0.711 
0.233 0.832 0.832 
0.301 1.160 1.160 
0.517 0.996 0.996 
0.217 1.094 1.094 
0.568 0.820 0.820 
0.500 1.029 1.029 
0.400 1.314 1.314 
0.434 0.854 0.854 
0.300 0.953 0.953 
0.383 1.030 1.030 
0.583 1.892 1.892 
0.417 1.149 1.149 
0.416 2.013 2.013 
0.300 0.787 0.787 
0.400 0.690 0.690 
0.450 0.843 0.843 
0.466 0.711 0.711 
0.367 0.799 0.799 
0.351 1.028 1.028 
0.601 0.832 0.832 
0.216 0.766 0.766 
0.551 1.149 1.149 
0.567 0.722 0.722 
0.517 1.193 1.193 
0.250 1.050 1.050 
0.301 1.006 1.006 
0.334 0.909 0.909 
0.467 1.105 1.105 
0.250 2.210 2.210 
0.484 0.339 0.339 
0.250 1.072 1.072 
0.467 1.237 1.237 
0.400 1.576 1.576 
0.518 0.755 0.755 
0.484 0.689 0.689 
0.567 0.776 0.776 
0.551 0.689 0.689 
0.333 0.842 0.842 
