18,56,NaN,NaN
9,55,1,2.3471
50,57,1,2.0759
6,10,2,1.9332
51,33,2,3.066
41,5,2,1.5329
18,45,2,3.8441
26,49,1,1.8575
10,35,1,2.6224
21,6,NaN,NaN
19,26,1,1.77
29,28,2,2.2957
27,55,2,3.8688
51,31,1,3.2567
16,58,2,3.0158
57,6,1,3.3144
13,47,1,3.6719
53,31,1,3.5628
9,18,2,4.1681
17,60,2,1.5627
42,26,1,1.9891
57,55,2,2.2067
43,56,2,1.8023
3,54,2,1.8688
15,32,1,2.6658
16,33,2,1.9347
47,4,NaN,NaN
5,36,2,2.481
48,42,1,2.4689
2,10,2,1.8684
25,59,1,2.0097
3,18,2,1.4207
19,20,1,1.781
33,5,1,1.8785
40,44,2,2.4478
57,36,1,2.0199
53,33,2,1.6616
51,56,2,1.6605
47,50,2,3.1247
32,46,2,1.6609
23,40,2,3.2666
32,37,2,2.2737
17,47,2,1.0821
56,15,1,2.0214
38,26,NaN,NaN
46,6,1,1.9995
15,48,2,1.0824
37,21,1,2.2937
23,41,1,1.3991
53,27,1,2.4146
14,2,2,3.1699
20,8,2,1.2451
39,15,1,2.3063
11,45,2,1.3656
18,24,1,1.6389
27,26,2,3.31
55,49,1,1.4428
28,42,2,2.4912
9,22,1,2.153
18,41,1,1.6707
9,40,1,1.9887
46,55,1,2.3932
59,52,2,2.2835
31,58,2,1.9123
52,57,2,2.0872
13,50,2,2.2937
60,24,1,1.64
4,3,1,1.7594
6,13,2,2.1413
57,32,1,1.53
11,48,2,0.96151
46,44,1,2.1862
53,45,2,2.5467
43,14,2,2.0118
31,19,2,2.9932
28,40,2,3.7684
2,42,2,2.7979
45,15,1,1.9559
41,54,2,1.432
16,46,2,2.4685
34,47,2,2.2739
51,36,1,2.0967
3,56,2,1.2573
4,42,1,2.294
51,47,2,3.4733
40,49,1,1.2352
11,23,NaN,NaN
31,5,2,2.7857
23,48,2,1.1268
12,1,2,2.2609
21,45,2,2.4816
18,50,2,2.6997
4,33,2,2.9511
2,60,2,3.5408
29,26,2,2.4369
25,42,2,1.1702
33,55,2,1.6716
14,13,2,2.284
50,33,1,3.6927
32,3,2,2.0108
19,41,1,1.3338
12,28,2,3.5295
43,51,2,1.7711
22,14,2,2.4029
57,44,1,2.6994
35,50,2,1.2785
10,51,2,2.3715
8,1,2,2.371
41,46,2,2.0325
51,53,1,2.3801
8,54,2,1.7474
28,30,1,1.8788
14,9,2,1.9128
5,58,2,1.2015
51,7,1,2.0977
18,28,1,1.6724
13,7,2,3.0053
22,24,1,1.4753
6,28,2,2.3713
56,2,1,1.8357
33,52,1,4.1142
44,26,1,2.5902
30,27,2,2.6225
34,11,1,2.1862
28,3,1,3.5079
58,24,1,1.104
43,22,1,2.3275
36,35,2,1.6608
43,55,2,1.8469
58,29,1,1.3221
52,43,1,2.7533
32,41,1,1.5849
49,34,2,1.4866
32,43,2,3.2126
47,23,1,1.5299
9,41,1,1.3551
17,6,2,1.945
46,2,1,1.9451
25,49,1,2.0009
16,41,1,3.988
19,39,2,1.9776
6,34,2,2.1323
45,1,2,2.7747
43,28,2,1.8795
34,16,2,2.195
49,8,2,1.3003
19,6,1,1.1811
15,27,1,2.5792
30,4,1,2.3811
54,9,2,2.0221
48,33,2,2.1952
59,28,1,1.7491
6,22,1,1.7149
3,19,1,2.0768
26,48,2,1.8895
10,34,1,2.6123
40,22,1,2.3375
24,4,2,1.3117
16,26,1,1.2671
39,22,1,2.7101
60,40,1,2.0975
53,6,1,2.0331
24,29,1,1.3115
4,7,1,1.7372
52,14,2,1.432
8,32,1,3.8795
40,57,2,1.7593
5,59,2,2.787
31,12,2,2.2391
15,60,1,2.0005
56,47,1,2.6206
39,53,2,2.9924
12,29,1,1.6718
54,57,2,3.7902
42,49,1,1.6498
40,48,NaN,NaN
12,26,2,2.2836
45,46,1,2.8082
49,12,1,2.9725
48,28,1,3.9765
14,40,1,2.4918
45,48,2,3.1468
25,34,2,1.628
22,21,2,1.2781
2,51,2,2.3817
41,45,2,1.1582
47,58,2,3.4196
