<><><><><><><><> 
Begin: 14-Nov-2014 14:07:19 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s56 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
0.999 3.704 3.704 
0.532 2.676 2.676 
0.567 1.836 1.836 
0.250 1.716 1.716 
0.567 2.185 2.185 
0.451 2.930 2.930 
0.233 3.562 3.562 
0.317 1.388 1.388 
0.417 3.442 3.442 
0.585 1.836 1.836 
0.584 1.748 1.748 
0.267 2.348 2.348 
0.584 1.803 1.803 
0.584 3.999 5.995 
0.400 2.491 2.491 
0.517 1.290 1.290 
0.267 1.650 1.650 
0.367 1.924 1.924 
0.568 1.934 1.934 
0.517 2.438 2.438 
0.584 0.963 0.963 
0.466 2.416 2.416 
0.217 3.168 3.168 
0.534 1.968 1.968 
0.583 1.486 1.486 
0.467 1.628 1.628 
0.501 1.234 1.234 
0.501 2.197 2.197 
0.367 3.103 3.103 
0.467 3.629 3.629 
0.267 1.934 1.934 
0.484 1.869 1.869 
0.217 3.312 3.312 
0.317 3.987 5.994 
0.217 3.158 3.158 
0.234 1.344 1.344 
0.534 1.333 1.333 
0.484 3.125 3.125 
0.334 3.049 3.049 
0.584 1.606 1.606 
0.217 1.279 1.279 
0.384 2.000 2.000 
0.350 3.999 6.003 
0.517 1.661 1.661 
0.517 2.404 2.404 
0.284 1.268 1.268 
0.401 1.214 1.214 
0.384 3.181 3.181 
0.467 1.563 1.563 
0.484 1.585 1.585 
0.501 1.410 1.410 
0.317 1.169 1.169 
0.468 1.313 1.313 
0.467 2.109 2.109 
0.267 1.464 1.464 
0.249 2.482 2.482 
0.400 3.999 5.994 
0.584 3.868 3.868 
0.334 1.093 1.093 
0.434 0.820 0.820 
0.284 1.541 1.541 
0.501 1.705 1.705 
0.300 1.782 1.782 
0.400 2.874 2.874 
0.484 1.694 1.694 
0.567 2.591 2.591 
0.585 1.268 1.268 
0.417 1.519 1.519 
0.251 1.486 1.486 
0.267 1.180 1.180 
0.300 1.815 1.815 
0.534 1.575 1.575 
0.300 1.880 1.880 
0.534 2.525 2.525 
0.300 1.956 1.956 
0.567 1.158 1.158 
0.350 1.278 1.278 
0.284 1.322 1.322 
0.300 2.241 2.241 
0.451 1.967 1.967 
0.384 1.705 1.705 
0.350 1.672 1.672 
0.534 1.322 1.322 
0.434 3.225 3.225 
0.417 3.769 3.769 
0.567 1.202 1.202 
0.316 3.671 3.671 
0.500 4.000 5.996 
0.501 4.000 5.994 
0.350 1.005 1.005 
0.434 2.098 2.098 
0.233 2.034 2.034 
0.218 1.990 1.990 
0.417 2.361 2.361 
0.517 1.148 1.148 
0.584 1.651 1.651 
0.250 2.809 2.809 
0.434 1.116 1.116 
0.384 2.364 2.364 
0.200 1.358 1.358 
0.333 2.581 2.581 
0.267 1.246 1.246 
0.517 2.468 2.468 
0.334 3.300 3.300 
