<><><><><><><><> 
Begin: 18-Nov-2014 17:58:26 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s57 Run Number: 6 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 1.928 1.928 
0.534 2.253 2.253 
0.567 1.006 1.006 
0.250 1.455 1.455 
0.568 2.484 2.484 
0.450 1.018 1.018 
0.234 1.247 1.247 
0.317 1.542 1.542 
0.417 1.017 1.017 
0.584 0.853 0.853 
0.583 1.390 1.390 
0.266 3.609 3.609 
0.583 1.280 1.280 
0.584 0.910 0.910 
0.400 1.093 1.093 
0.517 1.389 1.389 
0.266 0.985 0.985 
0.368 1.040 1.040 
0.568 2.133 2.133 
0.517 2.002 2.002 
0.585 1.138 1.138 
0.468 1.073 1.073 
0.217 1.302 1.302 
0.534 1.324 1.324 
0.583 1.083 1.083 
0.468 1.072 1.072 
0.501 0.766 0.766 
0.501 1.105 1.105 
0.367 1.182 1.182 
0.473 2.199 2.199 
0.266 2.920 2.920 
0.484 1.247 1.247 
0.217 0.909 0.909 
0.317 1.050 1.050 
0.217 1.379 1.379 
0.234 0.919 0.919 
0.533 1.313 1.313 
0.484 2.266 2.266 
0.334 1.149 1.149 
0.585 1.576 1.576 
0.218 0.953 0.953 
0.383 1.575 1.575 
0.351 1.051 1.051 
0.501 2.298 2.298 
0.517 1.608 1.608 
0.283 1.148 1.148 
0.400 2.789 2.789 
0.384 1.543 1.543 
0.467 3.994 4.015 
0.484 1.128 1.128 
0.501 1.214 1.214 
0.317 1.105 1.105 
0.467 0.897 0.897 
0.467 1.816 1.816 
0.267 1.587 1.587 
0.251 0.919 0.919 
0.400 0.941 0.941 
0.586 1.302 1.302 
0.334 3.282 3.282 
0.434 0.734 0.734 
0.300 1.247 1.247 
0.506 0.810 0.810 
0.300 2.200 2.200 
0.399 2.582 2.582 
0.484 1.510 1.510 
0.567 0.875 0.875 
0.584 0.733 0.733 
0.418 1.040 1.040 
0.251 3.558 3.558 
0.267 1.215 1.215 
0.300 1.860 1.860 
0.534 1.061 1.061 
0.301 1.434 1.434 
0.534 0.930 0.930 
0.301 3.121 3.121 
0.567 1.467 1.467 
0.334 1.378 1.378 
0.283 1.576 1.576 
0.300 0.854 0.854 
0.451 0.788 0.788 
0.400 1.051 1.051 
0.350 2.048 2.048 
0.534 0.974 0.974 
0.433 2.999 2.999 
0.416 1.215 1.215 
0.568 0.876 0.876 
0.317 2.145 2.145 
0.500 0.985 0.985 
0.500 1.215 1.215 
0.350 1.171 1.171 
0.434 0.799 0.799 
0.234 1.872 1.872 
0.217 1.007 1.007 
0.418 1.083 1.083 
0.517 1.072 1.072 
0.583 2.080 2.080 
0.250 1.269 1.269 
0.434 2.473 2.473 
0.384 0.843 0.843 
0.200 1.149 1.149 
0.334 1.662 1.662 
0.267 1.192 1.192 
0.517 1.466 1.466 
0.334 3.993 5.985 
