<><><><><><><><> 
Begin: 18-Nov-2014 17:48:31 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s57 Run Number: 5 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 2.363 2.363 
0.533 1.116 1.116 
0.568 1.084 1.084 
0.251 1.226 1.226 
0.568 1.238 1.238 
0.451 1.029 1.029 
0.233 0.821 0.821 
0.317 1.882 1.882 
0.417 0.854 0.854 
0.583 1.629 1.629 
0.584 0.996 0.996 
0.267 0.974 0.974 
0.585 1.094 1.094 
0.584 1.062 1.062 
0.401 1.576 1.576 
0.517 1.117 1.117 
0.266 1.028 1.028 
0.367 0.930 0.930 
0.568 1.390 1.390 
0.517 0.996 0.996 
0.584 1.061 1.061 
0.467 1.150 1.150 
0.217 1.422 1.422 
0.550 0.820 0.820 
0.568 0.843 0.843 
0.468 1.324 1.324 
0.501 1.193 1.193 
0.501 2.123 2.123 
0.367 1.531 1.531 
0.467 0.788 0.788 
0.268 1.028 1.028 
0.484 2.123 2.123 
0.217 1.138 1.138 
0.316 1.116 1.116 
0.216 0.985 0.985 
0.233 1.172 1.172 
0.534 0.876 0.876 
0.484 0.776 0.776 
0.334 1.127 1.127 
0.584 1.510 1.510 
0.217 1.126 1.126 
0.383 0.941 0.941 
0.350 0.974 0.974 
0.516 0.997 0.997 
0.518 0.941 0.941 
0.283 1.631 1.631 
0.401 0.886 0.886 
0.383 0.876 0.876 
0.467 1.040 1.040 
0.483 1.762 1.762 
0.501 0.941 0.941 
0.317 1.105 1.105 
0.467 1.280 1.280 
0.468 0.963 0.963 
0.266 1.466 1.466 
0.250 0.810 0.810 
0.401 2.352 2.352 
0.583 1.608 1.608 
0.333 0.920 0.920 
0.433 0.973 0.973 
0.284 1.073 1.073 
0.501 1.477 1.477 
0.300 1.783 1.783 
0.400 1.281 1.281 
0.484 1.401 1.401 
0.567 2.407 2.407 
0.585 1.849 1.849 
0.417 1.411 1.411 
0.251 3.030 3.030 
0.268 1.160 1.160 
0.300 1.116 1.116 
0.533 2.550 2.550 
0.300 3.217 3.217 
0.534 1.095 1.095 
0.301 1.609 1.609 
0.567 1.826 1.826 
0.350 1.181 1.181 
0.284 2.548 2.548 
0.300 0.941 0.941 
0.450 1.674 1.674 
0.384 1.334 1.334 
0.350 1.247 1.247 
0.534 0.963 0.963 
0.434 2.846 2.846 
0.417 1.072 1.072 
0.567 1.280 1.280 
0.318 1.225 1.225 
0.500 1.707 1.707 
0.500 1.772 1.772 
0.350 1.017 1.017 
0.434 0.886 0.886 
0.234 1.236 1.236 
0.233 0.964 0.964 
0.418 1.291 1.291 
0.518 0.876 0.876 
0.583 1.082 1.082 
0.251 2.188 2.188 
0.434 1.663 1.663 
0.384 1.292 1.292 
0.201 0.941 0.941 
0.333 1.379 1.379 
0.267 2.494 2.494 
0.517 1.444 1.444 
0.333 3.468 3.468 
