<><><><><><><><> 
Begin: 03-Oct-2014 15:31:54 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s24 Run Number: 3 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 1.188 1.188 
0.533 1.565 1.565 
0.568 2.232 2.232 
0.250 1.980 1.980 
0.567 1.752 1.752 
0.450 1.434 1.434 
0.234 2.286 2.286 
0.317 1.215 1.215 
0.417 1.894 1.894 
0.584 2.975 2.975 
0.584 1.663 1.663 
0.267 2.342 2.342 
0.584 2.287 2.287 
0.585 1.477 1.477 
0.400 1.345 1.345 
0.517 1.762 1.762 
0.267 1.859 1.859 
0.367 1.356 1.356 
0.568 1.980 1.980 
0.518 2.078 2.078 
0.584 1.292 1.292 
0.466 2.899 2.899 
0.216 2.003 2.003 
0.534 1.433 1.433 
0.584 1.619 1.619 
0.468 0.931 0.931 
0.500 1.794 1.794 
0.500 1.160 1.160 
0.367 1.368 1.368 
0.468 1.182 1.182 
0.266 1.368 1.368 
0.483 1.762 1.762 
0.216 2.013 2.013 
0.316 1.859 1.859 
0.217 1.641 1.641 
0.235 1.411 1.411 
0.534 1.969 1.969 
0.484 2.648 2.648 
0.334 1.411 1.411 
0.584 1.762 1.762 
0.217 1.247 1.247 
0.383 1.203 1.203 
0.350 2.725 2.725 
0.501 4.004 4.174 
0.517 3.063 3.063 
0.283 1.881 1.881 
0.401 3.689 3.689 
0.384 3.085 3.085 
0.467 1.499 1.499 
0.484 1.127 1.127 
0.501 2.758 2.758 
0.317 1.533 1.533 
0.483 1.018 1.018 
0.467 1.925 1.925 
0.266 3.995 4.683 
0.250 1.412 1.412 
0.400 1.510 1.510 
0.584 1.257 1.257 
0.334 1.488 1.488 
0.434 2.396 2.396 
0.300 3.721 3.721 
0.502 2.899 2.899 
0.300 1.872 1.872 
0.400 2.319 2.319 
0.484 1.292 1.292 
0.551 1.346 1.346 
0.584 0.854 0.854 
0.417 1.083 1.083 
0.251 1.433 1.433 
0.267 1.707 1.707 
0.299 0.996 0.996 
0.533 1.027 1.027 
0.301 1.357 1.357 
0.534 1.488 1.488 
0.301 0.996 0.996 
0.567 1.784 1.784 
0.350 1.345 1.345 
0.284 1.160 1.160 
0.300 1.150 1.150 
0.451 1.652 1.652 
0.384 1.368 1.368 
0.350 2.418 2.418 
0.534 1.970 1.970 
0.434 3.228 3.228 
0.417 1.193 1.193 
0.568 1.281 1.281 
0.317 2.615 2.615 
0.502 1.302 1.302 
0.501 2.145 2.145 
0.350 3.053 3.053 
0.434 1.128 1.128 
0.235 1.193 1.193 
0.216 2.155 2.155 
0.417 1.379 1.379 
0.517 1.159 1.159 
0.583 1.105 1.105 
0.250 1.829 1.829 
0.433 0.799 0.799 
0.383 1.269 1.269 
0.201 1.040 1.040 
0.334 1.543 1.543 
0.267 1.138 1.138 
0.517 1.335 1.335 
0.334 1.281 1.281 
