<><><><><><><><> 
Begin: 11-Mar-2014 14:28:36 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s36 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (1-m, 2-f) 5. acc 6. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 0.293 0.359 
0.267 0.303 0.389 
0.417 0.296 0.344 
0.851 0.284 0.508 
0.234 0.284 0.508 
0.951 0.285 0.464 
0.784 0.295 0.607 
0.601 0.284 0.497 
0.667 0.295 0.453 
0.384 0.307 0.459 
0.567 0.295 0.508 
0.968 0.295 0.410 
0.634 0.306 0.383 
0.617 0.295 0.377 
0.384 0.295 0.476 
0.601 0.284 0.377 
0.701 0.296 0.464 
0.751 0.284 0.454 
0.517 0.295 0.651 
0.501 0.295 0.442 
0.985 0.306 0.458 
0.233 0.044 0.044 
0.918 0.284 0.475 
0.936 0.295 0.377 
0.834 0.295 0.322 
0.284 0.296 0.421 
0.417 0.285 0.410 
0.467 0.296 0.454 
0.751 0.295 0.311 
0.317 0.284 0.498 
0.784 0.285 0.497 
0.284 0.295 0.465 
0.717 0.306 0.459 
0.601 0.295 0.520 
0.818 0.306 0.449 
0.768 0.306 0.459 
0.934 0.284 0.344 
0.918 0.295 0.312 
0.466 0.295 0.497 
0.767 0.284 0.442 
0.366 0.285 0.617 
0.234 0.284 0.596 
0.801 0.295 0.333 
0.601 0.295 0.661 
0.584 0.296 0.420 
0.934 0.285 0.432 
0.685 0.296 0.409 
0.701 0.296 0.410 
0.885 0.296 0.376 
0.851 0.295 0.377 
0.667 0.295 0.520 
0.350 0.295 0.530 
0.400 0.284 0.497 
0.917 0.284 0.530 
0.233 0.285 0.487 
0.601 0.284 0.606 
0.334 0.295 0.476 
0.984 0.296 0.443 
0.767 0.296 0.355 
0.600 0.295 0.509 
0.584 0.295 0.497 
0.250 0.296 0.486 
0.751 0.296 0.683 
0.234 0.295 0.486 
0.266 0.284 0.388 
0.617 0.295 0.421 
0.285 0.285 0.518 
0.851 0.296 0.453 
0.851 0.295 0.432 
0.784 0.295 0.399 
0.317 0.295 0.487 
0.735 0.284 0.573 
0.617 0.296 0.388 
0.984 0.295 0.377 
0.718 0.295 0.442 
0.851 0.285 0.509 
0.567 0.295 0.465 
0.552 0.295 0.497 
0.867 0.295 0.442 
0.267 0.066 0.066 
0.301 0.285 0.285 
0.334 0.306 0.536 
0.517 0.296 0.508 
0.868 0.296 0.421 
0.850 0.295 0.486 
0.250 0.295 0.530 
0.517 0.296 0.344 
0.617 0.296 0.497 
0.534 0.295 0.563 
0.733 0.285 0.530 
0.702 0.295 0.627 
0.434 0.295 0.464 
0.550 0.295 0.596 
0.218 0.295 0.595 
0.984 0.295 0.410 
0.334 0.296 0.486 
0.284 0.295 0.443 
0.500 0.296 0.486 
0.367 0.285 0.497 
0.600 0.285 0.508 
0.467 0.306 0.547 
0.968 0.295 0.410 
0.934 0.295 0.377 
0.250 0.284 0.508 
0.784 0.307 0.438 
0.417 0.295 0.355 
0.534 0.307 0.329 
0.634 0.306 0.437 
0.951 0.296 0.399 
0.534 0.295 0.421 
0.985 0.296 0.431 
