<><><><><><><><> 
Begin: 06-Feb-2014 11:49:10 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s09 Run Number: 4 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (1-m, 2-f) 5. acc 6. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 0.297 0.433 
0.267 0.298 0.443 
0.417 0.285 0.498 
0.850 0.285 0.455 
0.234 0.285 0.839 
0.951 0.285 0.609 
0.783 0.302 0.469 
0.600 0.291 0.441 
0.667 0.291 0.452 
0.383 0.302 0.393 
0.567 0.303 0.437 
0.968 0.304 0.448 
0.634 0.302 0.511 
0.617 0.302 0.511 
0.383 0.302 0.469 
0.600 0.291 0.441 
0.701 0.294 0.355 
0.750 0.293 0.366 
0.518 0.292 0.463 
0.501 0.285 0.399 
1.001 0.285 0.378 
0.234 0.296 0.519 
0.917 0.285 0.487 
0.934 0.296 0.367 
0.835 0.296 0.476 
0.284 0.296 0.354 
0.417 0.285 0.388 
0.468 0.296 0.322 
0.750 0.285 0.285 
0.316 0.295 0.651 
0.785 0.285 0.322 
0.283 0.296 0.422 
0.733 0.285 0.366 
0.602 0.295 0.573 
0.818 0.305 0.416 
0.767 0.306 0.329 
0.918 0.306 0.437 
0.918 0.296 0.355 
0.466 0.296 0.411 
0.767 0.285 0.377 
0.366 0.285 0.344 
0.233 0.285 0.335 
0.800 0.297 0.356 
0.600 0.285 0.285 
0.585 0.296 0.311 
0.934 0.285 0.399 
0.684 0.296 1.002 
0.701 0.296 0.454 
0.884 0.296 0.311 
0.851 0.286 0.322 
0.668 0.296 0.454 
0.349 0.296 0.487 
0.399 0.285 0.355 
0.918 0.285 0.388 
0.218 0.307 0.338 
0.601 0.285 0.356 
0.334 0.296 0.421 
0.984 0.296 0.663 
0.766 0.296 0.367 
0.601 0.296 0.354 
0.585 0.275 0.275 
0.251 0.296 0.366 
0.751 0.286 0.286 
0.233 0.296 0.586 
0.267 0.285 0.378 
0.617 0.296 0.476 
0.284 0.296 0.345 
0.850 0.296 0.476 
0.850 0.296 0.367 
0.784 0.296 0.531 
0.317 0.297 0.651 
0.734 0.287 0.498 
0.618 0.298 0.558 
0.984 0.296 0.454 
0.717 0.297 0.442 
0.850 0.275 0.275 
0.567 0.296 0.465 
0.551 0.296 0.486 
0.867 0.285 0.607 
0.266 0.296 0.520 
0.316 0.285 0.520 
0.333 0.307 0.559 
0.517 0.296 0.531 
0.868 0.274 0.274 
0.851 0.285 0.509 
0.251 0.297 0.421 
0.516 0.296 0.674 
0.618 0.296 0.410 
0.533 0.296 0.399 
0.734 0.285 0.355 
0.701 0.296 0.453 
0.434 0.296 0.313 
0.551 0.296 0.344 
0.217 0.296 0.992 
0.983 0.296 1.003 
0.334 0.296 0.389 
0.285 0.296 0.497 
0.501 0.296 0.542 
0.367 0.285 0.442 
0.600 0.285 0.454 
0.467 0.307 0.460 
0.967 0.297 0.400 
0.934 0.274 0.274 
0.250 0.285 0.422 
0.801 0.285 0.454 
0.417 0.296 0.432 
0.534 0.296 0.575 
0.633 0.307 0.526 
0.950 0.296 0.509 
0.534 0.296 0.388 
0.984 0.296 0.296 
