<><><><><><><><> 
Begin: 06-Feb-2014 11:44:00 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s09 Run Number: 3 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (1-m, 2-f) 5. acc 6. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.000 0.296 0.532 
0.267 0.296 0.432 
0.417 0.286 0.422 
0.850 0.285 0.421 
0.234 0.077 0.077 
0.950 0.296 0.520 
0.784 0.296 0.541 
0.600 0.285 0.630 
0.667 0.296 0.486 
0.385 0.307 0.449 
0.567 0.296 0.454 
0.967 0.296 0.629 
0.633 0.307 0.395 
0.616 0.296 0.432 
0.384 0.296 0.410 
0.600 0.285 0.477 
0.701 0.296 0.443 
0.750 0.285 0.443 
0.517 0.296 0.564 
0.501 0.285 0.619 
1.000 0.285 0.466 
0.234 0.296 0.475 
0.918 0.285 0.443 
0.934 0.296 0.486 
0.835 0.296 0.463 
0.283 0.296 0.531 
0.417 0.285 0.443 
0.468 0.296 0.496 
0.752 0.285 0.285 
0.317 0.285 0.421 
0.784 0.285 0.431 
0.284 0.296 0.510 
0.718 0.307 0.427 
0.601 0.296 0.532 
0.834 0.285 0.773 
0.766 0.307 0.636 
0.933 0.285 0.882 
0.918 0.296 0.476 
0.466 0.296 0.509 
0.768 0.286 0.410 
0.367 0.285 0.465 
0.233 0.285 0.520 
0.802 0.286 0.562 
0.601 0.296 0.454 
0.584 0.296 0.409 
0.934 0.285 0.455 
0.685 0.296 0.398 
0.701 0.285 0.421 
0.884 0.296 0.334 
0.851 0.285 0.475 
0.667 0.296 0.685 
0.350 0.296 0.663 
0.400 0.285 0.487 
0.917 0.285 0.640 
0.234 0.285 0.630 
0.600 0.285 0.542 
0.334 0.296 0.641 
0.984 0.296 0.508 
0.769 0.297 0.475 
0.601 0.296 0.433 
0.585 0.285 0.618 
0.251 0.296 0.563 
0.752 0.285 0.365 
0.235 0.296 0.531 
0.267 0.285 0.498 
0.617 0.296 0.411 
0.284 0.295 0.498 
0.852 0.296 0.420 
0.852 0.296 0.672 
0.785 0.286 0.508 
0.316 0.296 0.531 
0.734 0.296 0.475 
0.617 0.296 0.442 
0.983 0.297 0.520 
0.718 0.296 0.618 
0.851 0.285 0.531 
0.568 0.296 0.432 
0.551 0.296 0.498 
0.868 0.285 0.344 
0.267 0.296 0.453 
0.316 0.285 0.455 
0.334 0.296 0.453 
0.517 0.297 0.805 
0.868 0.296 0.476 
0.850 0.285 0.675 
0.249 0.296 0.554 
0.517 0.296 0.542 
0.618 0.296 0.607 
0.535 0.297 0.453 
0.734 0.285 0.531 
0.702 0.296 0.409 
0.434 0.296 0.442 
0.550 0.297 0.509 
0.216 0.296 0.553 
0.983 0.297 0.509 
0.333 0.296 0.345 
0.284 0.296 0.530 
0.502 0.297 0.311 
0.367 0.285 0.420 
0.601 0.292 0.312 
0.467 0.303 0.448 
0.968 0.295 0.575 
0.934 0.296 0.312 
0.249 0.285 0.509 
0.801 0.285 0.466 
0.417 0.296 0.399 
0.534 0.296 0.453 
0.634 0.296 0.400 
0.952 0.296 0.421 
0.533 0.296 0.476 
0.984 0.296 0.487 
