<><><><><><><><> 
Begin: 06-Feb-2014 11:32:15 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s09 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (1-m, 2-f) 5. acc 6. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.005 0.296 0.859 
0.266 0.297 0.738 
0.417 0.285 0.992 
0.851 0.285 0.432 
0.234 0.285 0.683 
0.951 0.285 0.991 
0.785 0.296 0.465 
0.601 0.285 0.497 
0.669 0.296 0.564 
0.400 0.285 0.981 
0.567 0.297 0.629 
0.968 0.296 0.509 
0.635 0.302 0.999 
0.618 0.292 0.419 
0.384 0.302 0.999 
0.601 0.292 0.560 
0.701 0.291 0.999 
0.751 0.285 0.476 
0.517 0.296 1.002 
0.501 0.285 0.498 
1.001 0.285 0.531 
0.234 0.296 0.498 
0.918 0.285 0.991 
0.934 0.296 0.992 
0.834 0.296 0.311 
0.284 0.296 0.992 
0.417 0.285 0.465 
0.468 0.296 1.002 
0.751 0.285 0.311 
0.317 0.285 0.993 
0.784 0.285 0.991 
0.284 0.296 0.683 
0.734 0.285 0.465 
0.601 0.296 0.520 
0.834 0.285 0.981 
0.768 0.306 0.997 
0.933 0.285 0.991 
0.917 0.296 0.344 
0.468 0.296 0.705 
0.767 0.285 0.991 
0.367 0.285 0.993 
0.233 0.285 0.509 
0.800 0.296 0.991 
0.601 0.296 0.311 
0.584 0.296 0.343 
0.933 0.285 0.466 
0.684 0.296 0.355 
0.701 0.285 0.990 
0.883 0.296 0.443 
0.852 0.285 0.542 
0.668 0.285 0.991 
0.350 0.296 0.443 
0.401 0.285 0.465 
0.918 0.285 0.991 
0.234 0.284 0.991 
0.601 0.285 0.992 
0.334 0.296 1.003 
0.983 0.296 0.455 
0.768 0.297 0.487 
0.600 0.296 0.466 
0.584 0.285 0.992 
0.250 0.296 0.992 
0.752 0.296 0.990 
0.234 0.296 1.001 
0.267 0.285 0.992 
0.617 0.296 0.992 
0.285 0.285 0.476 
0.852 0.296 0.551 
0.851 0.296 1.002 
0.784 0.296 0.892 
0.317 0.296 1.002 
0.735 0.285 0.992 
0.618 0.296 0.991 
0.984 0.296 0.990 
0.717 0.296 0.564 
0.851 0.285 0.542 
0.568 0.296 0.990 
0.551 0.296 0.344 
0.868 0.285 0.573 
0.268 0.296 0.574 
0.317 0.285 0.454 
0.334 0.307 0.998 
0.517 0.296 0.991 
0.869 0.296 0.990 
0.851 0.285 0.991 
0.249 0.296 0.992 
0.518 0.296 0.464 
0.617 0.307 0.582 
0.534 0.296 0.541 
0.734 0.285 0.991 
0.700 0.296 1.002 
0.434 0.296 0.992 
0.551 0.296 0.488 
0.216 0.296 0.532 
0.984 0.296 1.001 
0.335 0.296 0.596 
0.285 0.296 1.001 
0.502 0.296 0.354 
0.367 0.285 0.990 
0.600 0.285 0.520 
0.467 0.307 0.997 
0.969 0.285 0.936 
0.934 0.296 0.431 
0.250 0.285 0.488 
0.800 0.285 0.992 
0.416 0.296 0.532 
0.534 0.296 1.002 
0.635 0.297 0.476 
0.952 0.296 0.595 
0.535 0.296 1.001 
0.985 0.296 0.794 
