<><><><><><><><> 
Begin: 02-Oct-2014 12:33:09 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s31 Run Number: 3 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 2.452 2.452 
0.534 1.072 1.072 
0.568 0.886 0.886 
0.250 0.896 0.896 
0.568 0.722 0.722 
0.451 0.657 0.657 
0.249 0.809 0.809 
0.317 0.788 0.788 
0.417 0.679 0.679 
0.584 1.696 1.696 
0.584 0.853 0.853 
0.267 0.777 0.777 
0.585 1.543 1.543 
0.585 0.788 0.788 
0.401 1.214 1.214 
0.517 1.226 1.226 
0.266 1.740 1.740 
0.367 2.432 2.432 
0.567 1.017 1.017 
0.517 1.248 1.248 
0.584 1.555 1.555 
0.467 1.192 1.192 
0.217 1.652 1.652 
0.534 0.821 0.821 
0.583 1.663 1.663 
0.467 0.952 0.952 
0.502 1.017 1.017 
0.500 0.767 0.767 
0.367 1.358 1.358 
0.467 0.821 0.821 
0.268 0.832 0.832 
0.484 1.160 1.160 
0.216 1.028 1.028 
0.317 1.040 1.040 
0.217 0.853 0.853 
0.235 0.886 0.886 
0.534 0.799 0.799 
0.485 1.631 1.631 
0.334 0.930 0.930 
0.584 1.172 1.172 
0.216 0.744 0.744 
0.384 0.789 0.789 
0.349 0.700 0.700 
0.501 0.668 0.668 
0.517 0.733 0.733 
0.283 0.865 0.865 
0.401 0.690 0.690 
0.384 1.039 1.039 
0.467 0.930 0.930 
0.484 0.766 0.766 
0.502 0.776 0.776 
0.317 0.821 0.821 
0.483 1.816 1.816 
0.468 0.733 0.733 
0.267 0.843 0.843 
0.250 0.788 0.788 
0.401 0.788 0.788 
0.584 0.766 0.766 
0.334 1.159 1.159 
0.433 1.007 1.007 
0.300 0.810 0.810 
0.501 1.040 1.040 
0.300 0.744 0.744 
0.399 0.744 0.744 
0.483 0.974 0.974 
0.567 1.193 1.193 
0.584 1.007 1.007 
0.417 0.975 0.975 
0.250 0.974 0.974 
0.267 0.995 0.995 
0.300 1.128 1.128 
0.534 1.181 1.181 
0.301 0.756 0.756 
0.534 0.679 0.679 
0.300 1.838 1.838 
0.567 3.555 3.555 
0.349 2.362 2.362 
0.284 1.227 1.227 
0.300 1.072 1.072 
0.451 3.161 3.161 
0.399 1.127 1.127 
0.350 1.127 1.127 
0.533 1.018 1.018 
0.434 1.236 1.236 
0.417 1.051 1.051 
0.566 1.061 1.061 
0.318 1.193 1.193 
0.502 1.182 1.182 
0.502 1.347 1.347 
0.350 0.963 0.963 
0.434 1.104 1.104 
0.235 1.215 1.215 
0.217 3.984 3.984 
0.417 1.051 1.051 
0.518 0.886 0.886 
0.583 0.854 0.854 
0.250 1.061 1.061 
0.434 0.952 0.952 
0.383 0.964 0.964 
0.200 1.095 1.095 
0.333 2.101 2.101 
0.268 0.941 0.941 
0.518 0.854 0.854 
0.333 0.810 0.810 
