<><><><><><><><> 
Begin: 28-Nov-2014 13:32:15 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s62 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.000 1.522 1.522 
0.267 0.810 0.810 
0.600 0.657 0.657 
0.483 0.833 0.833 
0.401 0.635 0.635 
0.384 0.866 0.866 
0.234 2.781 2.781 
0.468 0.713 0.713 
0.217 0.833 0.833 
0.234 0.536 0.536 
0.417 0.931 0.931 
0.234 1.337 1.337 
0.534 0.964 0.964 
0.534 0.482 0.482 
0.484 0.570 0.570 
0.267 0.778 0.778 
0.467 0.591 0.591 
0.417 0.943 0.943 
0.585 0.602 0.602 
0.468 1.094 1.094 
0.517 0.405 0.405 
0.384 0.449 0.449 
0.368 0.482 0.482 
0.534 0.558 0.558 
0.234 0.581 0.581 
0.250 0.876 0.876 
0.266 0.548 0.548 
0.367 0.591 0.591 
0.534 1.567 1.567 
0.517 1.687 1.687 
0.233 1.479 1.479 
0.367 1.829 1.829 
0.417 0.592 0.592 
0.368 0.373 0.373 
0.467 0.722 0.722 
0.450 1.029 1.029 
0.317 2.683 2.683 
0.367 0.723 0.723 
0.216 2.639 2.639 
0.602 0.515 0.515 
0.268 0.504 0.504 
0.250 1.040 1.040 
0.351 0.909 0.909 
0.284 1.018 1.018 
0.400 0.745 0.745 
0.334 0.614 0.614 
0.584 0.580 0.580 
0.567 1.160 1.160 
0.217 0.821 0.821 
0.501 0.854 0.854 
0.316 1.194 1.194 
0.368 0.745 0.745 
0.418 0.635 0.635 
0.584 1.051 1.051 
0.367 0.679 0.679 
0.601 0.635 0.635 
0.318 0.657 0.657 
0.484 2.311 2.311 
0.467 0.800 0.800 
0.418 0.700 0.700 
0.484 0.624 0.624 
0.467 2.244 2.244 
0.267 1.840 1.840 
0.250 1.522 1.522 
0.601 0.723 0.723 
0.267 0.898 0.898 
0.217 0.636 0.636 
0.434 0.679 0.679 
0.550 0.788 0.788 
0.467 0.701 0.701 
0.284 1.161 1.161 
0.351 0.690 0.690 
0.384 0.591 0.591 
0.601 1.797 1.797 
0.266 0.789 0.789 
0.551 1.040 1.040 
0.467 1.139 1.139 
0.349 0.756 0.756 
0.284 0.636 0.636 
0.367 0.635 0.635 
0.400 0.625 0.625 
0.250 0.635 0.635 
0.434 1.161 1.161 
0.300 0.580 0.580 
0.351 0.657 0.657 
0.434 0.526 0.526 
0.300 0.580 0.580 
0.317 0.460 0.460 
0.450 0.405 0.405 
0.302 0.406 0.406 
0.534 0.449 0.449 
0.601 0.559 0.559 
0.500 0.427 0.427 
0.334 0.427 0.427 
0.434 0.690 0.690 
0.251 0.843 0.843 
0.567 0.646 0.646 
0.551 0.800 0.800 
0.534 0.634 0.634 
0.300 0.603 0.603 
0.434 0.646 0.646 
0.217 0.493 0.493 
0.367 0.548 0.548 
0.333 0.559 0.559 
