<><><><><><><><> 
Begin: 21-Feb-2014 13:15:27 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s17 Run Number: 4 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (1-m, 2-f) 5. acc 6. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 0.296 0.683 
0.267 0.295 0.606 
0.418 0.285 0.529 
0.850 0.284 0.564 
0.233 0.285 0.650 
0.951 0.284 0.596 
0.785 0.296 0.705 
0.601 0.285 0.508 
0.667 0.295 0.508 
0.399 0.284 0.552 
0.567 0.295 0.542 
0.969 0.295 0.518 
0.635 0.295 0.552 
0.617 0.295 0.530 
0.385 0.295 0.529 
0.600 0.284 0.563 
0.701 0.296 0.617 
0.751 0.285 0.520 
0.517 0.295 0.519 
0.501 0.295 0.552 
1.001 0.284 0.683 
0.234 0.295 0.608 
0.917 0.284 0.563 
0.935 0.296 0.497 
0.834 0.296 0.541 
0.283 0.295 0.684 
0.418 0.285 0.552 
0.467 0.295 0.573 
0.751 0.285 0.540 
0.316 0.295 0.377 
0.784 0.295 0.519 
0.284 0.296 0.389 
0.718 0.306 0.568 
0.600 0.296 0.607 
0.834 0.285 0.541 
0.767 0.306 0.711 
0.918 0.307 0.504 
0.918 0.296 0.584 
0.468 0.296 0.595 
0.766 0.284 0.476 
0.366 0.284 0.410 
0.233 0.285 0.552 
0.801 0.295 0.629 
0.602 0.295 0.398 
0.584 0.295 0.641 
0.934 0.284 0.344 
0.684 0.295 0.475 
0.701 0.295 0.563 
0.885 0.295 0.574 
0.851 0.296 0.409 
0.666 0.295 0.378 
0.350 0.295 0.540 
0.400 0.284 0.761 
0.917 0.285 0.355 
0.233 0.285 0.344 
0.600 0.284 0.399 
0.334 0.296 0.498 
0.984 0.295 0.334 
0.768 0.263 0.263 
0.601 0.296 0.422 
0.585 0.285 0.409 
0.250 0.295 0.999 
0.752 0.296 0.463 
0.233 0.295 0.619 
0.266 0.284 0.574 
0.617 0.295 0.421 
0.283 0.295 0.399 
0.851 0.296 0.410 
0.852 0.296 0.464 
0.785 0.284 0.410 
0.317 0.295 0.498 
0.734 0.295 0.345 
0.618 0.262 0.262 
0.984 0.296 0.365 
0.718 0.295 0.333 
0.851 0.284 0.333 
0.567 0.295 0.311 
0.551 0.296 0.367 
0.868 0.285 0.694 
0.268 0.295 0.464 
0.317 0.285 0.639 
0.349 0.284 0.322 
0.518 0.295 0.311 
0.868 0.295 0.323 
0.851 0.284 0.377 
0.250 0.295 0.344 
0.516 0.295 0.322 
0.618 0.295 0.356 
0.535 0.295 0.377 
0.734 0.284 0.312 
0.701 0.230 0.230 
0.434 0.252 0.252 
0.552 0.295 0.311 
0.217 0.295 0.355 
0.985 0.274 0.274 
0.335 0.295 0.344 
0.283 0.295 0.629 
0.500 0.263 0.263 
0.367 0.285 0.312 
0.600 0.284 0.333 
0.467 0.263 0.263 
0.968 0.011 0.011 
0.935 0.251 0.251 
0.250 0.284 0.442 
0.801 0.284 0.421 
0.417 0.296 0.296 
0.534 0.307 0.307 
0.635 0.011 0.011 
0.952 0.241 0.241 
0.534 0.011 0.011 
0.986 0.295 0.923 
