92,84,1,3.3712
82,106,2,1.7071
75,87,1,1.7838
108,71,NaN,NaN
109,70,2,1.1265
66,88,2,1.6302
80,82,1,1.4883
75,120,1,0.96237
117,79,2,1.2921
81,84,1,1.0062
91,95,NaN,NaN
103,98,1,2.3308
85,65,2,1.1929
110,107,2,1.1815
62,116,1,0.89633
72,89,1,0.93034
104,96,1,1.4666
115,91,2,2.3858
111,102,2,1.1148
96,64,2,1.772
83,87,NaN,NaN
72,94,1,2.7025
116,110,2,0.79872
117,99,2,2.7674
78,80,1,1.5196
73,118,1,3.3142
69,89,2,1.2144
71,98,1,3.1065
66,105,1,1.1054
116,91,2,0.93055
104,100,1,0.83199
78,68,2,1.4662
98,118,2,2.2758
72,75,1,0.99656
117,85,2,1.107
63,62,2,1.258
87,65,2,1.0729
117,76,2,1.9041
108,79,2,1.4334
98,74,2,2.2315
93,85,1,1.6424
97,94,NaN,NaN
110,105,1,2.5915
115,89,1,3.906
87,119,2,1.7614
102,98,1,1.3358
71,67,1,2.5165
114,106,2,1.2583
95,96,2,2.5602
80,110,2,3.2697
77,63,1,2.9431
67,89,2,1.2145
115,76,2,1.6422
72,69,1,1.2583
74,93,2,1.9469
84,71,2,1.2477
102,118,1,1.6191
78,117,1,1.1825
118,80,1,1.6625
67,72,2,1.2904
86,102,2,3.9391
114,64,2,1.4342
105,94,2,1.1489
84,78,2,1.1928
70,66,2,4.0481
67,97,2,1.3466
111,71,2,1.6957
79,100,1,1.4767
86,81,2,2.4084
88,119,1,0.99538
95,87,1,2.6043
106,68,1,3.9294
79,112,2,2.6572
82,94,2,1.2361
98,64,2,1.1489
99,91,2,1.3459
82,117,NaN,NaN
95,63,1,3.0851
88,68,1,1.0063
97,84,1,2.0018
62,109,2,2.5937
81,64,2,3.9717
99,90,2,3.0004
65,78,NaN,NaN
63,91,1,1.6197
113,99,1,0.93034
77,83,1,1.8052
66,113,1,1.0942
74,83,1,2.6042
84,62,2,3.71
85,103,2,2.6697
79,75,2,2.0355
81,110,1,2.5599
108,67,1,1.3249
70,95,1,2.0783
77,80,2,1.3131
79,101,1,1.4122
96,93,2,0.98452
61,95,1,1.4442
112,119,1,2.1342
104,82,1,1.1057
89,88,2,1.0928
99,87,2,1.378
82,73,2,1.3778
116,74,2,1.0397
84,87,2,1.5542
105,85,2,1.3011
115,106,2,1.2703
90,67,2,2.2327
112,83,1,1.8389
114,91,2,2.6478
106,84,1,1.334
94,101,1,1.1377
