<><><><><><><><> 
Begin: 24-Sep-2014 11:58:14 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4591
For more info visit:
https 
Subjid: s18 Run Number: 4 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 1.620 1.620 
0.534 1.808 1.808 
0.567 0.887 0.887 
0.251 0.700 0.700 
0.567 0.789 0.789 
0.450 0.854 0.854 
0.233 1.204 1.204 
0.317 0.876 0.876 
0.416 0.679 0.679 
0.583 0.996 0.996 
0.584 0.821 0.821 
0.267 0.689 0.689 
0.584 0.635 0.635 
0.584 0.864 0.864 
0.401 0.656 0.656 
0.517 0.777 0.777 
0.266 1.204 1.204 
0.367 0.592 0.592 
0.567 1.324 1.324 
0.517 1.204 1.204 
0.584 0.668 0.668 
0.467 1.335 1.335 
0.217 0.745 0.745 
0.534 0.700 0.700 
0.583 0.668 0.668 
0.467 0.734 0.734 
0.500 0.700 0.700 
0.501 0.853 0.853 
0.367 0.919 0.919 
0.467 1.258 1.258 
0.267 1.313 1.313 
0.484 0.821 0.821 
0.216 0.908 0.908 
0.317 0.854 0.854 
0.217 0.963 0.963 
0.250 1.161 1.161 
0.534 1.105 1.105 
0.484 0.854 0.854 
0.334 1.039 1.039 
0.584 1.127 1.127 
0.217 1.171 1.171 
0.383 1.236 1.236 
0.351 2.188 2.188 
0.517 1.193 1.193 
0.517 0.854 0.854 
0.284 1.117 1.117 
0.401 1.204 1.204 
0.383 1.146 1.146 
0.467 1.356 1.356 
0.485 1.467 1.467 
0.501 1.096 1.096 
0.318 1.052 1.052 
0.468 1.095 1.095 
0.468 0.933 0.933 
0.267 1.312 1.312 
0.250 0.857 0.857 
0.400 1.587 1.587 
0.583 1.062 1.062 
0.333 1.892 1.892 
0.434 0.907 0.907 
0.284 0.996 0.996 
0.501 0.744 0.744 
0.301 1.105 1.105 
0.400 0.776 0.776 
0.483 0.832 0.832 
0.551 0.985 0.985 
0.584 0.996 0.996 
0.417 0.962 0.962 
0.251 1.007 1.007 
0.267 1.160 1.160 
0.300 1.346 1.346 
0.535 0.919 0.919 
0.300 0.821 0.821 
0.534 0.810 0.810 
0.300 1.192 1.192 
0.567 0.887 0.887 
0.350 0.854 0.854 
0.283 0.908 0.908 
0.300 0.929 0.929 
0.450 0.886 0.886 
0.384 0.701 0.701 
0.350 0.733 0.733 
0.534 1.565 1.565 
0.433 0.887 0.887 
0.417 1.182 1.182 
0.567 0.853 0.853 
0.317 0.919 0.919 
0.501 1.554 1.554 
0.500 1.083 1.083 
0.350 1.302 1.302 
0.434 0.613 0.613 
0.234 0.843 0.843 
0.217 1.324 1.324 
0.416 1.215 1.215 
0.518 0.995 0.995 
0.584 1.258 1.258 
0.250 1.127 1.127 
0.434 0.843 0.843 
0.384 1.160 1.160 
0.200 1.061 1.061 
0.334 1.127 1.127 
0.267 1.127 1.127 
0.517 0.908 0.908 
0.334 0.919 0.919 
0.417 1.029 1.029 
0.267 1.203 1.203 
0.450 1.083 1.083 
0.300 0.920 0.920 
0.468 1.521 1.521 
0.484 0.668 0.668 
0.502 0.679 0.679 
0.384 1.117 1.117 
0.234 1.761 1.761 
0.300 1.106 1.106 
0.567 1.171 1.171 
0.267 1.051 1.051 
0.534 1.083 1.083 
0.417 1.400 1.400 
0.601 1.576 1.576 
0.234 1.148 1.148 
0.385 1.325 1.325 
0.250 0.963 0.963 
0.583 1.259 1.259 
0.200 1.094 1.094 
0.517 1.072 1.072 
0.533 2.933 2.933 
0.551 1.697 1.697 
0.235 1.445 1.445 
0.367 1.062 1.062 
0.300 0.831 0.831 
0.518 0.635 0.635 
0.367 0.897 0.897 
0.567 0.853 0.853 
0.268 1.160 1.160 
0.300 0.996 0.996 
0.266 1.138 1.138 
0.251 1.138 1.138 
0.551 0.952 0.952 
0.434 1.160 1.160 
0.418 1.413 1.413 
0.267 1.225 1.225 
0.550 0.953 0.953 
0.450 1.083 1.083 
0.350 1.281 1.281 
0.401 0.918 0.918 
0.368 1.040 1.040 
0.233 1.018 1.018 
0.301 1.642 1.642 
0.251 1.588 1.588 
0.284 1.018 1.018 
0.301 0.919 0.919 
0.368 1.554 1.554 
0.217 0.755 0.755 
0.567 0.799 0.799 
0.584 1.598 1.598 
0.400 1.588 1.588 
0.400 1.215 1.215 
0.334 1.587 1.587 
0.567 1.367 1.367 
0.351 1.127 1.127 
0.251 2.211 2.211 
0.518 0.842 0.842 
0.350 1.150 1.150 
0.300 1.762 1.762 
0.368 1.040 1.040 
0.234 1.028 1.028 
0.250 1.193 1.193 
0.584 1.313 1.313 
0.583 1.182 1.182 
0.434 1.061 1.061 
0.234 1.968 1.968 
0.300 1.422 1.422 
0.350 1.347 1.347 
0.534 1.553 1.553 
0.201 1.138 1.138 
0.217 1.509 1.509 
0.267 1.575 1.575 
0.467 1.183 1.183 
0.501 1.084 1.084 
0.467 1.357 1.357 
0.383 1.182 1.182 
0.418 0.974 0.974 
0.318 0.645 0.645 
0.501 0.690 0.690 
0.283 0.974 0.974 
0.483 0.777 0.777 
0.284 0.963 0.963 
0.351 1.653 1.653 
0.451 0.853 0.853 
0.517 1.324 1.324 
0.233 1.039 1.039 
0.567 2.825 2.825 
0.517 1.138 1.138 
0.401 0.898 0.898 
0.384 0.788 0.788 
0.384 1.094 1.094 
0.317 1.095 1.095 
0.400 2.211 2.211 
0.402 1.434 1.434 
0.535 1.597 1.597 
0.517 1.302 1.302 
0.467 0.930 0.930 
0.350 0.810 0.810 
0.533 1.083 1.083 
0.417 1.389 1.389 
0.350 1.160 1.160 
0.583 1.094 1.094 
0.551 2.320 2.320 
0.418 1.434 1.434 
0.451 1.050 1.050 
0.434 3.523 3.523 
0.284 2.265 2.265 
0.317 0.942 0.942 
0.383 1.346 1.346 
0.300 1.991 1.991 
0.534 1.171 1.171 
0.284 1.838 1.838 
0.300 1.237 1.237 
0.267 1.072 1.072 
0.300 1.477 1.477 
0.383 1.073 1.073 
0.333 1.268 1.268 
0.567 0.909 0.909 
0.368 1.127 1.127 
0.283 2.341 2.341 
0.567 0.984 0.984 
0.601 2.603 2.603 
0.384 1.390 1.390 
0.250 2.155 2.155 
0.301 1.204 1.204 
0.367 0.733 0.733 
0.434 1.323 1.323 
0.300 1.948 1.948 
0.451 1.094 1.094 
0.483 2.123 2.123 
0.284 1.652 1.652 
0.250 0.952 0.952 
0.318 1.127 1.127 
0.334 1.018 1.018 
0.367 0.941 0.941 
0.401 1.007 1.007 
0.233 1.762 1.762 
0.300 1.269 1.269 
0.517 2.133 2.133 
0.216 1.137 1.137 
0.568 1.325 1.325 
0.501 0.744 0.744 
0.400 1.127 1.127 
0.434 0.821 0.821 
0.300 1.357 1.357 
0.384 2.582 2.582 
0.583 1.958 1.958 
0.417 1.970 1.970 
0.417 1.281 1.281 
0.300 1.368 1.368 
0.400 1.170 1.170 
0.451 1.718 1.718 
0.468 0.679 0.679 
0.367 1.292 1.292 
0.351 0.951 0.951 
0.600 3.775 3.775 
0.217 2.593 2.593 
0.550 1.182 1.182 
0.568 1.028 1.028 
0.517 1.860 1.860 
0.249 1.072 1.072 
0.301 1.237 1.237 
0.334 0.975 0.975 
0.468 0.865 0.865 
0.251 0.897 0.897 
0.484 1.117 1.117 
0.250 2.363 2.363 
0.467 1.160 1.160 
0.400 1.051 1.051 
0.518 1.149 1.149 
0.484 1.589 1.589 
0.568 1.062 1.062 
0.567 1.160 1.160 
0.334 1.051 1.051 
