0.30417,45
0.325,19
0.33333,4
0.34166,32
0.34524,15
0.37445,58
0.3815,22
0.38658,52
0.39236,39
0.39722,7
0.40263,2
0.40972,54
0.41098,38
0.41319,18
0.41667,56
0.42884,33
0.44047,1
0.4495,31
0.4533,17
0.45833,60
0.46654,29
0.47143,20
0.475,11
0.48214,28
0.48214,5
0.49167,27
0.49179,49
0.49445,9
0.49653,8
0.49805,23
0.50631,42
0.5129,24
0.52232,10
0.52381,46
0.52727,36
0.53526,25
0.53718,37
0.54545,12
0.54951,51
0.55,50
0.55105,21
0.55114,30
0.55303,47
0.55519,48
0.5625,3
0.56313,35
0.57024,43
0.57526,26
0.57788,34
0.58939,55
0.59217,6
0.59688,57
0.60684,13
0.60714,59
0.61458,41
0.625,53
0.6359,40
0.65357,16
0.70555,44
0.71666,14
