<><><><><><><><> 
Begin: 06-Feb-2014 14:45:32 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s10 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (1-m, 2-f) 5. acc 6. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 0.291 0.993 
0.267 0.296 1.001 
0.417 0.295 0.432 
0.851 0.284 0.410 
0.234 0.285 0.673 
0.951 0.285 0.705 
0.784 0.295 0.595 
0.601 0.284 0.705 
0.667 0.295 0.728 
0.400 0.284 0.946 
0.567 0.295 0.750 
0.968 0.295 0.551 
0.633 0.306 0.679 
0.617 0.295 0.607 
0.384 0.296 0.508 
0.600 0.285 0.760 
0.701 0.296 0.540 
0.751 0.284 0.606 
0.518 0.295 0.837 
0.501 0.295 0.827 
1.000 0.284 0.541 
0.232 0.295 0.585 
0.918 0.284 0.836 
0.935 0.296 0.617 
0.835 0.295 1.001 
0.285 0.011 0.011 
0.417 0.285 0.990 
0.467 0.295 0.685 
0.751 0.295 0.399 
0.317 0.284 0.552 
0.784 0.295 0.628 
0.284 0.295 0.662 
0.733 0.284 0.727 
0.601 0.296 0.781 
0.833 0.285 0.497 
0.768 0.306 0.471 
0.933 0.285 0.793 
0.918 0.295 0.498 
0.467 0.295 0.510 
0.768 0.284 0.595 
0.367 0.284 0.814 
0.234 0.284 0.814 
0.801 0.296 0.706 
0.600 0.295 0.476 
0.584 0.296 0.783 
0.934 0.284 0.464 
0.684 0.296 0.640 
0.701 0.296 0.486 
0.884 0.306 0.438 
0.850 0.296 0.651 
0.667 0.296 0.488 
0.351 0.295 0.825 
0.400 0.284 0.694 
0.918 0.285 0.672 
0.234 0.284 0.990 
0.601 0.285 0.738 
0.334 0.295 0.508 
0.984 0.295 0.388 
0.768 0.295 0.322 
0.601 0.295 1.001 
0.584 0.285 0.979 
0.250 0.295 0.728 
0.751 0.295 0.488 
0.233 0.296 0.837 
0.266 0.285 0.825 
0.617 0.295 0.704 
0.283 0.295 0.837 
0.850 0.307 0.492 
0.851 0.295 0.540 
0.785 0.295 0.606 
0.317 0.295 0.497 
0.735 0.295 0.463 
0.618 0.295 0.815 
0.985 0.285 0.454 
0.718 0.296 0.507 
0.850 0.284 0.595 
0.567 0.296 0.541 
0.550 0.295 0.651 
0.868 0.285 0.508 
0.268 0.295 0.618 
0.317 0.284 0.739 
0.334 0.306 0.765 
0.518 0.296 0.706 
0.868 0.295 0.507 
0.851 0.284 0.660 
0.250 0.294 0.486 
0.516 0.295 0.639 
0.617 0.306 0.515 
0.534 0.295 0.640 
0.734 0.284 0.672 
0.700 0.295 0.913 
0.434 0.295 0.551 
0.552 0.296 0.584 
0.218 0.295 0.573 
0.984 0.296 0.607 
0.335 0.296 0.682 
0.284 0.295 0.585 
0.499 0.295 0.575 
0.366 0.284 0.595 
0.600 0.285 0.826 
0.467 0.306 0.416 
0.968 0.295 0.650 
0.935 0.295 0.431 
0.250 0.284 0.716 
0.801 0.284 0.935 
0.417 0.295 0.498 
0.534 0.306 0.689 
0.635 0.306 0.765 
0.951 0.295 0.771 
0.534 0.295 0.639 
0.984 0.296 0.716 
