<><><><><><><><> 
Begin: 03-Oct-2014 10:05:05 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s20 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 2.011 2.011 
0.532 1.157 1.157 
0.567 1.498 1.498 
0.249 1.190 1.190 
0.567 1.868 1.868 
0.451 1.737 1.737 
0.233 0.951 0.951 
0.317 1.825 1.825 
0.417 1.148 1.148 
0.583 1.158 1.158 
0.584 1.148 1.148 
0.267 1.105 1.105 
0.584 0.994 0.994 
0.584 1.213 1.213 
0.400 1.716 1.716 
0.516 1.858 1.858 
0.267 1.061 1.061 
0.367 1.683 1.683 
0.567 1.016 1.016 
0.517 1.321 1.321 
0.583 1.070 1.070 
0.466 1.388 1.388 
0.217 0.886 0.886 
0.534 0.819 0.819 
0.584 1.693 1.693 
0.468 2.810 2.810 
0.501 1.399 1.399 
0.501 1.453 1.453 
0.367 1.399 1.399 
0.467 1.257 1.257 
0.267 3.180 3.180 
0.484 1.148 1.148 
0.217 1.050 1.050 
0.317 1.410 1.410 
0.218 0.962 0.962 
0.234 1.268 1.268 
0.534 0.885 0.885 
0.484 1.158 1.158 
0.334 2.131 2.131 
0.584 1.781 1.781 
0.216 1.223 1.223 
0.384 1.694 1.694 
0.351 1.006 1.006 
0.501 1.497 1.497 
0.516 1.628 1.628 
0.284 1.017 1.017 
0.400 1.432 1.432 
0.384 1.082 1.082 
0.467 1.727 1.727 
0.483 1.039 1.039 
0.501 0.962 0.962 
0.317 1.235 1.235 
0.483 0.984 0.984 
0.467 0.797 0.797 
0.266 1.016 1.016 
0.249 1.203 1.203 
0.401 0.809 0.809 
0.584 1.213 1.213 
0.334 1.224 1.224 
0.434 1.017 1.017 
0.284 1.093 1.093 
0.501 1.486 1.486 
0.300 0.962 0.962 
0.401 1.465 1.465 
0.484 1.279 1.279 
0.567 0.995 0.995 
0.584 1.169 1.169 
0.417 0.820 0.820 
0.251 1.137 1.137 
0.267 1.202 1.202 
0.300 2.547 2.547 
0.534 2.141 2.141 
0.300 0.908 0.908 
0.534 1.727 1.727 
0.300 2.262 2.262 
0.567 3.224 3.224 
0.350 1.617 1.617 
0.284 1.006 1.006 
0.300 0.972 0.972 
0.451 1.115 1.115 
0.384 0.941 0.941 
0.350 0.940 0.940 
0.533 0.820 0.820 
0.434 1.039 1.039 
0.417 0.864 0.864 
0.567 0.809 0.809 
0.316 0.995 0.995 
0.501 1.181 1.181 
0.500 1.530 1.530 
0.350 2.011 2.011 
0.433 1.355 1.355 
0.234 1.443 1.443 
0.217 1.650 1.650 
0.417 0.875 0.875 
0.517 1.224 1.224 
0.584 1.050 1.050 
0.250 1.246 1.246 
0.434 1.213 1.213 
0.384 1.301 1.301 
0.200 1.334 1.334 
0.334 0.852 0.852 
0.267 0.863 0.863 
0.517 0.776 0.776 
0.334 1.104 1.104 
