<><><><><><><><> 
Begin: 29-May-2014 11:46:37 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s01 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
0.567 1.049 1.049 
0.601 0.940 0.940 
0.384 0.755 0.755 
0.250 0.962 0.962 
0.301 0.995 0.995 
0.367 0.984 0.984 
0.434 1.028 1.028 
0.300 1.257 1.257 
0.450 0.787 0.787 
0.484 0.864 0.864 
0.284 1.051 1.051 
0.250 0.973 0.973 
0.317 1.060 1.060 
0.334 1.006 1.006 
0.367 0.755 0.755 
0.400 1.334 1.334 
0.234 1.137 1.137 
0.316 0.864 0.864 
0.517 0.798 0.798 
0.216 0.864 0.864 
0.567 0.645 0.645 
0.501 1.060 1.060 
0.400 0.941 0.941 
0.433 1.016 1.016 
0.300 1.192 1.192 
0.384 1.443 1.443 
0.584 0.777 0.777 
0.417 0.710 0.710 
0.417 1.695 1.695 
0.300 0.799 0.799 
0.400 0.918 0.918 
0.449 1.039 1.039 
0.467 1.236 1.236 
0.367 0.853 0.853 
0.350 0.721 0.721 
0.601 0.788 0.788 
0.217 1.313 1.313 
0.550 1.171 1.171 
0.567 0.875 0.875 
0.517 1.257 1.257 
0.234 0.875 0.875 
0.300 1.312 1.312 
0.334 0.973 0.973 
0.467 1.247 1.247 
0.251 1.017 1.017 
0.484 1.334 1.334 
0.250 1.257 1.257 
0.467 1.225 1.225 
0.400 1.225 1.225 
0.517 1.979 1.979 
0.484 1.509 1.509 
0.567 1.224 1.224 
0.551 1.454 1.454 
0.334 1.029 1.029 
0.484 0.886 0.886 
0.284 1.411 1.411 
0.217 1.105 1.105 
0.501 0.963 0.963 
0.400 0.909 0.909 
0.400 0.908 0.908 
0.567 1.225 1.225 
0.449 1.149 1.149 
0.450 1.214 1.214 
0.551 1.509 1.509 
0.518 0.908 0.908 
0.434 1.302 1.302 
0.283 1.093 1.093 
0.300 0.798 0.798 
0.550 1.193 1.193 
0.217 1.246 1.246 
<><><><><><><><> 
RT (mean):  1.12 
<><><><><><><><> 
End: 29-May-2014 11:54:15 
