<><><><><><><><> 
Begin: 13-Nov-2014 09:33:14 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s55 Run Number: 4 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 1.773 1.773 
0.534 1.118 1.118 
0.567 0.974 0.974 
0.250 1.172 1.172 
0.568 1.018 1.018 
0.450 1.379 1.379 
0.234 1.314 1.314 
0.318 1.237 1.237 
0.418 1.369 1.369 
0.584 1.039 1.039 
0.584 0.921 0.921 
0.266 1.150 1.150 
0.584 0.942 0.942 
0.583 1.204 1.204 
0.401 1.150 1.150 
0.517 1.556 1.556 
0.266 1.227 1.227 
0.367 2.016 2.016 
0.567 0.788 0.788 
0.517 1.763 1.763 
0.584 1.117 1.117 
0.467 0.745 0.745 
0.217 1.029 1.029 
0.534 1.238 1.238 
0.584 0.996 0.996 
0.467 1.095 1.095 
0.501 1.019 1.019 
0.500 1.039 1.039 
0.367 1.259 1.259 
0.467 1.424 1.424 
0.267 1.193 1.193 
0.484 0.920 0.920 
0.217 0.766 0.766 
0.317 0.887 0.887 
0.217 1.401 1.401 
0.234 1.348 1.348 
0.534 0.756 0.756 
0.484 0.657 0.657 
0.334 2.016 2.016 
0.584 0.975 0.975 
0.217 1.379 1.379 
0.383 2.080 2.080 
0.351 1.587 1.587 
0.502 1.259 1.259 
0.518 1.084 1.084 
0.284 1.479 1.479 
0.400 2.344 2.344 
0.384 1.893 1.893 
0.467 1.939 1.939 
0.484 0.986 0.986 
0.500 2.781 2.781 
0.316 1.544 1.544 
0.468 0.986 0.986 
0.467 0.876 0.876 
0.268 1.161 1.161 
0.251 1.480 1.480 
0.401 1.227 1.227 
0.583 1.336 1.336 
0.334 2.059 2.059 
0.434 1.818 1.818 
0.284 1.808 1.808 
0.501 1.697 1.697 
0.300 1.588 1.588 
0.400 1.697 1.697 
0.484 1.610 1.610 
0.551 1.621 1.621 
0.584 1.839 1.839 
0.417 1.401 1.401 
0.251 1.402 1.402 
0.267 1.193 1.193 
0.300 1.708 1.708 
0.534 1.807 1.807 
0.300 2.135 2.135 
0.534 1.434 1.434 
0.300 1.434 1.434 
0.568 1.642 1.642 
0.350 1.489 1.489 
0.283 1.533 1.533 
0.301 2.115 2.115 
0.450 1.500 1.500 
0.400 1.347 1.347 
0.350 2.026 2.026 
0.534 1.303 1.303 
0.434 1.238 1.238 
0.417 1.358 1.358 
0.568 1.533 1.533 
0.318 1.215 1.215 
0.501 0.996 0.996 
0.501 1.117 1.117 
0.350 1.883 1.883 
0.433 1.337 1.337 
0.234 1.915 1.915 
0.217 1.665 1.665 
0.417 1.194 1.194 
0.517 0.996 0.996 
0.583 1.512 1.512 
0.250 1.161 1.161 
0.434 2.289 2.289 
0.384 2.618 2.618 
0.200 1.019 1.019 
0.333 1.424 1.424 
0.266 1.545 1.545 
0.518 1.850 1.850 
0.334 1.588 1.588 
