<><><><><><><><> 
Begin: 01-Oct-2014 08:47:21 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s17 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 2.198 2.198 
0.533 1.116 1.116 
0.567 1.280 1.280 
0.250 0.810 0.810 
0.567 1.104 1.104 
0.450 0.842 0.842 
0.250 1.730 1.730 
0.316 1.051 1.051 
0.417 2.035 2.035 
0.585 0.963 0.963 
0.583 1.072 1.072 
0.268 1.128 1.128 
0.584 0.919 0.919 
0.584 1.247 1.247 
0.401 0.952 0.952 
0.518 1.073 1.073 
0.266 1.827 1.827 
0.367 1.083 1.083 
0.568 1.149 1.149 
0.517 1.652 1.652 
0.584 1.214 1.214 
0.467 1.882 1.882 
0.217 1.620 1.620 
0.550 1.203 1.203 
0.584 1.444 1.444 
0.468 1.018 1.018 
0.502 2.331 2.331 
0.500 3.218 3.218 
0.367 1.389 1.389 
0.467 1.958 1.958 
0.267 1.433 1.433 
0.484 1.017 1.017 
0.218 1.423 1.423 
0.317 1.575 1.575 
0.217 1.400 1.400 
0.234 1.641 1.641 
0.534 1.313 1.313 
0.484 2.079 2.079 
0.335 1.477 1.477 
0.585 1.336 1.336 
0.218 2.101 2.101 
0.384 1.313 1.313 
0.350 2.648 2.648 
0.501 2.100 2.100 
0.518 1.937 1.937 
0.284 1.499 1.499 
0.400 2.221 2.221 
0.383 1.981 1.981 
0.466 1.586 1.586 
0.484 2.373 2.373 
0.500 1.148 1.148 
0.317 1.116 1.116 
0.468 1.171 1.171 
0.467 3.084 3.084 
0.266 1.237 1.237 
0.250 1.237 1.237 
0.400 1.334 1.334 
0.584 1.760 1.760 
0.334 1.280 1.280 
0.434 2.452 2.452 
0.285 2.211 2.211 
0.501 1.007 1.007 
0.300 1.072 1.072 
0.400 1.522 1.522 
0.484 1.521 1.521 
0.551 2.211 2.211 
0.585 1.477 1.477 
0.417 1.489 1.489 
0.251 1.204 1.204 
0.267 1.182 1.182 
0.300 1.629 1.629 
0.534 2.255 2.255 
0.300 1.214 1.214 
0.534 1.313 1.313 
0.300 1.378 1.378 
0.568 1.631 1.631 
0.334 1.619 1.619 
0.284 1.050 1.050 
0.300 1.696 1.696 
0.450 2.242 2.242 
0.385 1.849 1.849 
0.350 1.828 1.828 
0.534 1.554 1.554 
0.433 1.412 1.412 
0.417 1.334 1.334 
0.568 0.920 0.920 
0.317 1.346 1.346 
0.500 2.265 2.265 
0.501 1.028 1.028 
0.350 1.128 1.128 
0.433 1.565 1.565 
0.234 1.237 1.237 
0.217 1.531 1.531 
0.417 2.210 2.210 
0.518 1.204 1.204 
0.584 1.674 1.674 
0.250 1.269 1.269 
0.433 1.193 1.193 
0.384 1.072 1.072 
0.201 1.247 1.247 
0.335 1.401 1.401 
0.267 1.434 1.434 
0.517 1.619 1.619 
0.334 1.554 1.554 
