<><><><><><><><> 
Begin: 25-Sep-2014 21:34:56 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4591
For more info visit:
https 
Subjid: s23 Run Number: 4 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 0.800 0.800 
0.317 0.855 0.855 
0.383 0.952 0.952 
0.216 0.788 0.788 
0.601 0.766 0.766 
0.268 0.832 0.832 
0.250 0.887 0.887 
0.350 0.843 0.843 
0.284 1.083 1.083 
0.401 0.985 0.985 
0.333 0.788 0.788 
0.583 0.711 0.711 
0.566 0.854 0.854 
0.217 0.745 0.745 
0.501 0.843 0.843 
0.316 1.642 1.642 
0.367 0.713 0.713 
0.417 0.909 0.909 
0.583 0.777 0.777 
0.368 1.139 1.139 
0.600 1.412 1.412 
0.318 2.472 2.472 
0.484 1.052 1.052 
0.467 0.920 0.920 
0.417 0.646 0.646 
0.484 0.744 0.744 
0.468 1.664 1.664 
0.266 1.073 1.073 
0.250 2.224 2.224 
0.600 0.746 0.746 
0.268 0.898 0.898 
0.217 0.725 0.725 
0.434 1.175 1.175 
0.551 0.569 0.569 
0.467 0.635 0.635 
0.284 0.986 0.986 
0.350 0.876 0.876 
0.384 0.963 0.963 
0.601 0.558 0.558 
0.267 0.668 0.668 
0.550 0.745 0.745 
0.467 0.636 0.636 
0.350 0.910 0.910 
0.284 0.558 0.558 
0.367 0.624 0.624 
0.400 0.789 0.789 
0.250 0.756 0.756 
0.433 0.875 0.875 
0.300 0.755 0.755 
0.351 0.832 0.832 
0.434 1.051 1.051 
0.301 1.139 1.139 
0.317 2.201 2.201 
0.450 0.701 0.701 
0.301 0.668 0.668 
0.533 1.150 1.150 
0.600 1.138 1.138 
0.501 1.181 1.181 
0.334 1.303 1.303 
0.434 2.582 2.582 
0.250 2.047 2.047 
0.567 0.788 0.788 
0.551 1.149 1.149 
0.533 1.357 1.357 
0.301 1.116 1.116 
0.434 0.832 0.832 
0.217 1.564 1.564 
0.368 0.898 0.898 
0.334 0.909 0.909 
0.267 1.007 1.007 
0.268 0.766 0.766 
0.368 1.358 1.358 
0.249 0.810 0.810 
0.450 1.029 1.029 
0.384 0.996 0.996 
0.484 2.156 2.156 
0.484 1.007 1.007 
0.452 0.854 0.854 
0.216 1.138 1.138 
0.233 1.051 1.051 
0.334 0.953 0.953 
0.417 0.821 0.821 
0.468 1.018 1.018 
0.368 0.689 0.689 
0.534 3.076 3.076 
0.484 1.445 1.445 
0.584 0.995 0.995 
0.418 1.117 1.117 
0.334 0.887 0.887 
0.250 0.876 0.876 
0.450 0.974 0.974 
0.517 1.095 1.095 
0.367 0.875 0.875 
0.233 1.159 1.159 
0.317 1.718 1.718 
0.268 1.083 1.083 
0.317 0.920 0.920 
0.384 0.766 0.766 
0.418 0.941 0.941 
0.384 0.799 0.799 
0.551 0.799 0.799 
0.417 0.690 0.690 
0.584 0.656 0.656 
0.450 0.646 0.646 
0.584 0.635 0.635 
0.300 0.689 0.689 
0.483 0.722 0.722 
0.317 1.335 1.335 
0.467 0.941 0.941 
0.484 1.040 1.040 
0.234 0.777 0.777 
0.301 1.051 1.051 
0.300 0.985 0.985 
0.468 0.963 0.963 
0.533 0.788 0.788 
0.333 0.865 0.865 
0.518 0.734 0.734 
0.468 1.357 1.357 
0.200 1.237 1.237 
0.451 1.183 1.183 
0.350 1.280 1.280 
0.567 0.832 0.832 
0.199 0.756 0.756 
0.383 0.996 0.996 
0.368 1.040 1.040 
0.385 0.679 0.679 
0.517 0.701 0.701 
0.334 0.614 0.614 
0.518 1.062 1.062 
0.384 0.789 0.789 
0.217 0.897 0.897 
0.267 1.522 1.522 
0.484 0.591 0.591 
0.384 1.270 1.270 
0.266 0.941 0.941 
0.334 0.887 0.887 
0.449 0.963 0.963 
0.284 1.346 1.346 
0.500 0.766 0.766 
0.301 1.106 1.106 
0.567 0.843 0.843 
0.316 1.018 1.018 
0.502 1.468 1.468 
0.284 0.810 0.810 
0.318 0.833 0.833 
0.233 0.842 0.842 
0.434 0.919 0.919 
0.483 0.974 0.974 
0.417 1.444 1.444 
0.368 0.821 0.821 
0.467 0.995 0.995 
0.467 0.963 0.963 
0.466 0.711 0.711 
0.450 0.963 0.963 
0.584 1.412 1.412 
0.284 0.832 0.832 
0.483 0.930 0.930 
0.300 0.886 0.886 
0.250 1.007 1.007 
0.451 0.810 0.810 
0.384 0.854 0.854 
0.384 0.667 0.667 
0.467 1.083 1.083 
0.518 0.985 0.985 
0.350 0.701 0.701 
0.468 0.800 0.800 
0.367 0.952 0.952 
0.535 1.193 1.193 
0.533 0.810 0.810 
0.300 1.215 1.215 
0.451 0.777 0.777 
0.434 1.270 1.270 
0.417 1.357 1.357 
0.551 1.412 1.412 
0.300 2.167 2.167 
0.334 0.985 0.985 
0.250 0.953 0.953 
0.584 1.718 1.718 
0.467 0.635 0.635 
0.399 1.368 1.368 
0.451 0.997 0.997 
0.417 1.784 1.784 
0.467 1.357 1.357 
0.417 0.855 0.855 
0.484 0.646 0.646 
0.417 0.854 0.854 
0.600 0.755 0.755 
0.284 1.215 1.215 
0.250 0.909 0.909 
0.250 0.909 0.909 
0.233 1.127 1.127 
0.367 1.193 1.193 
0.383 0.766 0.766 
0.350 0.777 0.777 
0.500 0.591 0.591 
0.450 1.379 1.379 
0.517 1.204 1.204 
0.568 1.697 1.697 
0.584 1.553 1.553 
0.283 1.007 1.007 
0.250 0.832 0.832 
0.485 1.160 1.160 
0.232 0.975 0.975 
0.416 0.788 0.788 
0.417 1.380 1.380 
0.550 0.777 0.777 
0.400 0.974 0.974 
0.367 1.051 1.051 
0.467 1.171 1.171 
0.501 0.656 0.656 
0.417 0.766 0.766 
0.333 1.358 1.358 
0.266 0.776 0.776 
0.434 0.777 0.777 
0.300 0.569 0.569 
0.217 1.160 1.160 
0.501 0.853 0.853 
0.300 0.667 0.667 
0.384 0.777 0.777 
0.484 0.690 0.690 
0.350 1.215 1.215 
0.501 0.744 0.744 
0.366 1.380 1.380 
0.483 0.821 0.821 
0.485 1.171 1.171 
0.383 0.756 0.756 
0.216 0.668 0.668 
0.334 0.700 0.700 
0.368 0.734 0.734 
0.317 0.787 0.787 
0.283 0.711 0.711 
0.534 0.733 0.733 
0.367 0.810 0.810 
0.550 1.062 1.062 
0.367 1.642 1.642 
0.517 0.744 0.744 
0.367 0.744 0.744 
0.534 2.310 2.310 
0.500 0.843 0.843 
0.350 0.766 0.766 
0.284 1.905 1.905 
0.517 1.456 1.456 
0.584 1.630 1.630 
0.334 1.730 1.730 
0.467 2.714 2.714 
0.383 0.930 0.930 
0.534 0.821 0.821 
0.517 0.558 0.558 
0.267 0.963 0.963 
0.551 0.933 0.933 
0.601 1.458 1.458 
0.401 2.892 2.892 
0.550 0.744 0.744 
0.434 0.646 0.646 
0.267 1.927 1.927 
0.283 0.909 0.909 
0.366 0.876 0.876 
0.501 0.810 0.810 
0.533 0.689 0.689 
0.517 0.865 0.865 
0.334 0.919 0.919 
0.417 1.927 1.927 
0.235 0.887 0.887 
0.250 0.646 0.646 
0.250 0.602 0.602 
0.467 1.183 1.183 
0.400 0.809 0.809 
0.284 0.930 0.930 
0.400 0.668 0.668 
0.267 0.690 0.690 
0.217 0.733 0.733 
0.550 1.849 1.849 
0.434 0.768 0.768 
0.567 0.887 0.887 
0.484 1.719 1.719 
0.434 1.216 1.216 
0.534 1.248 1.248 
0.551 0.613 0.613 
0.601 1.106 1.106 
