<><><><><><><><> 
Begin: 25-Sep-2014 20:59:18 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4591
For more info visit:
https 
Subjid: s23 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.009 2.635 2.635 
0.315 1.816 1.816 
0.367 2.844 2.844 
0.216 1.498 1.498 
0.601 3.544 3.544 
0.267 3.795 3.795 
0.250 2.362 2.362 
0.350 1.280 1.280 
0.284 3.991 5.744 
0.400 1.684 1.684 
0.334 1.586 1.586 
0.584 2.810 2.810 
0.567 2.089 2.089 
0.217 3.325 3.325 
0.500 2.275 2.275 
0.317 1.399 1.399 
0.367 2.319 2.319 
0.417 2.690 2.690 
0.584 3.128 3.128 
0.367 1.531 1.531 
0.600 2.745 2.745 
0.317 2.582 2.582 
0.484 1.796 1.796 
0.467 1.990 1.990 
0.417 3.993 4.278 
0.484 1.509 1.509 
0.467 2.102 2.102 
0.267 1.182 1.182 
0.249 1.913 1.913 
0.601 1.411 1.411 
0.267 1.377 1.377 
0.217 1.664 1.664 
0.434 1.520 1.520 
0.551 1.913 1.913 
0.467 1.323 1.323 
0.284 1.060 1.060 
0.350 1.466 1.466 
0.383 2.659 2.659 
0.601 2.155 2.155 
0.267 2.886 2.886 
0.551 3.992 4.180 
0.467 2.395 2.395 
0.350 2.930 2.930 
0.283 2.834 2.834 
0.368 2.154 2.154 
0.401 2.588 2.588 
0.249 2.308 2.308 
0.434 4.002 4.541 
0.300 1.192 1.192 
0.350 1.674 1.674 
0.434 1.303 1.303 
0.300 2.788 2.788 
0.316 3.498 3.498 
0.451 0.908 0.908 
0.301 2.089 2.089 
0.534 2.416 2.416 
0.601 2.427 2.427 
0.501 2.406 2.406 
0.334 1.521 1.521 
0.434 2.110 2.110 
0.250 3.412 3.412 
0.567 2.559 2.559 
0.551 2.209 2.209 
0.534 1.006 1.006 
0.301 2.461 2.461 
0.434 2.822 2.822 
0.217 2.100 2.100 
0.368 0.984 0.984 
0.334 1.312 1.312 
0.267 2.296 2.296 
0.267 1.771 1.771 
0.367 0.011 0.011 
0.234 2.001 2.001 
0.434 2.011 2.011 
0.383 1.138 1.138 
0.484 1.061 1.061 
0.483 1.465 1.465 
0.451 2.286 2.286 
0.217 1.553 1.553 
0.234 3.993 4.158 
0.334 0.907 0.907 
0.417 0.831 0.831 
0.467 1.914 1.914 
0.367 1.018 1.018 
0.534 0.973 0.973 
0.484 0.875 0.875 
0.584 1.486 1.486 
0.417 1.739 1.739 
0.334 0.908 0.908 
0.250 2.066 2.066 
0.450 1.685 1.685 
0.518 1.258 1.258 
0.367 1.247 1.247 
0.234 1.663 1.663 
0.317 3.947 3.947 
0.267 1.279 1.279 
0.317 1.039 1.039 
0.384 2.538 2.538 
0.417 2.308 2.308 
0.384 0.810 0.810 
0.550 1.531 1.531 
0.417 2.461 2.461 
0.584 0.897 0.897 
0.450 3.380 3.380 
0.585 1.793 1.793 
0.300 1.892 1.892 
0.467 2.176 2.176 
0.317 2.395 2.395 
0.467 3.237 3.237 
0.484 2.461 2.461 
0.233 0.984 0.984 
0.300 1.849 1.849 
0.284 1.017 1.017 
0.466 0.634 0.634 
0.535 0.678 0.678 
0.334 0.656 0.656 
0.517 0.678 0.678 
0.468 1.620 1.620 
0.200 1.499 1.499 
0.450 1.061 1.061 
0.350 2.078 2.078 
0.567 1.050 1.050 
0.200 1.947 1.947 
0.384 0.908 0.908 
0.368 0.788 0.788 
0.384 1.618 1.618 
0.517 1.149 1.149 
0.334 0.919 0.919 
0.517 2.023 2.023 
0.383 1.149 1.149 
0.217 2.023 2.023 
0.267 1.170 1.170 
0.483 1.345 1.345 
0.384 3.543 3.543 
0.267 0.788 0.788 
0.334 0.777 0.777 
0.450 0.754 0.754 
0.284 0.733 0.733 
0.500 0.624 0.624 
0.299 0.656 0.656 
0.567 1.203 1.203 
0.316 0.864 0.864 
0.501 1.313 1.313 
0.283 1.465 1.465 
0.317 1.903 1.903 
0.233 1.280 1.280 
0.434 1.640 1.640 
0.484 0.602 0.602 
0.416 0.788 0.788 
0.366 0.831 0.831 
0.467 1.126 1.126 
0.467 0.799 0.799 
0.467 1.663 1.663 
0.450 1.039 1.039 
0.584 0.689 0.689 
0.284 0.777 0.777 
0.484 2.329 2.329 
0.299 1.127 1.127 
0.249 1.979 1.979 
0.451 1.017 1.017 
0.384 0.744 0.744 
0.384 1.673 1.673 
0.467 1.422 1.422 
0.517 1.203 1.203 
0.350 1.606 1.606 
0.467 2.385 2.385 
0.367 0.820 0.820 
0.534 1.531 1.531 
0.534 0.963 0.963 
0.300 1.574 1.574 
0.450 1.674 1.674 
0.434 3.030 3.030 
0.417 1.138 1.138 
0.550 1.213 1.213 
0.300 0.776 0.776 
0.334 0.634 0.634 
0.250 1.335 1.335 
0.584 0.777 0.777 
0.467 0.875 0.875 
0.399 0.722 0.722 
0.451 1.815 1.815 
0.417 2.241 2.241 
0.467 0.799 0.799 
0.417 0.722 0.722 
0.484 1.925 1.925 
0.417 3.992 4.213 
0.601 1.183 1.183 
0.284 0.908 0.908 
0.250 2.198 2.198 
0.250 1.619 1.619 
0.234 1.115 1.115 
0.367 1.520 1.520 
0.384 1.115 1.115 
0.350 0.897 0.897 
0.501 1.378 1.378 
0.450 1.444 1.444 
0.517 1.127 1.127 
0.568 1.105 1.105 
0.584 1.334 1.334 
0.284 0.831 0.831 
0.251 0.788 0.788 
0.485 1.466 1.466 
0.234 0.776 0.776 
0.417 1.761 1.761 
0.417 1.783 1.783 
0.551 1.170 1.170 
0.400 0.908 0.908 
0.366 2.110 2.110 
0.467 2.778 2.778 
0.500 1.585 1.585 
0.417 1.192 1.192 
0.334 0.810 0.810 
0.267 0.864 0.864 
0.434 0.612 0.612 
0.300 1.182 1.182 
0.217 1.489 1.489 
0.500 1.269 1.269 
0.301 0.973 0.973 
0.384 0.722 0.722 
0.484 2.002 2.002 
0.349 1.182 1.182 
0.501 0.777 0.777 
0.367 1.050 1.050 
0.484 1.608 1.608 
0.485 1.181 1.181 
0.383 0.843 0.843 
0.217 1.006 1.006 
0.333 2.155 2.155 
0.366 2.864 2.864 
0.317 1.006 1.006 
0.285 0.951 0.951 
0.534 1.355 1.355 
0.367 1.881 1.881 
0.551 1.433 1.433 
0.351 1.018 1.018 
0.517 0.963 0.963 
0.367 1.466 1.466 
0.534 1.575 1.575 
0.499 1.138 1.138 
0.350 2.417 2.417 
0.284 1.444 1.444 
0.517 1.476 1.476 
0.584 1.258 1.258 
0.335 1.433 1.433 
0.467 1.477 1.477 
0.384 0.908 0.908 
0.534 2.897 2.897 
0.517 2.090 2.090 
0.267 0.721 0.721 
0.551 1.313 1.313 
0.601 1.149 1.149 
0.401 1.039 1.039 
0.551 0.985 0.985 
0.434 0.984 0.984 
0.267 0.722 0.722 
0.284 1.301 1.301 
0.368 1.171 1.171 
0.502 1.302 1.302 
0.534 1.596 1.596 
0.517 1.301 1.301 
0.334 0.711 0.711 
0.417 1.183 1.183 
0.234 1.258 1.258 
0.250 1.105 1.105 
0.251 1.826 1.826 
0.466 1.137 1.137 
0.399 0.941 0.941 
0.284 0.995 0.995 
0.400 1.443 1.443 
0.266 1.149 1.149 
0.217 1.465 1.465 
0.551 0.820 0.820 
0.434 1.991 1.991 
0.567 1.772 1.772 
0.484 0.820 0.820 
0.434 0.536 0.536 
0.533 0.995 0.995 
0.551 1.925 1.925 
0.601 0.853 0.853 
