<><><><><><><><> 
Begin: 14-Nov-2014 09:54:20 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s55 Run Number: 5 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 0.944 0.944 
0.434 1.170 1.170 
0.550 1.247 1.247 
0.317 0.766 0.766 
0.452 1.095 1.095 
0.434 1.367 1.367 
0.584 1.281 1.281 
0.234 0.831 0.831 
0.400 0.996 0.996 
0.416 1.073 1.073 
0.234 1.204 1.204 
0.568 0.755 0.755 
0.551 0.733 0.733 
0.384 0.810 0.810 
0.517 0.996 0.996 
0.267 0.854 0.854 
0.452 0.820 0.820 
0.300 0.995 0.995 
0.383 1.269 1.269 
0.533 0.843 0.843 
0.284 0.996 0.996 
0.317 1.324 1.324 
0.400 0.625 0.625 
0.334 0.799 0.799 
0.518 0.973 0.973 
0.601 1.138 1.138 
0.267 1.105 1.105 
0.301 1.072 1.072 
0.483 0.996 0.996 
0.350 1.149 1.149 
0.584 0.811 0.811 
0.584 1.017 1.017 
0.467 0.996 0.996 
0.550 1.980 1.980 
0.367 2.922 2.922 
0.450 1.159 1.159 
0.601 0.821 0.821 
0.433 0.821 0.821 
0.584 0.875 0.875 
0.484 0.811 0.811 
0.400 0.766 0.766 
0.450 0.831 0.831 
0.550 1.040 1.040 
0.284 0.876 0.876 
0.367 1.072 1.072 
0.600 0.963 0.963 
0.367 1.138 1.138 
0.468 1.543 1.543 
0.568 2.485 2.485 
0.600 0.984 0.984 
0.467 1.499 1.499 
0.250 1.051 1.051 
0.217 1.969 1.969 
0.451 0.886 0.886 
0.433 1.006 1.006 
0.584 1.072 1.072 
0.500 1.193 1.193 
0.467 0.733 0.733 
0.417 1.444 1.444 
0.300 0.996 0.996 
0.584 1.050 1.050 
0.417 1.094 1.094 
0.217 0.908 0.908 
0.484 1.893 1.893 
0.417 1.685 1.685 
0.234 2.287 2.287 
0.567 1.390 1.390 
0.334 1.566 1.566 
0.300 0.963 0.963 
0.250 1.893 1.893 
0.334 0.810 0.810 
0.299 1.280 1.280 
0.467 0.734 0.734 
0.234 1.258 1.258 
0.316 1.806 1.806 
0.318 0.853 0.853 
0.551 1.018 1.018 
0.385 1.258 1.258 
0.502 2.308 2.308 
0.451 0.821 0.821 
0.517 1.958 1.958 
0.251 1.575 1.575 
0.600 1.182 1.182 
0.535 1.838 1.838 
0.217 0.942 0.942 
0.385 1.126 1.126 
0.334 1.532 1.532 
0.450 0.952 0.952 
0.300 1.247 1.247 
0.434 0.864 0.864 
0.451 1.291 1.291 
0.450 1.927 1.927 
0.384 1.105 1.105 
0.217 1.073 1.073 
0.401 1.183 1.183 
0.367 0.602 0.602 
0.250 2.485 2.485 
0.383 1.171 1.171 
0.384 1.741 1.741 
0.418 1.236 1.236 
0.518 0.864 0.864 
0.484 1.850 1.850 
0.550 0.930 0.930 
0.217 1.390 1.390 
