<><><><><><><><> 
Begin: 14-Nov-2014 09:18:47 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s55 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 2.633 2.633 
0.434 1.302 1.302 
0.534 1.258 1.258 
0.317 1.094 1.094 
0.451 1.192 1.192 
0.434 1.280 1.280 
0.584 0.919 0.919 
0.234 1.160 1.160 
0.400 1.182 1.182 
0.417 0.898 0.898 
0.234 1.324 1.324 
0.567 1.061 1.061 
0.551 1.018 1.018 
0.383 1.028 1.028 
0.517 1.084 1.084 
0.268 1.226 1.226 
0.451 1.083 1.083 
0.300 1.500 1.500 
0.384 1.292 1.292 
0.533 0.842 0.842 
0.284 0.952 0.952 
0.317 1.238 1.238 
0.400 0.843 0.843 
0.334 0.898 0.898 
0.517 0.942 0.942 
0.600 0.866 0.866 
0.267 1.030 1.030 
0.300 1.094 1.094 
0.483 0.952 0.952 
0.351 1.095 1.095 
0.600 1.663 1.663 
0.584 1.084 1.084 
0.467 1.116 1.116 
0.550 0.941 0.941 
0.367 0.974 0.974 
0.450 0.941 0.941 
0.601 0.831 0.831 
0.434 1.116 1.116 
0.584 0.766 0.766 
0.484 0.886 0.886 
0.400 1.455 1.455 
0.450 1.915 1.915 
0.551 1.259 1.259 
0.284 0.941 0.941 
0.367 3.022 3.022 
0.601 0.952 0.952 
0.368 1.239 1.239 
0.467 1.239 1.239 
0.567 1.456 1.456 
0.601 2.254 2.254 
0.467 1.477 1.477 
0.250 1.006 1.006 
0.217 1.192 1.192 
0.451 1.094 1.094 
0.434 1.204 1.204 
0.585 1.367 1.367 
0.500 2.004 2.004 
0.467 2.111 2.111 
0.417 1.236 1.236 
0.301 1.532 1.532 
0.584 1.335 1.335 
0.417 1.455 1.455 
0.216 1.094 1.094 
0.483 1.083 1.083 
0.416 1.051 1.051 
0.234 1.259 1.259 
0.551 1.685 1.685 
0.334 0.853 0.853 
0.300 2.594 2.594 
0.250 1.926 1.926 
0.333 2.539 2.539 
0.300 2.977 2.977 
0.467 1.181 1.181 
0.234 1.762 1.762 
0.316 2.757 2.757 
0.317 2.156 2.156 
0.551 2.156 2.156 
0.385 1.829 1.829 
0.500 2.014 2.014 
0.450 1.236 1.236 
0.518 1.106 1.106 
0.250 1.379 1.379 
0.600 2.407 2.407 
0.550 1.991 1.991 
0.217 2.659 2.659 
0.384 1.806 1.806 
0.335 2.386 2.386 
0.451 1.237 1.237 
0.300 2.059 2.059 
0.434 1.488 1.488 
0.450 1.598 1.598 
0.449 1.423 1.423 
0.384 1.378 1.378 
0.217 1.773 1.773 
0.401 1.335 1.335 
0.368 2.528 2.528 
0.250 1.543 1.543 
0.384 0.952 0.952 
0.383 1.162 1.162 
0.417 1.664 1.664 
0.533 1.116 1.116 
0.484 1.237 1.237 
0.551 1.512 1.512 
0.217 1.161 1.161 
