<><><><><><><><> 
Begin: 05-Mar-2014 11:24:00 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s32 Run Number: 3 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (1-m, 2-f) 5. acc 6. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 0.274 0.274 
0.267 0.296 0.464 
0.417 0.295 0.311 
0.851 0.284 0.355 
0.234 0.284 0.388 
0.951 0.284 0.322 
0.783 0.295 0.421 
0.601 0.285 0.377 
0.668 0.295 0.399 
0.400 0.284 0.398 
0.568 0.295 0.377 
0.969 0.295 0.332 
0.634 0.306 0.329 
0.617 0.295 0.310 
0.384 0.296 0.378 
0.601 0.284 0.311 
0.701 0.296 0.296 
0.751 0.295 0.322 
0.516 0.295 0.475 
0.500 0.295 0.433 
1.001 0.284 0.410 
0.234 0.296 0.365 
0.918 0.284 0.322 
0.935 0.273 0.273 
0.834 0.295 0.355 
0.283 0.295 0.432 
0.417 0.285 0.497 
0.467 0.295 0.399 
0.752 0.284 0.376 
0.316 0.295 0.334 
0.784 0.295 0.552 
0.285 0.295 0.344 
0.733 0.285 0.355 
0.601 0.296 0.296 
0.818 0.306 0.470 
0.767 0.306 0.327 
0.918 0.263 0.263 
0.918 0.296 0.322 
0.468 0.296 0.442 
0.768 0.285 0.388 
0.367 0.284 0.377 
0.233 0.285 0.410 
0.801 0.295 0.398 
0.602 0.295 0.310 
0.584 0.295 0.295 
0.934 0.285 0.312 
0.683 0.306 0.448 
0.701 0.295 0.355 
0.885 0.296 0.296 
0.851 0.296 0.453 
0.666 0.296 0.389 
0.350 0.296 0.344 
0.400 0.285 0.355 
0.917 0.284 0.453 
0.233 0.285 0.432 
0.601 0.284 0.344 
0.334 0.295 0.345 
0.983 0.295 0.322 
0.768 0.296 0.321 
0.601 0.296 0.323 
0.583 0.295 0.356 
0.251 0.296 0.497 
0.751 0.295 0.432 
0.235 0.295 0.441 
0.267 0.285 0.530 
0.618 0.296 0.474 
0.285 0.285 0.365 
0.851 0.296 0.389 
0.850 0.262 0.262 
0.785 0.285 0.442 
0.318 0.295 0.409 
0.734 0.252 0.252 
0.616 0.230 0.230 
0.984 0.296 0.355 
0.716 0.295 0.295 
0.851 0.285 0.344 
0.567 0.295 0.366 
0.551 0.295 0.475 
0.868 0.284 0.508 
0.266 0.295 0.454 
0.316 0.284 0.377 
0.333 0.307 0.602 
0.518 0.296 0.552 
0.869 0.296 0.387 
0.851 0.284 0.410 
0.250 0.295 0.433 
0.518 0.296 0.420 
0.617 0.307 0.307 
0.534 0.296 0.509 
0.733 0.285 0.355 
0.701 0.295 0.311 
0.433 0.295 0.497 
0.552 0.296 0.453 
0.216 0.296 0.400 
0.985 0.295 0.343 
0.334 0.296 0.510 
0.284 0.295 0.486 
0.500 0.295 0.410 
0.367 0.285 0.465 
0.601 0.284 0.421 
0.466 0.307 0.547 
0.968 0.295 0.716 
0.935 0.295 0.398 
0.250 0.284 0.465 
0.800 0.284 0.399 
0.417 0.295 0.422 
0.533 0.306 0.338 
0.633 0.307 0.382 
0.951 0.295 0.541 
0.533 0.295 0.476 
0.985 0.295 0.507 
