<><><><><><><><> 
Begin: 03-Mar-2014 13:26:52 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s25 Run Number: 5 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (1-m, 2-f) 5. acc 6. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 0.302 0.690 
0.267 0.295 0.399 
0.418 0.284 0.573 
0.850 0.285 0.990 
0.232 0.284 0.715 
0.951 0.285 0.509 
0.783 0.295 0.312 
0.601 0.284 0.465 
0.667 0.295 0.399 
0.400 0.285 0.497 
0.568 0.295 0.420 
0.968 0.296 0.520 
0.635 0.296 0.441 
0.617 0.296 0.540 
0.384 0.295 0.585 
0.601 0.284 0.508 
0.702 0.296 0.703 
0.751 0.285 0.989 
0.516 0.296 0.508 
0.501 0.296 0.496 
1.001 0.285 0.377 
0.233 0.295 0.453 
0.917 0.284 0.640 
0.935 0.296 0.583 
0.835 0.295 0.607 
0.284 0.297 0.885 
0.417 0.285 0.311 
0.466 0.296 0.432 
0.751 0.284 0.617 
0.317 0.285 0.410 
0.783 0.285 0.285 
0.283 0.295 0.453 
0.733 0.284 0.563 
0.600 0.295 0.399 
0.818 0.306 0.952 
0.768 0.306 0.611 
0.918 0.307 0.786 
0.918 0.295 0.717 
0.467 0.295 0.377 
0.767 0.285 0.531 
0.367 0.285 0.432 
0.233 0.284 0.475 
0.801 0.295 0.333 
0.601 0.295 0.388 
0.584 0.296 0.607 
0.934 0.284 0.432 
0.685 0.296 0.519 
0.701 0.295 0.454 
0.884 0.296 0.542 
0.850 0.295 0.651 
0.667 0.296 0.433 
0.350 0.295 0.739 
0.399 0.284 0.541 
0.917 0.284 0.607 
0.233 0.285 0.661 
0.600 0.285 0.596 
0.334 0.295 0.836 
0.983 0.296 0.421 
0.767 0.295 0.695 
0.601 0.295 0.497 
0.584 0.295 0.455 
0.250 0.295 0.497 
0.751 0.295 0.487 
0.234 0.295 0.749 
0.267 0.285 0.432 
0.618 0.296 1.000 
0.285 0.284 0.606 
0.852 0.295 0.562 
0.855 0.295 0.573 
0.785 0.285 0.585 
0.318 0.296 0.715 
0.735 0.285 0.388 
0.618 0.296 0.421 
0.984 0.295 0.477 
0.717 0.295 0.388 
0.850 0.284 0.421 
0.567 0.296 0.541 
0.551 0.295 0.990 
0.867 0.285 0.869 
0.267 0.296 0.639 
0.316 0.285 0.519 
0.349 0.285 0.672 
0.517 0.296 0.671 
0.868 0.295 0.990 
0.850 0.284 0.541 
0.250 0.295 0.717 
0.517 0.296 0.356 
0.618 0.295 0.518 
0.534 0.296 0.398 
0.734 0.284 0.530 
0.701 0.295 0.411 
0.434 0.295 0.758 
0.551 0.296 0.717 
0.217 0.295 0.531 
0.984 0.295 0.508 
0.333 0.295 0.608 
0.284 0.296 0.531 
0.501 0.296 0.651 
0.367 0.284 0.628 
0.600 0.284 0.443 
0.466 0.297 0.454 
0.968 0.296 0.706 
0.935 0.296 0.399 
0.250 0.285 0.924 
0.801 0.285 0.619 
0.418 0.296 0.497 
0.535 0.295 0.585 
0.635 0.306 0.612 
0.951 0.295 0.814 
0.535 0.296 0.662 
0.985 0.296 0.562 
