<><><><><><><><> 
Begin: 03-Mar-2014 13:14:47 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s25 Run Number: 3 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (1-m, 2-f) 5. acc 6. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 0.292 0.311 
0.267 0.296 0.628 
0.417 0.284 0.584 
0.851 0.285 0.607 
0.233 0.285 0.694 
0.951 0.284 0.508 
0.784 0.295 0.520 
0.601 0.285 0.475 
0.667 0.296 0.508 
0.399 0.285 0.388 
0.567 0.295 0.463 
0.968 0.296 0.606 
0.634 0.296 0.454 
0.617 0.295 0.367 
0.385 0.296 0.627 
0.601 0.285 0.553 
0.702 0.295 0.441 
0.751 0.285 0.563 
0.518 0.295 0.562 
0.501 0.296 0.880 
1.000 0.285 0.617 
0.234 0.295 0.652 
0.918 0.285 0.672 
0.934 0.296 0.748 
0.835 0.295 0.540 
0.284 0.295 0.443 
0.417 0.285 0.671 
0.467 0.296 0.498 
0.751 0.285 0.683 
0.317 0.285 0.552 
0.783 0.296 0.487 
0.285 0.295 0.683 
0.718 0.306 0.953 
0.600 0.295 0.606 
0.818 0.306 0.700 
0.768 0.306 0.535 
0.918 0.307 0.547 
0.918 0.296 0.903 
0.467 0.295 0.661 
0.768 0.285 0.486 
0.366 0.284 0.836 
0.233 0.284 0.519 
0.802 0.296 0.562 
0.601 0.295 0.398 
0.584 0.295 0.486 
0.934 0.285 0.826 
0.684 0.307 0.876 
0.701 0.295 0.563 
0.884 0.296 0.826 
0.851 0.295 0.990 
0.668 0.285 0.562 
0.350 0.295 0.509 
0.400 0.284 0.629 
0.917 0.284 0.475 
0.234 0.284 0.946 
0.600 0.284 0.650 
0.334 0.295 0.553 
0.984 0.295 0.673 
0.768 0.295 0.781 
0.601 0.295 0.706 
0.584 0.295 0.519 
0.250 0.295 0.607 
0.751 0.295 0.486 
0.234 0.295 0.562 
0.267 0.284 0.442 
0.616 0.296 0.630 
0.284 0.295 0.452 
0.850 0.306 0.745 
0.852 0.295 0.612 
0.785 0.295 0.344 
0.317 0.296 0.672 
0.735 0.285 0.814 
0.618 0.296 0.497 
0.984 0.296 0.661 
0.717 0.296 0.663 
0.851 0.284 0.377 
0.566 0.295 0.759 
0.550 0.296 0.816 
0.868 0.285 0.913 
0.268 0.296 0.596 
0.317 0.285 0.607 
0.334 0.307 0.667 
0.517 0.296 0.804 
0.869 0.296 0.989 
0.850 0.284 0.607 
0.250 0.295 0.639 
0.517 0.295 0.760 
0.617 0.307 0.667 
0.534 0.295 0.574 
0.734 0.285 0.738 
0.700 0.295 0.497 
0.435 0.295 0.957 
0.550 0.295 0.498 
0.216 0.295 0.640 
0.984 0.296 0.652 
0.334 0.295 0.597 
0.284 0.295 0.485 
0.501 0.295 0.410 
0.367 0.284 0.366 
0.601 0.284 0.432 
0.468 0.296 1.001 
0.969 0.295 0.640 
0.933 0.295 0.727 
0.249 0.295 0.750 
0.801 0.284 0.629 
0.418 0.295 0.662 
0.533 0.306 0.613 
0.634 0.306 0.602 
0.950 0.306 0.777 
0.535 0.295 0.628 
0.983 0.296 0.574 
