<><><><><><><><> 
Begin: 27-Oct-2014 10:57:46 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s27 Run Number: 4 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 2.343 2.343 
0.533 1.389 1.389 
0.568 1.116 1.116 
0.251 1.356 1.356 
0.567 1.258 1.258 
0.450 1.324 1.324 
0.233 1.487 1.487 
0.317 1.051 1.051 
0.417 1.181 1.181 
0.584 1.400 1.400 
0.584 1.028 1.028 
0.267 2.648 2.648 
0.585 1.006 1.006 
0.585 1.730 1.730 
0.400 1.313 1.313 
0.517 2.090 2.090 
0.267 2.243 2.243 
0.367 1.729 1.729 
0.568 1.936 1.936 
0.517 1.258 1.258 
0.584 1.653 1.653 
0.467 2.133 2.133 
0.217 1.061 1.061 
0.535 1.422 1.422 
0.584 0.963 0.963 
0.467 2.135 2.135 
0.501 1.914 1.914 
0.502 1.608 1.608 
0.351 2.669 2.669 
0.467 1.805 1.805 
0.267 1.301 1.301 
0.485 1.980 1.980 
0.216 1.324 1.324 
0.317 1.837 1.837 
0.216 1.236 1.236 
0.250 1.335 1.335 
0.534 1.325 1.325 
0.484 0.930 0.930 
0.333 2.822 2.822 
0.584 1.018 1.018 
0.217 2.352 2.352 
0.384 1.368 1.368 
0.351 0.974 0.974 
0.517 0.963 0.963 
0.517 1.652 1.652 
0.284 0.865 0.865 
0.401 2.266 2.266 
0.384 1.881 1.881 
0.467 1.083 1.083 
0.484 1.247 1.247 
0.500 1.554 1.554 
0.316 1.937 1.937 
0.467 1.982 1.982 
0.467 1.126 1.126 
0.268 1.170 1.170 
0.251 3.316 3.316 
0.401 1.827 1.827 
0.585 3.567 3.567 
0.334 1.280 1.280 
0.434 1.215 1.215 
0.299 1.028 1.028 
0.500 2.790 2.790 
0.300 2.878 2.878 
0.401 1.827 1.827 
0.484 2.767 2.767 
0.566 1.247 1.247 
0.584 1.752 1.752 
0.417 1.390 1.390 
0.251 1.083 1.083 
0.268 1.597 1.597 
0.301 3.413 3.413 
0.533 1.849 1.849 
0.301 2.231 2.231 
0.533 3.796 3.796 
0.301 2.200 2.200 
0.568 1.509 1.509 
0.335 0.821 0.821 
0.284 1.117 1.117 
0.301 1.007 1.007 
0.451 1.476 1.476 
0.399 2.518 2.518 
0.350 1.641 1.641 
0.534 2.210 2.210 
0.434 1.422 1.422 
0.417 1.848 1.848 
0.567 1.060 1.060 
0.317 1.116 1.116 
0.500 1.128 1.128 
0.500 1.083 1.083 
0.349 1.050 1.050 
0.434 1.488 1.488 
0.235 2.857 2.857 
0.216 1.313 1.313 
0.417 1.739 1.739 
0.518 1.860 1.860 
0.583 2.013 2.013 
0.250 1.203 1.203 
0.435 0.996 0.996 
0.384 2.658 2.658 
0.201 1.958 1.958 
0.334 1.116 1.116 
0.267 1.772 1.772 
0.517 2.013 2.013 
0.334 1.028 1.028 
