<><><><><><><><> 
Begin: 27-Oct-2014 11:19:46 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s27 Run Number: 6 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 2.606 2.606 
0.533 1.739 1.739 
0.567 1.236 1.236 
0.250 1.094 1.094 
0.568 1.084 1.084 
0.450 1.236 1.236 
0.234 0.831 0.831 
0.318 0.908 0.908 
0.417 1.073 1.073 
0.583 2.164 2.164 
0.584 1.871 1.871 
0.268 1.248 1.248 
0.585 1.007 1.007 
0.584 1.061 1.061 
0.401 1.084 1.084 
0.518 0.919 0.919 
0.267 2.176 2.176 
0.367 1.631 1.631 
0.567 1.236 1.236 
0.518 0.755 0.755 
0.584 1.553 1.553 
0.466 1.084 1.084 
0.217 0.799 0.799 
0.550 1.652 1.652 
0.583 2.550 2.550 
0.468 1.159 1.159 
0.500 1.401 1.401 
0.500 1.664 1.664 
0.367 1.389 1.389 
0.468 1.061 1.061 
0.266 0.831 0.831 
0.483 1.421 1.421 
0.217 0.908 0.908 
0.318 0.974 0.974 
0.217 0.907 0.907 
0.234 0.974 0.974 
0.534 1.663 1.663 
0.485 1.029 1.029 
0.333 1.477 1.477 
0.584 1.630 1.630 
0.216 1.204 1.204 
0.383 1.127 1.127 
0.351 1.401 1.401 
0.501 0.908 0.908 
0.517 1.072 1.072 
0.283 1.225 1.225 
0.400 0.766 0.766 
0.384 1.018 1.018 
0.467 0.777 0.777 
0.483 1.160 1.160 
0.501 0.974 0.974 
0.317 1.149 1.149 
0.467 1.608 1.608 
0.468 1.073 1.073 
0.267 1.138 1.138 
0.250 1.072 1.072 
0.400 1.969 1.969 
0.585 2.877 2.877 
0.334 0.821 0.821 
0.434 1.388 1.388 
0.300 0.984 0.984 
0.501 2.013 2.013 
0.300 1.171 1.171 
0.400 0.799 0.799 
0.483 1.477 1.477 
0.567 1.860 1.860 
0.584 1.423 1.423 
0.417 1.521 1.521 
0.251 1.160 1.160 
0.267 1.685 1.685 
0.301 1.171 1.171 
0.534 1.882 1.882 
0.300 1.061 1.061 
0.534 1.062 1.062 
0.300 1.259 1.259 
0.568 1.936 1.936 
0.334 2.617 2.617 
0.283 0.952 0.952 
0.301 1.203 1.203 
0.450 0.864 0.864 
0.384 1.761 1.761 
0.350 1.139 1.139 
0.534 1.903 1.903 
0.434 1.872 1.872 
0.418 0.787 0.787 
0.568 0.854 0.854 
0.317 1.641 1.641 
0.500 0.942 0.942 
0.501 1.816 1.816 
0.351 1.586 1.586 
0.434 1.762 1.762 
0.233 1.804 1.804 
0.216 1.566 1.566 
0.417 1.050 1.050 
0.518 1.203 1.203 
0.583 2.539 2.539 
0.250 2.035 2.035 
0.434 1.609 1.609 
0.384 1.028 1.028 
0.201 3.174 3.174 
0.333 1.838 1.838 
0.268 0.766 0.766 
0.517 0.941 0.941 
0.334 1.378 1.378 
