<><><><><><><><> 
Begin: 30-Sep-2014 18:22:21 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s30 Run Number: 5 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 1.337 1.337 
0.533 0.809 0.809 
0.567 0.886 0.886 
0.251 0.918 0.918 
0.567 0.853 0.853 
0.450 1.040 1.040 
0.233 0.908 0.908 
0.317 0.755 0.755 
0.417 0.821 0.821 
0.583 0.765 0.765 
0.584 0.897 0.897 
0.267 0.908 0.908 
0.585 0.690 0.690 
0.583 0.941 0.941 
0.401 0.756 0.756 
0.517 0.985 0.985 
0.266 0.755 0.755 
0.367 1.051 1.051 
0.568 1.203 1.203 
0.517 0.646 0.646 
0.584 0.810 0.810 
0.467 0.657 0.657 
0.216 0.897 0.897 
0.550 0.777 0.777 
0.568 0.809 0.809 
0.467 0.897 0.897 
0.501 0.843 0.843 
0.500 1.236 1.236 
0.367 0.766 0.766 
0.467 0.909 0.909 
0.266 1.061 1.061 
0.483 0.810 0.810 
0.217 0.832 0.832 
0.317 0.864 0.864 
0.216 1.040 1.040 
0.233 1.093 1.093 
0.534 1.105 1.105 
0.484 0.668 0.668 
0.334 1.006 1.006 
0.583 0.798 0.798 
0.217 0.996 0.996 
0.384 1.084 1.084 
0.350 0.711 0.711 
0.501 0.974 0.974 
0.517 0.897 0.897 
0.283 1.095 1.095 
0.401 0.930 0.930 
0.383 1.488 1.488 
0.467 0.919 0.919 
0.484 0.799 0.799 
0.501 0.788 0.788 
0.317 0.919 0.919 
0.467 0.766 0.766 
0.468 1.334 1.334 
0.267 0.973 0.973 
0.251 0.897 0.897 
0.401 0.766 0.766 
0.584 0.864 0.864 
0.334 0.722 0.722 
0.434 0.887 0.887 
0.300 1.094 1.094 
0.500 1.083 1.083 
0.300 0.963 0.963 
0.400 1.467 1.467 
0.484 0.656 0.656 
0.567 1.433 1.433 
0.584 0.623 0.623 
0.417 1.170 1.170 
0.267 0.755 0.755 
0.267 0.854 0.854 
0.300 0.843 0.843 
0.534 0.765 0.765 
0.300 0.821 0.821 
0.534 0.799 0.799 
0.300 0.820 0.820 
0.567 0.634 0.634 
0.350 0.777 0.777 
0.284 1.215 1.215 
0.300 1.247 1.247 
0.451 0.809 0.809 
0.399 1.138 1.138 
0.350 0.755 0.755 
0.533 0.952 0.952 
0.434 0.755 0.755 
0.417 1.105 1.105 
0.568 0.700 0.700 
0.318 1.181 1.181 
0.501 0.984 0.984 
0.501 0.854 0.854 
0.350 1.094 1.094 
0.433 1.028 1.028 
0.234 0.832 0.832 
0.233 0.854 0.854 
0.418 0.821 0.821 
0.517 0.886 0.886 
0.583 1.181 1.181 
0.251 1.061 1.061 
0.434 0.941 0.941 
0.384 0.591 0.591 
0.200 0.153 0.153 
0.334 1.586 1.586 
0.266 0.799 0.799 
0.518 0.941 0.941 
0.334 0.876 0.876 
