<><><><><><><><> 
Begin: 26-Feb-2014 12:13:22 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s20 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (1-m, 2-f) 5. acc 6. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 0.298 0.409 
0.268 0.300 0.300 
0.418 0.290 0.311 
0.851 0.285 0.311 
0.233 0.285 0.705 
0.951 0.284 0.476 
0.784 0.295 0.496 
0.601 0.285 0.388 
0.666 0.295 0.488 
0.399 0.284 0.443 
0.567 0.295 0.542 
0.967 0.296 0.465 
0.634 0.295 0.530 
0.618 0.296 0.453 
0.384 0.295 0.377 
0.601 0.284 0.399 
0.701 0.295 0.410 
0.750 0.295 0.378 
0.517 0.296 0.508 
0.501 0.285 0.422 
1.001 0.284 0.432 
0.235 0.296 0.453 
0.918 0.285 0.629 
0.935 0.296 0.354 
0.835 0.296 0.530 
0.285 0.295 0.442 
0.417 0.285 0.453 
0.467 0.295 0.531 
0.752 0.285 0.464 
0.317 0.295 0.400 
0.785 0.285 0.474 
0.285 0.296 0.343 
0.733 0.285 0.607 
0.601 0.295 0.497 
0.834 0.284 0.475 
0.767 0.306 0.427 
0.934 0.285 0.739 
0.918 0.296 0.365 
0.468 0.296 0.464 
0.767 0.284 0.399 
0.367 0.285 0.520 
0.233 0.285 0.486 
0.801 0.296 0.344 
0.601 0.295 0.475 
0.583 0.295 0.367 
0.934 0.285 0.443 
0.684 0.296 0.443 
0.702 0.285 0.311 
0.884 0.296 0.487 
0.851 0.295 0.454 
0.668 0.296 0.738 
0.349 0.296 0.444 
0.399 0.285 0.487 
0.917 0.284 0.508 
0.233 0.284 0.378 
0.600 0.284 0.466 
0.334 0.296 0.334 
0.984 0.295 0.422 
0.768 0.295 0.388 
0.600 0.296 0.542 
0.584 0.285 0.540 
0.249 0.295 0.499 
0.751 0.296 0.662 
0.233 0.296 0.520 
0.267 0.284 0.399 
0.618 0.296 0.344 
0.285 0.285 0.519 
0.850 0.307 0.449 
0.851 0.295 0.475 
0.785 0.296 0.421 
0.317 0.296 0.431 
0.735 0.285 0.388 
0.617 0.295 0.333 
0.985 0.285 0.497 
0.717 0.296 0.552 
0.850 0.285 0.487 
0.567 0.295 0.454 
0.551 0.296 0.442 
0.868 0.285 0.552 
0.268 0.295 0.519 
0.317 0.285 0.389 
0.349 0.285 0.519 
0.517 0.295 0.586 
0.868 0.296 0.476 
0.851 0.285 0.411 
0.250 0.296 0.432 
0.517 0.296 0.454 
0.618 0.296 0.519 
0.535 0.296 0.431 
0.734 0.285 0.476 
0.701 0.296 0.422 
0.433 0.296 0.531 
0.551 0.296 0.333 
0.218 0.296 0.453 
0.983 0.306 0.581 
0.334 0.296 0.475 
0.285 0.011 0.011 
0.501 0.296 0.466 
0.367 0.285 0.399 
0.601 0.285 0.531 
0.468 0.296 0.650 
0.968 0.296 0.575 
0.934 0.295 0.510 
0.250 0.285 0.607 
0.801 0.285 0.476 
0.418 0.296 0.552 
0.533 0.306 0.450 
0.635 0.296 0.519 
0.951 0.295 0.825 
0.533 0.296 0.542 
0.984 0.296 0.497 
