<><><><><><><><> 
Begin: 26-Jun-2014 14:39:12 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4591
For more info visit:
https 
Subjid: s02 Run Number: 6 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 0.978 0.978 
0.266 1.399 1.399 
0.450 1.061 1.061 
0.351 0.820 0.820 
0.218 0.864 0.864 
0.500 0.744 0.744 
0.200 1.050 1.050 
0.267 0.952 0.952 
0.283 0.755 0.755 
0.267 0.832 0.832 
0.517 0.635 0.635 
0.350 0.525 0.525 
0.534 0.897 0.897 
0.384 0.667 0.667 
0.284 0.602 0.602 
0.301 0.666 0.666 
0.350 0.711 0.711 
0.300 0.765 0.765 
0.517 0.525 0.525 
0.301 0.875 0.875 
0.451 0.635 0.635 
0.351 0.865 0.865 
0.518 0.590 0.590 
0.333 0.591 0.591 
0.467 0.624 0.624 
0.334 0.820 0.820 
0.418 0.569 0.569 
0.384 0.634 0.634 
0.350 0.689 0.689 
0.267 0.930 0.930 
0.484 0.678 0.678 
0.484 0.788 0.788 
0.450 0.918 0.918 
0.400 0.733 0.733 
0.367 0.800 0.800 
0.384 0.646 0.646 
0.549 1.443 1.443 
0.484 0.613 0.613 
0.551 0.569 0.569 
0.517 0.744 0.744 
0.384 0.623 0.623 
0.466 0.602 0.602 
0.333 0.744 0.744 
0.433 0.624 0.624 
0.417 0.918 0.918 
0.300 0.886 0.886 
0.450 0.952 0.952 
0.518 0.722 0.722 
0.434 0.635 0.635 
0.584 0.624 0.624 
0.451 0.886 0.886 
0.517 0.558 0.558 
0.433 0.678 0.678 
0.217 0.843 0.843 
0.400 0.635 0.635 
0.568 0.766 0.766 
0.583 0.821 0.821 
0.284 0.744 0.744 
0.601 0.656 0.656 
0.584 0.865 0.865 
0.484 0.524 0.524 
0.467 0.536 0.536 
0.584 0.866 0.866 
0.568 1.149 1.149 
0.568 0.667 0.667 
0.251 0.525 0.525 
0.316 1.084 1.084 
0.551 0.634 0.634 
0.300 0.733 0.733 
0.501 1.171 1.171 
0.534 0.614 0.614 
0.317 0.700 0.700 
0.417 0.590 0.590 
0.483 0.732 0.732 
0.551 0.864 0.864 
0.267 0.525 0.525 
0.251 0.722 0.722 
0.584 0.689 0.689 
0.334 0.602 0.602 
0.334 1.576 1.576 
0.517 0.601 0.601 
0.518 0.689 0.689 
0.400 0.756 0.756 
0.284 0.744 0.744 
0.484 0.875 0.875 
0.451 0.602 0.602 
0.518 0.580 0.580 
0.333 1.072 1.072 
0.383 0.711 0.711 
0.533 0.755 0.755 
0.533 0.832 0.832 
0.350 0.897 0.897 
0.267 0.821 0.821 
0.284 0.755 0.755 
0.568 0.996 0.996 
0.351 0.799 0.799 
0.401 0.897 0.897 
0.418 1.171 1.171 
0.217 0.886 0.886 
0.350 0.908 0.908 
0.517 1.270 1.270 
0.584 2.286 2.286 
0.285 0.973 0.973 
0.600 0.930 0.930 
0.468 1.519 1.519 
0.584 0.590 0.590 
0.301 1.422 1.422 
0.567 0.678 0.678 
0.317 0.547 0.547 
0.300 0.962 0.962 
0.216 0.667 0.667 
0.217 1.094 1.094 
0.467 1.301 1.301 
0.251 1.127 1.127 
0.534 0.810 0.810 
0.383 0.832 0.832 
0.351 0.722 0.722 
0.467 0.689 0.689 
0.416 0.951 0.951 
0.534 0.645 0.645 
0.316 0.853 0.853 
0.233 0.875 0.875 
0.468 0.865 0.865 
0.601 0.722 0.722 
0.417 0.875 0.875 
0.567 0.689 0.689 
0.517 0.887 0.887 
0.434 0.832 0.832 
0.301 0.864 0.864 
0.317 0.876 0.876 
0.283 1.620 1.620 
0.500 1.302 1.302 
0.535 1.728 1.728 
0.266 0.853 0.853 
0.451 1.006 1.006 
0.350 0.667 0.667 
0.300 0.777 0.777 
0.284 0.832 0.832 
0.366 0.898 0.898 
0.484 0.886 0.886 
0.467 1.050 1.050 
0.501 0.777 0.777 
0.367 0.700 0.700 
0.367 0.580 0.580 
0.284 0.525 0.525 
0.267 0.909 0.909 
0.350 1.652 1.652 
0.300 1.062 1.062 
0.234 1.313 1.313 
0.301 1.236 1.236 
0.601 1.182 1.182 
0.368 1.083 1.083 
0.351 0.788 0.788 
0.585 1.576 1.576 
0.517 0.941 0.941 
0.251 1.619 1.619 
0.518 1.039 1.039 
0.533 0.918 0.918 
0.568 0.854 0.854 
0.267 1.433 1.433 
0.400 1.587 1.587 
0.451 0.973 0.973 
0.368 1.488 1.488 
0.584 0.821 0.821 
0.300 0.766 0.766 
0.450 1.105 1.105 
0.401 0.679 0.679 
0.417 0.941 0.941 
0.500 0.723 0.723 
0.567 0.744 0.744 
0.334 1.061 1.061 
0.484 1.423 1.423 
0.233 1.137 1.137 
0.384 0.886 0.886 
0.250 1.270 1.270 
0.484 0.787 0.787 
0.434 0.765 0.765 
0.450 0.996 0.996 
0.567 1.083 1.083 
0.535 1.073 1.073 
0.367 1.467 1.467 
0.367 0.809 0.809 
0.484 1.280 1.280 
0.284 1.050 1.050 
0.401 0.721 0.721 
0.333 0.930 0.930 
0.533 1.149 1.149 
0.284 0.875 0.875 
0.250 0.558 0.558 
0.334 0.799 0.799 
0.334 0.798 0.798 
0.468 0.821 0.821 
0.216 0.962 0.962 
0.551 0.831 0.831 
0.550 0.613 0.613 
0.350 0.755 0.755 
0.383 0.667 0.667 
0.350 0.690 0.690 
0.500 0.634 0.634 
0.434 0.667 0.667 
0.567 0.854 0.854 
0.384 0.723 0.723 
0.284 0.591 0.591 
0.551 0.962 0.962 
0.567 0.722 0.722 
0.367 0.865 0.865 
0.399 0.886 0.886 
0.417 1.597 1.597 
0.551 1.006 1.006 
0.283 0.700 0.700 
0.351 0.645 0.645 
0.584 0.623 0.623 
0.251 0.810 0.810 
0.301 0.667 0.667 
0.584 0.711 0.711 
0.200 0.679 0.679 
0.250 1.029 1.029 
0.601 0.842 0.842 
0.367 0.646 0.646 
0.284 0.788 0.788 
0.368 0.733 0.733 
0.467 0.777 0.777 
0.500 0.645 0.645 
0.467 0.547 0.547 
0.434 0.536 0.536 
0.600 0.580 0.580 
0.517 0.646 0.646 
0.350 0.646 0.646 
0.467 0.569 0.569 
0.534 0.568 0.568 
0.317 0.635 0.635 
0.350 0.449 0.449 
0.567 0.503 0.503 
0.300 0.569 0.569 
0.300 0.547 0.547 
0.550 0.515 0.515 
0.450 0.612 0.612 
0.267 0.635 0.635 
0.368 0.470 0.470 
0.350 0.645 0.645 
0.501 0.700 0.700 
0.217 0.842 0.842 
0.417 0.547 0.547 
0.300 0.613 0.613 
0.300 0.787 0.787 
0.501 0.591 0.591 
0.266 1.083 1.083 
0.600 0.503 0.503 
0.368 0.569 0.569 
0.234 1.532 1.532 
0.434 0.690 0.690 
0.534 0.634 0.634 
0.250 0.613 0.613 
0.418 0.689 0.689 
0.517 0.590 0.590 
0.517 0.799 0.799 
0.317 0.908 0.908 
0.467 0.536 0.536 
0.451 0.645 0.645 
0.235 1.367 1.367 
0.584 0.820 0.820 
0.584 0.776 0.776 
0.434 0.601 0.601 
0.383 0.712 0.712 
0.568 0.700 0.700 
0.318 0.755 0.755 
0.534 0.876 0.876 
0.517 0.634 0.634 
0.384 0.711 0.711 
0.484 1.073 1.073 
0.500 0.831 0.831 
0.401 0.875 0.875 
0.468 0.635 0.635 
0.267 0.646 0.646 
0.483 0.645 0.645 
0.333 0.700 0.700 
0.484 0.897 0.897 
0.300 0.514 0.514 
0.550 1.007 1.007 
