<><><><><><><><> 
Begin: 26-Jun-2014 14:28:27 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4591
For more info visit:
https 
Subjid: s02 Run Number: 5 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 0.626 0.626 
0.267 1.641 1.641 
0.451 0.777 0.777 
0.350 0.951 0.951 
0.217 0.798 0.798 
0.500 1.399 1.399 
0.201 0.809 0.809 
0.267 0.854 0.854 
0.284 0.711 0.711 
0.267 1.279 1.279 
0.517 0.613 0.613 
0.350 0.788 0.788 
0.534 0.668 0.668 
0.383 0.776 0.776 
0.284 0.776 0.776 
0.300 0.656 0.656 
0.351 0.569 0.569 
0.300 0.701 0.701 
0.517 0.591 0.591 
0.300 0.657 0.657 
0.451 0.656 0.656 
0.350 0.547 0.547 
0.517 0.799 0.799 
0.334 0.624 0.624 
0.467 1.226 1.226 
0.334 0.623 0.623 
0.417 0.876 0.876 
0.384 0.569 0.569 
0.350 0.679 0.679 
0.266 0.733 0.733 
0.484 0.635 0.635 
0.484 0.700 0.700 
0.451 0.689 0.689 
0.400 0.799 0.799 
0.367 0.898 0.898 
0.383 0.833 0.833 
0.551 0.677 0.677 
0.484 0.820 0.820 
0.551 0.689 0.689 
0.517 0.853 0.853 
0.384 1.062 1.062 
0.467 0.875 0.875 
0.333 0.820 0.820 
0.434 0.776 0.776 
0.417 1.544 1.544 
0.300 0.973 0.973 
0.451 1.445 1.445 
0.517 1.159 1.159 
0.434 1.663 1.663 
0.584 0.787 0.787 
0.451 1.291 1.291 
0.517 0.875 0.875 
0.434 0.886 0.886 
0.217 1.117 1.117 
0.401 0.799 0.799 
0.567 1.084 1.084 
0.584 1.006 1.006 
0.283 0.897 0.897 
0.601 0.875 0.875 
0.584 0.842 0.842 
0.483 0.897 0.897 
0.467 0.995 0.995 
0.585 0.875 0.875 
0.568 0.909 0.909 
0.567 0.920 0.920 
0.250 0.897 0.897 
0.316 0.886 0.886 
0.550 0.569 0.569 
0.300 0.842 0.842 
0.501 0.547 0.547 
0.534 0.755 0.755 
0.317 0.679 0.679 
0.418 0.788 0.788 
0.484 0.679 0.679 
0.550 0.679 0.679 
0.266 0.809 0.809 
0.251 0.875 0.875 
0.584 0.613 0.613 
0.334 0.929 0.929 
0.333 0.908 0.908 
0.517 0.744 0.744 
0.516 0.766 0.766 
0.401 0.985 0.985 
0.283 0.765 0.765 
0.484 0.810 0.810 
0.450 0.700 0.700 
0.517 0.842 0.842 
0.334 0.963 0.963 
0.384 0.799 0.799 
0.534 0.942 0.942 
0.534 0.766 0.766 
0.350 0.788 0.788 
0.266 0.865 0.865 
0.283 0.942 0.942 
0.567 0.963 0.963 
0.351 0.689 0.689 
0.400 1.259 1.259 
0.418 0.941 0.941 
0.217 1.006 1.006 
0.350 0.711 0.711 
0.517 0.766 0.766 
0.585 0.831 0.831 
0.299 0.973 0.973 
0.601 0.777 0.777 
0.467 0.853 0.853 
0.600 0.885 0.885 
0.301 0.623 0.623 
0.568 0.722 0.722 
0.317 1.270 1.270 
0.299 0.951 0.951 
0.217 0.722 0.722 
0.217 0.821 0.821 
0.467 0.612 0.612 
0.251 0.809 0.809 
0.534 0.733 0.733 
0.383 0.591 0.591 
0.350 0.569 0.569 
0.468 0.744 0.744 
0.417 0.548 0.548 
0.534 0.536 0.536 
0.317 0.700 0.700 
0.234 0.657 0.657 
0.467 0.864 0.864 
0.601 0.645 0.645 
0.417 0.711 0.711 
0.567 0.711 0.711 
0.517 0.721 0.721 
0.434 0.853 0.853 
0.300 0.591 0.591 
0.316 0.985 0.985 
0.267 0.744 0.744 
0.501 0.679 0.679 
0.533 0.831 0.831 
0.267 0.898 0.898 
0.450 0.766 0.766 
0.351 0.776 0.776 
0.301 0.755 0.755 
0.283 0.799 0.799 
0.367 0.700 0.700 
0.484 0.722 0.722 
0.467 0.897 0.897 
0.500 0.854 0.854 
0.367 0.646 0.646 
0.367 0.667 0.667 
0.284 0.602 0.602 
0.267 0.645 0.645 
0.350 0.568 0.568 
0.301 0.722 0.722 
0.234 1.204 1.204 
0.300 0.876 0.876 
0.600 0.656 0.656 
0.367 0.962 0.962 
0.351 1.970 1.970 
0.584 1.564 1.564 
0.517 1.948 1.948 
0.251 1.914 1.914 
0.518 1.971 1.971 
0.534 1.433 1.433 
0.568 3.108 3.108 
0.268 1.007 1.007 
0.400 0.941 0.941 
0.451 0.854 0.854 
0.367 0.809 0.809 
0.584 0.820 0.820 
0.300 0.843 0.843 
0.451 1.093 1.093 
0.400 1.673 1.673 
0.417 1.717 1.717 
0.501 0.744 0.744 
0.568 0.877 0.877 
0.334 0.678 0.678 
0.484 1.389 1.389 
0.234 1.346 1.346 
0.384 0.734 0.734 
0.251 0.930 0.930 
0.483 0.744 0.744 
0.434 0.777 0.777 
0.450 0.711 0.711 
0.567 0.799 0.799 
0.533 0.766 0.766 
0.367 0.755 0.755 
0.367 0.832 0.832 
0.484 0.842 0.842 
0.284 0.853 0.853 
0.399 1.116 1.116 
0.334 1.335 1.335 
0.533 1.202 1.202 
0.284 0.799 0.799 
0.250 0.646 0.646 
0.334 0.667 0.667 
0.333 0.907 0.907 
0.467 0.657 0.657 
0.218 1.597 1.597 
0.551 0.657 0.657 
0.551 0.688 0.688 
0.351 0.744 0.744 
0.384 0.929 0.929 
0.350 0.744 0.744 
0.501 2.373 2.373 
0.434 0.875 0.875 
0.568 0.853 0.853 
0.384 0.865 0.865 
0.299 0.909 0.909 
0.551 0.723 0.723 
0.567 0.557 0.557 
0.351 0.887 0.887 
0.400 0.864 0.864 
0.417 0.635 0.635 
0.551 0.766 0.766 
0.284 0.995 0.995 
0.350 0.809 0.809 
0.583 1.433 1.433 
0.250 0.853 0.853 
0.300 1.192 1.192 
0.584 0.897 0.897 
0.200 0.777 0.777 
0.266 1.366 1.366 
0.600 1.028 1.028 
0.367 0.874 0.874 
0.283 1.126 1.126 
0.367 0.820 0.820 
0.467 0.973 0.973 
0.501 0.985 0.985 
0.467 0.930 0.930 
0.433 0.843 0.843 
0.600 0.755 0.755 
0.517 0.874 0.874 
0.350 0.766 0.766 
0.467 0.842 0.842 
0.533 0.809 0.809 
0.316 0.864 0.864 
0.351 0.766 0.766 
0.567 0.679 0.679 
0.300 0.973 0.973 
0.300 1.115 1.115 
0.550 0.689 0.689 
0.451 0.864 0.864 
0.267 0.820 0.820 
0.367 1.192 1.192 
0.350 0.995 0.995 
0.517 0.897 0.897 
0.216 0.854 0.854 
0.417 1.082 1.082 
0.301 0.590 0.590 
0.300 1.280 1.280 
0.501 0.842 0.842 
0.267 1.729 1.729 
0.600 0.645 0.645 
0.367 0.909 0.909 
0.234 1.083 1.083 
0.434 0.985 0.985 
0.534 0.963 0.963 
0.250 1.586 1.586 
0.417 0.864 0.864 
0.517 1.127 1.127 
0.517 0.897 0.897 
0.318 0.930 0.930 
0.467 1.280 1.280 
0.451 0.995 0.995 
0.234 1.247 1.247 
0.584 1.641 1.641 
0.583 1.619 1.619 
0.434 2.603 2.603 
0.384 0.962 0.962 
0.567 0.973 0.973 
0.317 0.941 0.941 
0.534 1.039 1.039 
0.516 0.646 0.646 
0.383 0.821 0.821 
0.484 0.645 0.645 
0.501 1.171 1.171 
0.401 0.635 0.635 
0.468 0.765 0.765 
0.284 0.646 0.646 
0.484 0.864 0.864 
0.334 0.711 0.711 
0.484 0.842 0.842 
0.300 0.953 0.953 
0.550 2.134 2.134 
