<><><><><><><><> 
Begin: 26-Sep-2014 13:37:27 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s43 Run Number: 4 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 2.388 2.388 
0.533 1.160 1.160 
0.567 1.237 1.237 
0.250 1.006 1.006 
0.568 0.700 0.700 
0.450 0.843 0.843 
0.234 0.744 0.744 
0.318 0.667 0.667 
0.418 0.678 0.678 
0.584 0.602 0.602 
0.583 0.548 0.548 
0.267 0.667 0.667 
0.584 0.755 0.755 
0.584 0.635 0.635 
0.400 0.481 0.481 
0.517 0.569 0.569 
0.267 0.711 0.711 
0.367 0.492 0.492 
0.567 0.548 0.548 
0.517 0.755 0.755 
0.584 0.602 0.602 
0.468 0.602 0.602 
0.217 0.832 0.832 
0.550 0.821 0.821 
0.584 0.580 0.580 
0.466 0.733 0.733 
0.500 0.855 0.855 
0.500 0.853 0.853 
0.367 1.138 1.138 
0.468 1.083 1.083 
0.268 0.635 0.635 
0.484 0.810 0.810 
0.218 0.820 0.820 
0.317 0.711 0.711 
0.217 0.645 0.645 
0.235 0.624 0.624 
0.535 0.722 0.722 
0.483 0.504 0.504 
0.333 0.766 0.766 
0.584 0.700 0.700 
0.217 0.711 0.711 
0.384 0.799 0.799 
0.350 0.623 0.623 
0.517 0.886 0.886 
0.517 0.787 0.787 
0.284 0.559 0.559 
0.401 0.952 0.952 
0.384 0.656 0.656 
0.466 0.558 0.558 
0.483 0.700 0.700 
0.501 0.558 0.558 
0.318 0.678 0.678 
0.467 0.547 0.547 
0.467 0.514 0.514 
0.267 0.701 0.701 
0.250 0.667 0.667 
0.400 0.613 0.613 
0.584 0.679 0.679 
0.333 0.886 0.886 
0.434 0.646 0.646 
0.284 0.591 0.591 
0.500 0.756 0.756 
0.300 1.203 1.203 
0.400 0.569 0.569 
0.484 0.810 0.810 
0.567 0.810 0.810 
0.584 1.008 1.008 
0.417 0.733 0.733 
0.251 0.679 0.679 
0.267 0.700 0.700 
0.301 0.712 0.712 
0.534 1.028 1.028 
0.301 0.580 0.580 
0.534 0.766 0.766 
0.300 0.887 0.887 
0.568 0.766 0.766 
0.335 0.580 0.580 
0.284 0.711 0.711 
0.301 0.613 0.613 
0.451 0.602 0.602 
0.384 0.711 0.711 
0.350 0.963 0.963 
0.534 0.886 0.886 
0.434 0.678 0.678 
0.418 0.667 0.667 
0.567 0.635 0.635 
0.316 0.580 0.580 
0.501 0.525 0.525 
0.501 0.602 0.602 
0.350 0.919 0.919 
0.434 0.624 0.624 
0.234 0.788 0.788 
0.217 0.723 0.723 
0.418 0.558 0.558 
0.517 0.590 0.590 
0.583 0.634 0.634 
0.251 0.624 0.624 
0.433 0.941 0.941 
0.384 0.788 0.788 
0.201 1.115 1.115 
0.334 0.756 0.756 
0.268 0.734 0.734 
0.517 0.612 0.612 
0.334 0.820 0.820 
