<><><><><><><><> 
Begin: 16-Oct-2014 10:10:06 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s41 Run Number: 3 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
0.251 1.006 1.006 
0.301 1.017 1.017 
0.368 1.137 1.137 
0.433 1.094 1.094 
0.300 0.930 0.930 
0.450 1.509 1.509 
0.484 1.684 1.684 
0.284 0.864 0.864 
0.250 0.842 0.842 
0.317 1.434 1.434 
0.334 1.564 1.564 
0.367 1.160 1.160 
0.400 0.689 0.689 
0.233 0.787 0.787 
0.300 1.028 1.028 
0.518 1.137 1.137 
0.217 1.269 1.269 
0.568 0.754 0.754 
0.501 1.006 1.006 
0.400 1.259 1.259 
0.434 0.830 0.830 
0.301 1.476 1.476 
0.384 1.520 1.520 
0.584 1.159 1.159 
0.417 1.707 1.707 
0.417 2.143 2.143 
0.300 1.312 1.312 
0.400 1.947 1.947 
0.450 1.061 1.061 
0.468 1.291 1.291 
0.367 1.598 1.598 
0.350 1.061 1.061 
0.601 1.357 1.357 
0.217 0.011 0.011 
0.551 0.011 0.011 
0.567 2.810 2.810 
0.517 3.164 3.164 
0.234 1.050 1.050 
0.301 1.062 1.062 
0.333 1.247 1.247 
0.467 1.095 1.095 
0.250 0.613 0.613 
0.484 0.832 0.832 
0.250 1.543 1.543 
0.467 0.952 0.952 
0.400 1.183 1.183 
0.518 0.755 0.755 
0.483 0.962 0.962 
0.567 1.194 1.194 
0.567 1.160 1.160 
0.334 1.949 1.949 
0.484 0.832 0.832 
0.283 0.777 0.777 
0.216 0.797 0.797 
0.500 1.138 1.138 
0.399 0.810 0.810 
0.399 0.788 0.788 
0.568 0.930 0.930 
0.451 0.995 0.995 
0.450 0.864 0.864 
0.551 0.973 0.973 
0.518 0.821 0.821 
0.434 0.875 0.875 
0.284 1.018 1.018 
0.301 0.929 0.929 
0.551 1.521 1.521 
0.217 1.247 1.247 
<><><><><><><><> 
RT (mean):  1.18 
Consistency:  0.10 
Self Consistency:  0.78 
<><><><><><><><> 
End: 16-Oct-2014 10:18:00 
