<><><><><><><><> 
Begin: 12-Feb-2014 18:32:30 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s14 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (1-m, 2-f) 5. acc 6. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.000 0.295 1.001 
0.267 0.295 1.000 
0.417 0.295 0.541 
0.851 0.285 0.990 
0.234 0.284 0.508 
0.951 0.284 0.453 
0.785 0.295 1.000 
0.601 0.284 0.442 
0.667 0.295 0.987 
0.399 0.285 0.399 
0.567 0.296 0.728 
0.968 0.296 0.431 
0.634 0.296 1.002 
0.617 0.295 0.487 
0.384 0.295 0.377 
0.600 0.284 0.989 
0.702 0.295 0.662 
0.751 0.295 0.618 
0.517 0.295 0.531 
0.500 0.295 0.586 
1.001 0.284 0.661 
0.234 0.295 0.574 
0.918 0.284 0.618 
0.935 0.295 0.869 
0.834 0.296 0.541 
0.284 0.297 0.628 
0.417 0.285 0.607 
0.468 0.296 0.583 
0.751 0.295 0.772 
0.317 0.284 0.530 
0.784 0.295 0.487 
0.284 0.295 0.486 
0.733 0.285 0.508 
0.601 0.295 0.442 
0.833 0.284 0.508 
0.767 0.306 0.580 
0.918 0.307 0.536 
0.918 0.296 0.651 
0.468 0.296 0.541 
0.766 0.284 0.486 
0.367 0.284 0.651 
0.234 0.284 0.793 
0.802 0.295 0.617 
0.601 0.295 0.628 
0.585 0.296 0.715 
0.934 0.284 0.377 
0.685 0.295 0.497 
0.700 0.295 0.727 
0.885 0.295 0.430 
0.851 0.273 0.273 
0.668 0.295 0.474 
0.350 0.295 0.464 
0.400 0.285 0.619 
0.918 0.285 0.497 
0.218 0.306 0.502 
0.600 0.285 0.312 
0.334 0.295 0.420 
0.985 0.296 0.617 
0.768 0.295 0.398 
0.601 0.295 0.333 
0.585 0.285 0.695 
0.250 0.295 0.509 
0.751 0.295 0.431 
0.234 0.296 0.574 
0.266 0.285 0.552 
0.617 0.296 0.485 
0.283 0.295 0.564 
0.852 0.296 0.529 
0.850 0.306 0.351 
0.784 0.296 0.455 
0.316 0.306 0.591 
0.735 0.285 0.498 
0.617 0.284 0.284 
0.984 0.296 0.333 
0.717 0.295 0.564 
0.851 0.241 0.241 
0.567 0.295 0.453 
0.551 0.295 0.388 
0.868 0.286 0.310 
0.266 0.295 0.618 
0.317 0.284 0.497 
0.333 0.306 0.483 
0.517 0.296 0.311 
0.868 0.274 0.274 
0.851 0.285 0.486 
0.251 0.296 0.487 
0.517 0.295 0.475 
0.618 0.296 0.321 
0.534 0.295 0.442 
0.734 0.285 0.285 
0.700 0.295 0.531 
0.434 0.296 0.508 
0.551 0.296 0.387 
0.216 0.295 0.541 
0.985 0.295 0.496 
0.333 0.295 0.400 
0.285 0.296 0.410 
0.501 0.295 0.519 
0.366 0.285 0.475 
0.601 0.285 0.344 
0.467 0.307 0.480 
0.968 0.285 0.594 
0.934 0.296 0.334 
0.250 0.285 0.989 
0.800 0.284 0.311 
0.418 0.295 0.497 
0.534 0.306 0.328 
0.634 0.307 0.406 
0.951 0.297 0.441 
0.533 0.295 0.574 
0.984 0.297 0.551 
