248.97,208.93,245.54,287.04,292.99,248.23,331.72,220.18,328.33,284.1
232.44,269.07,229.97,346,268.6,305.53,311.06,273.32,307.94,336.58
185,287.48,183.96,374.21,225.89,325.25,274.61,288.95,274.39,366.59
209.79,271.98,210.13,369.7,264.14,324.9,313.33,285.39,313.37,357.38
210.52,294.3,212.26,379.17,257.83,339.05,294.39,300.68,292.7,371.56
192.99,283.91,183.57,367.82,241.09,331.92,293.67,298.26,283.16,375.58
182.92,289.06,187.57,371.41,228.16,336.07,269.48,295.18,270.14,363.2
184.71,281.72,180.85,367.63,235.71,328.56,287.95,291.22,285.17,363.33
192.28,277.39,181.17,362.65,236.58,326.92,277.17,293.36,271.3,361.73
195.71,286.41,199.8,375.84,251.76,335.77,291.78,300.3,292.48,364.73
199.62,280.12,194.37,368.59,233.48,326.62,290.31,292.05,286.84,360.39
