<><><><><><><><> 
Begin: 29-May-2014 11:25:34 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s01 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
0.567 1.269 1.269 
0.601 0.941 0.941 
0.384 1.400 1.400 
0.250 1.346 1.346 
0.301 1.258 1.258 
0.366 1.291 1.291 
0.434 1.575 1.575 
0.300 1.553 1.553 
0.450 1.333 1.333 
0.483 1.388 1.388 
0.283 1.192 1.192 
0.250 1.640 1.640 
0.316 1.663 1.663 
0.334 1.389 1.389 
0.367 1.739 1.739 
0.400 2.156 2.156 
0.233 1.519 1.519 
0.301 0.897 0.897 
0.517 0.919 0.919 
0.216 1.344 1.344 
0.567 0.963 0.963 
0.501 0.996 0.996 
0.400 1.312 1.312 
0.434 1.313 1.313 
0.300 1.181 1.181 
0.383 1.247 1.247 
0.584 1.060 1.060 
0.417 0.929 0.929 
0.417 1.389 1.389 
0.300 1.203 1.203 
0.399 1.192 1.192 
0.451 1.148 1.148 
0.467 1.192 1.192 
0.367 1.356 1.356 
0.350 1.301 1.301 
0.600 1.290 1.290 
0.216 1.224 1.224 
0.551 1.224 1.224 
0.567 1.028 1.028 
0.517 1.443 1.443 
0.234 1.203 1.203 
0.300 1.006 1.006 
0.334 0.974 0.974 
0.466 1.280 1.280 
0.250 1.432 1.432 
0.484 0.843 0.843 
0.250 1.575 1.575 
0.467 1.137 1.137 
0.400 1.696 1.696 
0.517 0.963 0.963 
0.484 1.838 1.838 
0.567 1.695 1.695 
0.551 1.171 1.171 
0.334 1.104 1.104 
0.484 0.798 0.798 
0.282 0.864 0.864 
0.217 1.061 1.061 
0.501 0.985 0.985 
0.400 0.897 0.897 
0.400 0.962 0.962 
0.567 1.072 1.072 
0.450 1.367 1.367 
0.451 0.864 0.864 
0.551 1.170 1.170 
0.517 0.973 0.973 
0.434 1.279 1.279 
0.267 1.007 1.007 
0.300 1.170 1.170 
0.551 1.334 1.334 
0.218 1.312 1.312 
<><><><><><><><> 
RT (mean):  1.48 
<><><><><><><><> 
End: 29-May-2014 11:35:09 
