<><><><><><><><> 
Begin: 26-Feb-2014 10:44:21 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s00 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (1-m, 2-f) 5. acc 6. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.009 0.285 0.990 
0.265 0.208 0.208 
0.418 0.285 0.355 
0.851 0.011 0.011 
0.233 0.011 0.011 
0.951 0.011 0.011 
0.784 0.011 0.011 
0.600 0.011 0.011 
0.666 0.011 0.011 
0.399 0.011 0.011 
0.567 0.011 0.011 
0.969 0.011 0.011 
0.634 0.011 0.011 
0.616 0.011 0.011 
0.383 0.011 0.011 
0.600 0.011 0.011 
0.700 0.011 0.011 
0.751 0.011 0.011 
0.517 0.011 0.011 
0.501 0.011 0.011 
1.001 0.011 0.011 
0.233 0.011 0.011 
0.918 0.011 0.011 
0.934 0.011 0.011 
0.834 0.011 0.011 
0.284 0.011 0.011 
0.417 0.011 0.011 
0.467 0.011 0.011 
0.751 0.011 0.011 
0.316 0.011 0.011 
0.784 0.011 0.011 
0.283 0.011 0.011 
0.718 0.011 0.011 
0.601 0.011 0.011 
0.833 0.011 0.011 
0.767 0.011 0.011 
0.933 0.011 0.011 
0.919 0.011 0.011 
0.467 0.011 0.011 
0.767 0.011 0.011 
0.367 0.011 0.011 
0.234 0.011 0.011 
0.800 0.011 0.011 
0.601 0.011 0.011 
0.585 0.011 0.011 
0.933 0.011 0.011 
0.685 0.011 0.011 
0.702 0.011 0.011 
0.885 0.011 0.011 
0.851 0.011 0.011 
0.667 0.011 0.011 
0.351 0.011 0.011 
0.399 0.011 0.011 
0.918 0.011 0.011 
0.217 0.011 0.011 
0.601 0.011 0.011 
0.334 0.011 0.011 
0.984 0.011 0.011 
0.769 0.011 0.011 
0.601 0.011 0.011 
0.583 0.011 0.011 
0.251 0.011 0.011 
0.751 0.011 0.011 
0.233 0.011 0.011 
0.266 0.011 0.011 
0.618 0.011 0.011 
0.283 0.011 0.011 
0.851 0.011 0.011 
0.851 0.011 0.011 
0.784 0.011 0.011 
0.316 0.011 0.011 
0.734 0.011 0.011 
0.617 0.011 0.011 
0.985 0.011 0.011 
0.719 0.011 0.011 
0.851 0.011 0.011 
0.567 0.011 0.011 
0.551 0.011 0.011 
0.868 0.011 0.011 
0.267 0.011 0.011 
0.317 0.011 0.011 
0.349 0.011 0.011 
0.516 0.011 0.011 
0.868 0.011 0.011 
0.851 0.011 0.011 
0.249 0.011 0.011 
0.518 0.011 0.011 
0.618 0.011 0.011 
0.535 0.011 0.011 
0.733 0.011 0.011 
0.702 0.011 0.011 
0.434 0.011 0.011 
0.550 0.011 0.011 
0.217 0.011 0.011 
0.985 0.011 0.011 
0.334 0.011 0.011 
0.283 0.011 0.011 
0.501 0.011 0.011 
0.367 0.011 0.011 
0.600 0.011 0.011 
0.468 0.011 0.011 
0.967 0.011 0.011 
0.934 0.011 0.011 
0.251 0.011 0.011 
0.801 0.011 0.011 
0.417 0.011 0.011 
0.533 0.011 0.011 
0.635 0.011 0.011 
0.952 0.011 0.011 
0.535 0.011 0.011 
0.984 0.011 0.011 
