<><><><><><><><> 
Begin: 24-Nov-2014 15:19:21 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s60 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 3.622 3.622 
0.533 1.706 1.706 
0.568 2.001 2.001 
0.251 2.123 2.123 
0.568 1.029 1.029 
0.450 1.696 1.696 
0.250 1.499 1.499 
0.318 1.203 1.203 
0.417 0.864 0.864 
0.583 2.078 2.078 
0.584 1.378 1.378 
0.267 1.465 1.465 
0.584 0.919 0.919 
0.584 1.050 1.050 
0.401 1.138 1.138 
0.517 0.973 0.973 
0.266 0.897 0.897 
0.367 1.105 1.105 
0.568 1.071 1.071 
0.518 1.947 1.947 
0.585 2.035 2.035 
0.467 3.106 3.106 
0.216 1.312 1.312 
0.550 0.930 0.930 
0.583 0.985 0.985 
0.468 1.094 1.094 
0.501 1.049 1.049 
0.494 0.985 0.985 
0.367 2.757 2.757 
0.467 1.793 1.793 
0.266 1.717 1.717 
0.484 0.809 0.809 
0.217 2.493 2.493 
0.316 1.433 1.433 
0.216 1.596 1.596 
0.235 1.215 1.215 
0.534 2.023 2.023 
0.484 2.493 2.493 
0.334 1.586 1.586 
0.584 1.783 1.783 
0.217 1.138 1.138 
0.383 0.854 0.854 
0.351 1.237 1.237 
0.517 1.607 1.607 
0.516 1.772 1.772 
0.283 1.193 1.193 
0.400 1.423 1.423 
0.384 1.269 1.269 
0.467 1.290 1.290 
0.484 1.192 1.192 
0.501 1.357 1.357 
0.317 3.195 3.195 
0.468 1.597 1.597 
0.467 1.914 1.914 
0.267 2.210 2.210 
0.251 2.997 2.997 
0.400 0.788 0.788 
0.584 1.478 1.478 
0.334 1.695 1.695 
0.434 3.085 3.085 
0.284 1.488 1.488 
0.501 1.598 1.598 
0.300 4.003 5.794 
0.401 1.859 1.859 
0.483 1.390 1.390 
0.567 2.472 2.472 
0.584 2.549 2.549 
0.418 1.533 1.533 
0.250 1.116 1.116 
0.267 1.400 1.400 
0.300 2.188 2.188 
0.534 1.542 1.542 
0.301 1.717 1.717 
0.534 0.908 0.908 
0.300 1.553 1.553 
0.567 1.083 1.083 
0.349 1.850 1.850 
0.283 1.531 1.531 
0.299 1.729 1.729 
0.450 1.717 1.717 
0.384 1.181 1.181 
0.350 1.017 1.017 
0.534 1.367 1.367 
0.434 1.521 1.521 
0.417 1.247 1.247 
0.567 1.420 1.420 
0.317 0.875 0.875 
0.501 1.214 1.214 
0.501 2.220 2.220 
0.351 1.411 1.411 
0.434 1.827 1.827 
0.235 2.243 2.243 
0.218 2.986 2.986 
0.417 1.717 1.717 
0.518 1.804 1.804 
0.584 2.713 2.713 
0.250 1.401 1.401 
0.434 2.450 2.450 
0.384 1.356 1.356 
0.200 3.861 3.861 
0.334 3.993 4.737 
0.268 1.389 1.389 
0.518 1.279 1.279 
0.333 3.990 4.203 
