<><><><><><><><> 
Begin: 27-Feb-2014 10:36:12 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s22 Run Number: 4 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (1-m, 2-f) 5. acc 6. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 0.291 0.373 
0.266 0.300 0.484 
0.418 0.286 0.312 
0.851 0.284 0.410 
0.234 0.284 0.464 
0.951 0.284 0.486 
0.784 0.295 0.366 
0.601 0.286 0.400 
0.668 0.295 0.508 
0.400 0.285 0.454 
0.567 0.296 0.355 
0.968 0.295 0.431 
0.635 0.296 0.518 
0.616 0.295 0.466 
0.385 0.295 0.673 
0.601 0.284 0.541 
0.702 0.295 0.541 
0.752 0.284 0.421 
0.518 0.295 0.431 
0.500 0.296 0.476 
1.001 0.285 0.410 
0.234 0.296 0.507 
0.918 0.285 0.487 
0.935 0.295 0.727 
0.833 0.306 0.471 
0.284 0.296 0.563 
0.417 0.284 0.508 
0.467 0.296 0.376 
0.751 0.295 0.431 
0.316 0.295 0.377 
0.784 0.295 0.509 
0.299 0.022 0.022 
0.733 0.284 0.781 
0.601 0.295 0.367 
0.818 0.306 0.503 
0.767 0.306 0.328 
0.918 0.307 0.328 
0.919 0.296 0.540 
0.467 0.296 0.531 
0.767 0.285 0.465 
0.367 0.284 0.443 
0.233 0.284 0.508 
0.801 0.295 0.355 
0.600 0.296 0.377 
0.583 0.295 0.323 
0.918 0.307 0.339 
0.684 0.306 0.525 
0.700 0.295 0.521 
0.885 0.296 0.431 
0.852 0.284 0.311 
0.666 0.296 0.466 
0.351 0.296 0.376 
0.399 0.285 0.487 
0.917 0.285 0.530 
0.233 0.284 0.432 
0.601 0.284 0.377 
0.334 0.296 0.420 
0.983 0.296 0.509 
0.767 0.296 0.398 
0.602 0.262 0.262 
0.585 0.285 0.389 
0.250 0.295 0.475 
0.751 0.296 0.321 
0.234 0.296 0.398 
0.267 0.284 0.355 
0.616 0.296 0.454 
0.284 0.296 0.421 
0.851 0.295 0.432 
0.852 0.296 0.365 
0.784 0.295 0.454 
0.318 0.296 0.464 
0.735 0.285 0.475 
0.617 0.296 0.376 
0.984 0.296 0.683 
0.717 0.296 0.651 
0.851 0.284 0.344 
0.568 0.295 0.409 
0.550 0.296 0.531 
0.868 0.295 0.312 
0.266 0.295 0.497 
0.317 0.285 0.453 
0.349 0.284 0.508 
0.517 0.295 0.432 
0.868 0.295 0.564 
0.851 0.284 0.377 
0.250 0.296 0.431 
0.518 0.295 0.650 
0.618 0.296 0.595 
0.534 0.295 0.453 
0.734 0.285 0.355 
0.701 0.296 0.312 
0.435 0.295 0.333 
0.551 0.295 0.399 
0.218 0.295 0.487 
0.984 0.296 0.673 
0.334 0.296 0.584 
0.284 0.296 0.509 
0.501 0.296 0.487 
0.367 0.284 0.530 
0.600 0.285 0.706 
0.468 0.296 0.595 
0.969 0.285 0.584 
0.935 0.296 0.410 
0.249 0.285 0.563 
0.800 0.285 0.421 
0.417 0.295 0.442 
0.534 0.307 0.383 
0.635 0.295 0.485 
0.952 0.296 0.431 
0.533 0.295 0.564 
0.984 0.295 0.892 
