<><><><><><><><> 
Begin: 22-Sep-2014 18:24:46 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4591
For more info visit:
https 
Subjid: s15 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 1.798 1.798 
0.534 1.304 1.304 
0.567 1.380 1.380 
0.250 1.162 1.162 
0.567 0.822 0.822 
0.450 1.062 1.062 
0.250 1.008 1.008 
0.317 1.303 1.303 
0.418 1.238 1.238 
0.584 1.140 1.140 
0.583 1.293 1.293 
0.267 1.435 1.435 
0.584 1.336 1.336 
0.584 1.151 1.151 
0.401 1.972 1.972 
0.517 1.884 1.884 
0.266 1.116 1.116 
0.368 2.300 2.300 
0.567 2.366 2.366 
0.517 1.512 1.512 
0.584 1.610 1.610 
0.467 2.410 2.410 
0.218 2.651 2.651 
0.550 2.837 2.837 
0.584 1.566 1.566 
0.467 2.366 2.366 
0.501 1.337 1.337 
0.501 1.172 1.172 
0.367 1.402 1.402 
0.467 3.275 3.275 
0.267 1.632 1.632 
0.484 1.983 1.983 
0.217 2.147 2.147 
0.317 2.038 2.038 
0.217 2.092 2.092 
0.249 2.146 2.146 
0.534 1.577 1.577 
0.484 1.731 1.731 
0.334 2.006 2.006 
0.585 1.490 1.490 
0.217 2.059 2.059 
0.384 2.082 2.082 
0.350 2.026 2.026 
0.517 2.047 2.047 
0.517 1.402 1.402 
0.283 2.047 2.047 
0.400 1.501 1.501 
0.384 1.260 1.260 
0.467 3.986 4.010 
0.484 1.698 1.698 
0.500 2.725 2.725 
0.317 1.358 1.358 
0.466 1.457 1.457 
0.467 2.179 2.179 
0.267 1.588 1.588 
0.250 2.629 2.629 
0.401 3.427 3.427 
0.584 1.488 1.488 
0.333 1.811 1.811 
0.433 1.673 1.673 
0.283 4.002 6.001 
0.501 1.191 1.191 
0.300 1.730 1.730 
0.400 2.213 2.213 
0.484 2.693 2.693 
0.567 1.402 1.402 
0.584 1.915 1.915 
0.417 2.170 2.170 
0.251 1.836 1.836 
0.267 1.617 1.617 
0.300 1.356 1.356 
0.534 1.136 1.136 
0.300 1.345 1.345 
0.534 1.457 1.457 
0.301 2.586 2.586 
0.567 1.776 1.776 
0.350 3.001 3.001 
0.284 2.423 2.423 
0.300 1.523 1.523 
0.451 1.873 1.873 
0.400 1.369 1.369 
0.350 2.104 2.104 
0.534 2.892 2.892 
0.434 1.675 1.675 
0.417 1.292 1.292 
0.567 1.270 1.270 
0.317 1.358 1.358 
0.500 2.104 2.104 
0.501 2.333 2.333 
0.350 1.511 1.511 
0.434 1.730 1.730 
0.234 1.664 1.664 
0.217 1.555 1.555 
0.418 2.376 2.376 
0.518 1.599 1.599 
0.584 1.193 1.193 
0.250 1.731 1.731 
0.434 1.457 1.457 
0.384 1.731 1.731 
0.200 1.303 1.303 
0.334 1.424 1.424 
0.267 2.475 2.475 
0.517 2.212 2.212 
0.334 1.851 1.851 
0.417 1.434 1.434 
0.266 2.616 2.616 
0.449 1.741 1.741 
0.300 1.314 1.314 
0.467 1.501 1.501 
0.484 1.763 1.763 
0.500 1.544 1.544 
0.383 1.260 1.260 
0.234 1.182 1.182 
0.300 2.574 2.574 
0.568 2.432 2.432 
0.267 1.775 1.775 
0.533 2.104 2.104 
0.417 1.555 1.555 
0.600 2.892 2.892 
0.232 1.686 1.686 
0.384 1.686 1.686 
0.250 2.640 2.640 
0.584 1.522 1.522 
0.200 1.566 1.566 
0.516 2.102 2.102 
0.533 2.967 2.967 
0.551 2.815 2.815 
0.233 1.248 1.248 
0.367 1.183 1.183 
0.308 1.884 1.884 
0.517 1.259 1.259 
0.367 2.312 2.312 
0.568 2.048 2.048 
0.267 2.793 2.793 
0.301 2.616 2.616 
0.266 2.388 2.388 
0.250 1.676 1.676 
0.551 2.695 2.695 
0.434 2.060 2.060 
0.418 2.016 2.016 
0.266 2.201 2.201 
0.551 1.916 1.916 
0.450 1.796 1.796 
0.350 1.719 1.719 
0.401 1.325 1.325 
0.367 1.884 1.884 
0.234 1.884 1.884 
0.301 1.128 1.128 
0.251 1.336 1.336 
0.283 2.125 2.125 
0.300 2.924 2.924 
0.367 1.501 1.501 
0.217 1.227 1.227 
0.568 1.337 1.337 
0.585 2.817 2.817 
0.400 1.413 1.413 
0.401 1.315 1.315 
0.334 2.201 2.201 
0.567 1.501 1.501 
0.351 1.391 1.391 
0.250 2.365 2.365 
0.518 1.030 1.030 
0.367 1.325 1.325 
0.301 2.212 2.212 
0.368 1.556 1.556 
0.235 2.749 2.749 
0.250 1.763 1.763 
0.583 1.983 1.983 
0.585 1.577 1.577 
0.434 1.063 1.063 
0.233 1.938 1.938 
0.300 1.500 1.500 
0.350 1.040 1.040 
0.534 2.245 2.245 
0.216 1.566 1.566 
0.217 2.552 2.552 
0.267 2.727 2.727 
0.468 2.607 2.607 
0.500 1.643 1.643 
0.467 3.197 3.197 
0.384 1.468 1.468 
0.417 1.677 1.677 
0.317 1.260 1.260 
0.500 1.676 1.676 
0.284 2.234 2.234 
0.483 2.310 2.310 
0.284 2.191 2.191 
0.350 3.068 3.068 
0.450 1.578 1.578 
0.517 2.586 2.586 
0.234 1.435 1.435 
0.567 3.636 3.636 
0.518 2.443 2.443 
0.401 1.939 1.939 
0.384 1.445 1.445 
0.385 1.589 1.589 
0.317 2.081 2.081 
0.400 1.665 1.665 
0.401 1.609 1.609 
0.533 2.016 2.016 
0.517 1.752 1.752 
0.467 1.676 1.676 
0.350 2.234 2.234 
0.534 2.410 2.410 
0.418 1.621 1.621 
0.350 1.117 1.117 
0.584 1.938 1.938 
0.550 2.070 2.070 
0.417 1.589 1.589 
0.451 3.057 3.057 
0.434 2.410 2.410 
0.284 1.392 1.392 
0.317 2.946 2.946 
0.384 1.784 1.784 
0.300 2.081 2.081 
0.533 3.252 3.252 
0.284 1.522 1.522 
0.300 2.936 2.936 
0.268 2.367 2.367 
0.300 2.015 2.015 
0.384 3.067 3.067 
0.333 1.545 1.545 
0.568 2.573 2.573 
0.367 2.091 2.091 
0.284 2.060 2.060 
0.567 2.748 2.748 
0.601 1.534 1.534 
0.384 1.829 1.829 
0.250 3.439 3.439 
0.301 1.096 1.096 
0.367 1.107 1.107 
0.434 1.894 1.894 
0.301 0.986 0.986 
0.450 1.259 1.259 
0.484 1.139 1.139 
0.283 2.322 2.322 
0.250 3.997 5.998 
0.317 1.489 1.489 
0.334 3.001 3.001 
0.366 2.409 2.409 
0.401 2.235 2.235 
0.234 2.092 2.092 
0.317 1.512 1.512 
0.517 2.508 2.508 
0.217 2.278 2.278 
0.566 1.041 1.041 
0.500 1.490 1.490 
0.400 2.420 2.420 
0.433 1.534 1.534 
0.300 2.619 2.619 
0.384 1.150 1.150 
0.585 1.435 1.435 
0.417 1.884 1.884 
0.417 1.950 1.950 
0.300 2.202 2.202 
0.400 1.292 1.292 
0.450 1.303 1.303 
0.468 1.708 1.708 
0.367 2.871 2.871 
0.350 1.347 1.347 
0.600 1.326 1.326 
0.217 1.906 1.906 
0.550 2.311 2.311 
0.566 2.147 2.147 
0.517 1.676 1.676 
0.250 1.753 1.753 
0.300 1.151 1.151 
0.334 1.720 1.720 
0.467 1.644 1.644 
0.250 1.818 1.818 
0.484 2.005 2.005 
0.250 1.512 1.512 
0.467 2.706 2.706 
0.400 1.369 1.369 
0.517 1.447 1.447 
0.483 1.796 1.796 
0.568 1.983 1.983 
0.552 1.412 1.412 
0.334 1.741 1.741 
