<><><><><><><><> 
Begin: 05-Oct-2014 16:36:47 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s28 Run Number: 4 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 3.512 3.512 
0.533 1.127 1.127 
0.567 0.787 0.787 
0.251 0.852 0.852 
0.567 1.082 1.082 
0.450 1.073 1.073 
0.234 1.344 1.344 
0.317 0.678 0.678 
0.417 0.766 0.766 
0.583 0.875 0.875 
0.584 0.656 0.656 
0.267 1.979 1.979 
0.584 0.744 0.744 
0.583 0.765 0.765 
0.401 0.645 0.645 
0.517 0.831 0.831 
0.267 1.619 1.619 
0.367 1.082 1.082 
0.567 0.744 0.744 
0.518 1.783 1.783 
0.584 0.809 0.809 
0.467 1.039 1.039 
0.217 0.766 0.766 
0.550 2.428 2.428 
0.584 2.067 2.067 
0.468 1.093 1.093 
0.501 1.324 1.324 
0.501 1.017 1.017 
0.367 1.137 1.137 
0.468 1.443 1.443 
0.266 1.017 1.017 
0.484 0.864 0.864 
0.217 1.498 1.498 
0.316 0.809 0.809 
0.218 1.301 1.301 
0.234 1.291 1.291 
0.534 0.863 0.863 
0.484 1.837 1.837 
0.334 1.663 1.663 
0.585 1.389 1.389 
0.217 1.760 1.760 
0.383 1.192 1.192 
0.350 1.706 1.706 
0.502 1.367 1.367 
0.517 1.979 1.979 
0.283 1.838 1.838 
0.400 0.470 0.470 
0.385 0.908 0.908 
0.467 1.585 1.585 
0.484 0.952 0.952 
0.501 0.798 0.798 
0.318 1.192 1.192 
0.466 0.765 0.765 
0.467 0.547 0.547 
0.267 1.137 1.137 
0.250 0.700 0.700 
0.401 1.443 1.443 
0.583 0.908 0.908 
0.334 1.138 1.138 
0.434 1.334 1.334 
0.284 0.886 0.886 
0.501 0.732 0.732 
0.301 0.929 0.929 
0.400 0.776 0.776 
0.484 1.291 1.291 
0.567 0.875 0.875 
0.584 0.885 0.885 
0.418 1.574 1.574 
0.250 1.192 1.192 
0.267 1.094 1.094 
0.301 0.985 0.985 
0.534 0.908 0.908 
0.301 1.904 1.904 
0.534 0.755 0.755 
0.301 1.148 1.148 
0.568 0.842 0.842 
0.350 1.706 1.706 
0.283 0.940 0.940 
0.301 0.941 0.941 
0.451 0.875 0.875 
0.384 0.963 0.963 
0.350 0.645 0.645 
0.534 0.831 0.831 
0.433 0.765 0.765 
0.418 1.105 1.105 
0.568 1.137 1.137 
0.317 1.958 1.958 
0.501 0.711 0.711 
0.501 0.711 0.711 
0.350 0.886 0.886 
0.434 0.952 0.952 
0.234 1.542 1.542 
0.217 1.323 1.323 
0.418 0.656 0.656 
0.517 0.843 0.843 
0.584 0.831 0.831 
0.250 1.192 1.192 
0.433 0.809 0.809 
0.384 0.886 0.886 
0.201 1.192 1.192 
0.333 0.908 0.908 
0.267 1.028 1.028 
0.517 0.700 0.700 
0.333 0.897 0.897 
